GRAM	c2h2	chi_tot
969	119	1.42483E+03
969	238	1.42483E+03
969	195	1.42483E+03
969	237	1.42483E+03
969	194	1.42483E+03
969	236	1.42483E+03
969	197	1.42483E+03
969	121	1.42483E+03
969	120	1.42483E+03
969	196	1.42483E+03
969	122	1.42483E+03
969	123	1.42483E+03
969	125	1.42483E+03
969	114	1.42483E+03
969	117	1.42483E+03
969	193	1.42483E+03
969	91	1.42483E+03
969	90	1.42483E+03
969	112	1.42483E+03
969	189	1.42483E+03
969	113	1.42483E+03
969	107	1.42483E+03
969	186	1.42483E+03
969	110	1.42483E+03
969	185	1.42483E+03
969	86	1.42483E+03
969	87	1.42483E+03
969	88	1.42483E+03
969	109	1.42483E+03
969	111	1.42483E+03
969	187	1.42483E+03
969	108	1.42483E+03
969	89	1.42483E+03
969	188	1.42483E+03
969	97	1.42483E+03
969	75	1.42483E+03
969	70	1.42483E+03
969	76	1.42483E+03
969	101	1.42483E+03
969	73	1.42483E+03
969	64	1.42483E+03
969	59	1.42483E+03
969	60	1.42483E+03
969	56	1.42483E+03
969	55	1.42483E+03
969	57	1.42483E+03
969	58	1.42483E+03
969	61	1.42483E+03
969	42	1.42483E+03
969	44	1.42483E+03
969	45	1.42483E+03
969	46	1.42483E+03
969	47	1.42483E+03
969	0	1.42483E+03
969	1	1.42483E+03
969	2	1.42483E+03
969	3	1.42483E+03
969	4	1.42483E+03
969	5	1.42483E+03
969	6	1.42483E+03
969	7	1.42483E+03
969	8	1.42483E+03
969	9	1.42483E+03
969	10	1.42483E+03
969	11	1.42483E+03
969	12	1.42483E+03
969	13	1.42483E+03
969	14	1.42483E+03
969	15	1.42483E+03
969	16	1.42483E+03
969	17	1.42483E+03
969	18	1.42483E+03
969	19	1.42483E+03
969	20	1.42483E+03
969	21	1.42483E+03
969	22	1.42483E+03
969	23	1.42483E+03
969	24	1.42483E+03
969	25	1.42483E+03
969	26	1.42483E+03
969	27	1.42483E+03
969	28	1.42483E+03
969	29	1.42483E+03
969	30	1.42483E+03
969	31	1.42483E+03
969	32	1.42483E+03
969	33	1.42483E+03
969	34	1.42483E+03
969	35	1.42483E+03
969	36	1.42483E+03
969	37	1.42483E+03
969	38	1.42483E+03
969	39	1.42483E+03
969	40	1.42483E+03
969	43	1.42483E+03
969	143	1.42483E+03
969	144	1.42483E+03
969	145	1.42483E+03
969	146	1.42483E+03
969	147	1.42483E+03
969	148	1.42483E+03
969	149	1.42483E+03
969	150	1.42483E+03
969	151	1.42483E+03
969	152	1.42483E+03
969	153	1.42483E+03
969	154	1.42483E+03
969	155	1.42483E+03
969	156	1.42483E+03
969	157	1.42483E+03
969	158	1.42483E+03
969	159	1.42483E+03
969	160	1.42483E+03
969	161	1.42483E+03
969	162	1.42483E+03
969	163	1.42483E+03
969	164	1.42483E+03
969	165	1.42483E+03
969	166	1.42483E+03
969	168	1.42483E+03
969	172	1.42483E+03
969	173	1.42483E+03
969	174	1.42483E+03
969	175	1.42483E+03
969	177	1.42483E+03
969	178	1.42483E+03
969	179	1.42483E+03
969	180	1.42483E+03
969	181	1.42483E+03
969	182	1.42483E+03
969	183	1.42483E+03
969	474	1.42483E+03
969	475	1.42483E+03
969	477	1.42483E+03
969	479	1.42483E+03
969	481	1.42483E+03
969	482	1.42483E+03
969	483	1.42483E+03
969	485	1.42483E+03
969	486	1.42483E+03
969	487	1.42483E+03
969	488	1.42483E+03
969	489	1.42483E+03
969	490	1.42483E+03
969	491	1.42483E+03
969	492	1.42483E+03
969	493	1.42483E+03
969	494	1.42483E+03
969	495	1.42483E+03
969	497	1.42483E+03
969	498	1.42483E+03
969	499	1.42483E+03
969	500	1.42483E+03
969	501	1.42483E+03
969	502	1.42483E+03
969	503	1.42483E+03
969	504	1.42483E+03
969	505	1.42483E+03
969	506	1.42483E+03
969	507	1.42483E+03
969	508	1.42483E+03
969	509	1.42483E+03
969	510	1.42483E+03
969	511	1.42483E+03
969	512	1.42483E+03
969	513	1.42483E+03
969	41	1.42483E+03
969	167	1.42483E+03
969	169	1.42483E+03
969	170	1.42483E+03
969	171	1.42483E+03
969	176	1.42483E+03
969	476	1.42483E+03
969	478	1.42483E+03
969	480	1.42483E+03
969	484	1.42483E+03
969	496	1.42483E+03
969	514	1.42483E+03
969	49	1.42483E+03
969	51	1.42483E+03
969	52	1.42483E+03
969	50	1.42483E+03
969	48	1.42483E+03
969	53	1.42483E+03
969	54	1.42483E+03
969	66	1.42483E+03
969	74	1.42483E+03
969	65	1.42483E+03
969	63	1.42483E+03
969	93	1.42483E+03
969	62	1.42483E+03
969	94	1.42483E+03
969	92	1.42483E+03
969	98	1.42483E+03
969	96	1.42483E+03
969	67	1.42483E+03
969	69	1.42483E+03
969	99	1.42483E+03
969	100	1.42483E+03
969	71	1.42483E+03
969	72	1.42483E+03
969	95	1.42483E+03
969	68	1.42483E+03
969	81	1.42483E+03
969	80	1.42483E+03
969	104	1.42483E+03
969	79	1.42483E+03
969	105	1.42483E+03
969	78	1.42483E+03
969	124	1.42483E+03
969	184	1.42483E+03
969	103	1.42483E+03
969	77	1.42483E+03
969	83	1.42483E+03
969	102	1.42483E+03
969	85	1.42483E+03
969	82	1.42483E+03
969	106	1.42483E+03
969	84	1.42483E+03
969	118	1.42483E+03
969	192	1.42483E+03
969	115	1.42483E+03
969	190	1.42483E+03
969	116	1.42483E+03
969	191	1.42483E+03
969	131	1.42483E+03
969	130	1.42483E+03
969	203	1.42483E+03
969	202	1.42483E+03
969	199	1.42483E+03
969	129	1.42483E+03
969	242	1.42483E+03
969	128	1.42483E+03
969	201	1.42483E+03
969	239	1.42483E+03
969	126	1.42483E+03
969	198	1.42483E+03
969	240	1.42483E+03
969	127	1.42483E+03
969	241	1.42483E+03
969	200	1.42483E+03
969	132	1.42483E+03
969	245	1.42483E+03
969	244	1.42483E+03
969	288	1.42483E+03
969	243	1.42483E+03
969	206	1.42483E+03
969	133	1.42483E+03
969	205	1.42483E+03
969	246	1.42483E+03
969	204	1.42483E+03
969	289	1.42483E+03
969	134	1.42483E+03
969	207	1.42483E+03
969	247	1.42483E+03
969	135	1.42483E+03
969	136	1.42483E+03
969	208	1.42483E+03
969	137	1.42483E+03
969	138	1.42483E+03
969	291	1.42483E+03
969	290	1.42483E+03
969	139	1.42483E+03
969	248	1.42483E+03
969	292	1.42483E+03
969	293	1.42483E+03
969	209	1.42483E+03
969	249	1.42483E+03
969	294	1.42483E+03
969	210	1.42483E+03
969	250	1.42483E+03
969	251	1.42483E+03
969	211	1.42483E+03
969	212	1.42483E+03
969	140	1.42483E+03
969	213	1.42483E+03
969	141	1.42483E+03
969	252	1.42483E+03
969	142	1.42483E+03
969	295	1.42483E+03
969	296	1.42483E+03
969	214	1.42483E+03
969	253	1.42483E+03
969	215	1.42483E+03
969	297	1.42483E+03
969	254	1.42483E+03
969	298	1.42483E+03
969	382	1.42483E+03
969	255	1.42483E+03
969	216	1.42483E+03
969	299	1.42483E+03
969	383	1.42483E+03
969	256	1.42483E+03
969	217	1.42483E+03
969	384	1.42483E+03
969	300	1.42483E+03
969	218	1.42483E+03
969	257	1.42483E+03
969	258	1.42483E+03
969	301	1.42483E+03
969	219	1.42483E+03
969	385	1.42483E+03
969	302	1.42483E+03
969	259	1.42483E+03
969	386	1.42483E+03
969	220	1.42483E+03
969	303	1.42483E+03
969	221	1.42483E+03
969	260	1.42483E+03
969	387	1.42483E+03
969	235	1.42483E+03
969	515	1.42483E+03
969	340	1.42483E+03
969	304	1.42483E+03
969	388	1.42483E+03
969	261	1.42483E+03
969	222	1.42483E+03
969	341	1.42483E+03
969	516	1.42483E+03
969	305	1.42483E+03
969	262	1.42483E+03
969	389	1.42483E+03
969	223	1.42483E+03
969	306	1.42483E+03
969	342	1.42483E+03
969	517	1.42483E+03
969	390	1.42483E+03
969	263	1.42483E+03
969	224	1.42483E+03
969	343	1.42483E+03
969	307	1.42483E+03
969	391	1.42483E+03
969	264	1.42483E+03
969	225	1.42483E+03
969	518	1.42483E+03
969	308	1.42483E+03
969	344	1.42483E+03
969	265	1.42483E+03
969	519	1.42483E+03
969	226	1.42483E+03
969	392	1.42483E+03
969	309	1.42483E+03
969	345	1.42483E+03
969	520	1.42483E+03
969	266	1.42483E+03
969	227	1.42483E+03
969	393	1.42483E+03
969	310	1.42483E+03
969	521	1.42483E+03
969	346	1.42483E+03
969	267	1.42483E+03
969	228	1.42483E+03
969	394	1.42483E+03
969	311	1.42483E+03
969	347	1.42483E+03
969	522	1.42483E+03
969	268	1.42483E+03
969	229	1.42483E+03
969	395	1.42483E+03
969	433	1.42483E+03
969	312	1.42483E+03
969	348	1.42483E+03
969	523	1.42483E+03
969	269	1.42483E+03
969	230	1.42483E+03
969	396	1.42483E+03
969	434	1.42483E+03
969	313	1.42483E+03
969	349	1.42483E+03
969	524	1.42483E+03
969	270	1.42483E+03
969	231	1.42483E+03
969	397	1.42483E+03
969	435	1.42483E+03
969	314	1.42483E+03
969	350	1.42483E+03
969	287	1.42483E+03
969	525	1.42483E+03
969	271	1.42483E+03
969	232	1.42483E+03
969	398	1.42483E+03
969	436	1.42483E+03
969	315	1.42483E+03
969	351	1.42483E+03
969	526	1.42483E+03
969	272	1.42483E+03
969	233	1.42483E+03
969	399	1.42483E+03
969	437	1.42483E+03
969	316	1.42483E+03
969	352	1.42483E+03
969	569	1.42483E+03
969	527	1.42483E+03
969	273	1.42483E+03
969	234	1.42483E+03
969	400	1.42483E+03
969	438	1.42483E+03
969	317	1.42483E+03
969	353	1.42483E+03
969	570	1.42483E+03
969	528	1.42484E+03
969	274	1.42484E+03
969	401	1.42484E+03
969	610	1.42484E+03
969	439	1.42484E+03
969	318	1.42484E+03
969	354	1.42484E+03
969	571	1.42484E+03
969	529	1.42484E+03
969	275	1.42484E+03
969	402	1.42484E+03
969	611	1.42484E+03
969	651	1.42484E+03
969	440	1.42484E+03
969	319	1.42484E+03
969	355	1.42484E+03
969	572	1.42484E+03
969	276	1.42484E+03
969	530	1.42484E+03
969	692	1.42484E+03
969	403	1.42484E+03
969	612	1.42484E+03
969	652	1.42484E+03
969	441	1.42484E+03
969	733	1.42484E+03
969	320	1.42484E+03
969	356	1.42484E+03
969	573	1.42484E+03
969	774	1.42484E+03
969	531	1.42484E+03
969	277	1.42484E+03
969	693	1.42484E+03
969	404	1.42484E+03
969	613	1.42484E+03
969	653	1.42484E+03
969	442	1.42484E+03
969	734	1.42485E+03
969	321	1.42485E+03
969	357	1.42485E+03
969	574	1.42485E+03
969	775	1.42485E+03
969	339	1.42485E+03
969	532	1.42485E+03
969	278	1.42485E+03
969	694	1.42485E+03
969	405	1.42485E+03
969	614	1.42485E+03
969	654	1.42485E+03
969	443	1.42485E+03
969	735	1.42485E+03
969	322	1.42485E+03
969	358	1.42485E+03
969	575	1.42485E+03
969	776	1.42485E+03
969	279	1.42485E+03
969	533	1.42485E+03
969	695	1.42485E+03
969	406	1.42485E+03
969	615	1.42485E+03
969	655	1.42485E+03
969	444	1.42486E+03
969	736	1.42486E+03
969	323	1.42486E+03
969	359	1.42486E+03
969	576	1.42486E+03
969	777	1.42486E+03
969	280	1.42486E+03
969	534	1.42486E+03
969	696	1.42486E+03
969	407	1.42486E+03
969	616	1.42486E+03
969	656	1.42486E+03
969	445	1.42486E+03
969	737	1.42486E+03
969	324	1.42486E+03
969	360	1.42486E+03
969	577	1.42487E+03
969	778	1.42487E+03
969	281	1.42487E+03
969	535	1.42487E+03
969	697	1.42487E+03
969	408	1.42487E+03
969	617	1.42487E+03
969	657	1.42487E+03
969	446	1.42487E+03
969	738	1.42487E+03
969	325	1.42487E+03
969	361	1.42487E+03
969	578	1.42488E+03
969	779	1.42488E+03
969	282	1.42488E+03
969	536	1.42488E+03
969	698	1.42488E+03
969	409	1.42488E+03
969	618	1.42488E+03
969	658	1.42488E+03
969	447	1.42488E+03
969	739	1.42488E+03
969	326	1.42488E+03
969	362	1.42489E+03
969	579	1.42489E+03
969	780	1.42489E+03
969	283	1.42489E+03
969	537	1.42489E+03
969	699	1.42489E+03
969	381	1.42489E+03
969	410	1.42489E+03
969	619	1.42489E+03
969	659	1.42489E+03
969	448	1.42490E+03
969	740	1.42490E+03
969	327	1.42490E+03
969	363	1.42490E+03
969	580	1.42490E+03
969	284	1.42490E+03
969	781	1.42490E+03
969	538	1.42491E+03
969	700	1.42491E+03
969	411	1.42491E+03
969	620	1.42491E+03
969	660	1.42491E+03
969	449	1.42491E+03
969	741	1.42492E+03
969	328	1.42492E+03
969	364	1.42492E+03
969	285	1.42492E+03
969	581	1.42492E+03
969	782	1.42492E+03
969	539	1.42493E+03
969	701	1.42493E+03
969	412	1.42493E+03
969	621	1.42493E+03
969	661	1.42493E+03
969	450	1.42494E+03
969	329	1.42494E+03
969	742	1.42494E+03
969	365	1.42494E+03
969	286	1.42495E+03
969	582	1.42495E+03
969	783	1.42495E+03
969	540	1.42495E+03
969	702	1.42495E+03
969	413	1.42496E+03
969	622	1.42496E+03
969	662	1.42496E+03
969	451	1.42497E+03
969	330	1.42497E+03
969	743	1.42497E+03
969	366	1.42497E+03
969	583	1.42498E+03
969	784	1.42498E+03
969	541	1.42498E+03
969	703	1.42498E+03
969	414	1.42499E+03
969	623	1.42499E+03
969	663	1.42499E+03
969	452	1.42500E+03
969	331	1.42500E+03
969	744	1.42500E+03
969	367	1.42501E+03
969	584	1.42502E+03
969	785	1.42502E+03
969	542	1.42502E+03
969	704	1.42503E+03
969	415	1.42503E+03
969	624	1.42503E+03
969	664	1.42504E+03
969	453	1.42505E+03
969	332	1.42505E+03
969	745	1.42505E+03
969	368	1.42505E+03
969	585	1.42506E+03
969	786	1.42507E+03
969	543	1.42507E+03
969	705	1.42508E+03
969	416	1.42508E+03
969	625	1.42509E+03
969	665	1.42509E+03
969	333	1.42510E+03
969	454	1.42510E+03
969	746	1.42511E+03
969	369	1.42511E+03
969	586	1.42512E+03
969	787	1.42513E+03
969	544	1.42513E+03
969	706	1.42514E+03
969	417	1.42514E+03
969	626	1.42515E+03
969	666	1.42516E+03
969	334	1.42516E+03
969	455	1.42517E+03
969	747	1.42518E+03
969	370	1.42518E+03
969	587	1.42520E+03
969	788	1.42521E+03
969	545	1.42521E+03
969	707	1.42522E+03
969	418	1.42522E+03
969	627	1.42524E+03
969	667	1.42524E+03
969	335	1.42524E+03
969	456	1.42526E+03
969	371	1.42527E+03
969	748	1.42527E+03
969	588	1.42530E+03
969	789	1.42530E+03
969	546	1.42531E+03
969	708	1.42532E+03
969	419	1.42532E+03
969	628	1.42534E+03
969	336	1.42534E+03
969	668	1.42535E+03
969	457	1.42536E+03
