GRAM	c2h2	chi_tot
1279	163	3.76262E+02
1279	162	3.76295E+02
1279	161	3.76647E+02
1279	200	3.76796E+02
1279	201	3.76965E+02
1279	199	3.77012E+02
1279	160	3.77318E+02
1279	202	3.77521E+02
1279	198	3.77615E+02
1279	159	3.78316E+02
1279	239	3.78353E+02
1279	238	3.78408E+02
1279	203	3.78472E+02
1279	197	3.78613E+02
1279	240	3.78758E+02
1279	237	3.78925E+02
1279	241	3.79628E+02
1279	158	3.79648E+02
1279	204	3.79830E+02
1279	236	3.79914E+02
1279	122	3.79982E+02
1279	196	3.80018E+02
1279	278	3.80633E+02
1279	277	3.80871E+02
1279	279	3.80935E+02
1279	242	3.80972E+02
1279	157	3.81326E+02
1279	235	3.81389E+02
1279	121	3.81403E+02
1279	276	3.81655E+02
1279	280	3.81778E+02
1279	195	3.81848E+02
1279	243	3.82806E+02
1279	275	3.82998E+02
1279	120	3.83105E+02
1279	281	3.83171E+02
1279	156	3.83366E+02
1279	234	3.83366E+02
1279	318	3.83582E+02
1279	317	3.83775E+02
1279	319	3.84005E+02
1279	194	3.84121E+02
1279	316	3.84591E+02
1279	274	3.84914E+02
1279	320	3.85043E+02
1279	119	3.85098E+02
1279	282	3.85126E+02
1279	244	3.85153E+02
1279	155	3.85785E+02
1279	233	3.85865E+02
1279	315	3.86040E+02
1279	321	3.86699E+02
1279	193	3.86858E+02
1279	358	3.86991E+02
1279	359	3.87259E+02
1279	118	3.87396E+02
1279	357	3.87404E+02
1279	273	3.87417E+02
1279	283	3.87662E+02
1279	245	3.88041E+02
1279	314	3.88132E+02
1279	360	3.88200E+02
1279	356	3.88507E+02
1279	154	3.88601E+02
1279	232	3.88898E+02
1279	322	3.88982E+02
1279	361	3.89807E+02
1279	117	3.90011E+02
1279	192	3.90069E+02
1279	355	3.90307E+02
1279	272	3.90512E+02
1279	399	3.90771E+02
1279	284	3.90801E+02
1279	313	3.90871E+02
1279	398	3.90935E+02
1279	400	3.91323E+02
1279	153	3.91826E+02
1279	397	3.91831E+02
1279	323	3.91897E+02
1279	362	3.92072E+02
1279	231	3.92467E+02
1279	401	3.92575E+02
1279	354	3.92804E+02
1279	116	3.92953E+02
1279	396	3.93465E+02
1279	191	3.93754E+02
1279	271	3.94195E+02
1279	312	3.94250E+02
1279	402	3.94504E+02
1279	285	3.94566E+02
1279	440	3.94780E+02
1279	439	3.94867E+02
1279	363	3.94986E+02
1279	441	3.95420E+02
1279	324	3.95454E+02
1279	152	3.95459E+02
1279	438	3.95704E+02
1279	395	3.95835E+02
1279	353	3.95986E+02
1279	115	3.96229E+02
1279	230	3.96556E+02
1279	442	3.96755E+02
1279	403	3.97083E+02
1279	437	3.97301E+02
1279	81	3.97641E+02
1279	190	3.97898E+02
1279	311	3.98246E+02
1279	270	3.98438E+02
1279	364	3.98537E+02
1279	443	3.98748E+02
1279	481	3.98869E+02
1279	394	3.98922E+02
1279	286	3.98978E+02
1279	480	3.99038E+02
1279	482	3.99416E+02
1279	151	3.99488E+02
1279	436	3.99653E+02
1279	325	3.99655E+02
1279	352	3.99826E+02
1279	114	3.99835E+02
1279	479	3.99955E+02
1279	404	4.00283E+02
1279	483	4.00637E+02
1279	80	4.00706E+02
1279	229	4.01130E+02
1279	444	4.01354E+02
1279	478	4.01632E+02
1279	189	4.02465E+02
1279	484	4.02482E+02
1279	393	4.02693E+02
1279	365	4.02707E+02
1279	435	4.02739E+02
1279	310	4.02814E+02
1279	522	4.03031E+02
1279	269	4.03196E+02
1279	523	4.03347E+02
1279	521	4.03410E+02
1279	113	4.03757E+02
1279	150	4.03881E+02
1279	79	4.04038E+02
1279	477	4.04066E+02
1279	405	4.04070E+02
