GRAM	c2h2	chi_tot
1279	10	5.02651E+03
1279	11	5.02653E+03
1279	9	5.02653E+03
1279	12	5.02658E+03
1279	8	5.02659E+03
1279	13	5.02666E+03
1279	7	5.02668E+03
1279	14	5.02676E+03
1279	6	5.02680E+03
1279	15	5.02689E+03
1279	5	5.02695E+03
1279	16	5.02703E+03
1279	50	5.02704E+03
1279	49	5.02705E+03
1279	51	5.02708E+03
1279	48	5.02710E+03
1279	4	5.02713E+03
1279	52	5.02715E+03
1279	47	5.02718E+03
1279	17	5.02719E+03
1279	53	5.02727E+03
1279	46	5.02730E+03
1279	3	5.02733E+03
1279	18	5.02737E+03
1279	54	5.02741E+03
1279	90	5.02743E+03
1279	89	5.02743E+03
1279	45	5.02744E+03
1279	88	5.02748E+03
1279	91	5.02748E+03
1279	2	5.02753E+03
1279	19	5.02755E+03
1279	87	5.02757E+03
1279	92	5.02759E+03
1279	55	5.02759E+03
1279	44	5.02761E+03
1279	86	5.02768E+03
1279	1	5.02774E+03
1279	20	5.02775E+03
1279	93	5.02776E+03
1279	43	5.02779E+03
1279	129	5.02779E+03
1279	130	5.02780E+03
1279	56	5.02781E+03
1279	85	5.02783E+03
1279	128	5.02783E+03
1279	131	5.02787E+03
1279	127	5.02792E+03
1279	0	5.02795E+03
1279	21	5.02796E+03
1279	42	5.02797E+03
1279	84	5.02798E+03
1279	94	5.02800E+03
1279	132	5.02803E+03
1279	126	5.02803E+03
1279	57	5.02805E+03
1279	83	5.02814E+03
1279	169	5.02814E+03
1279	41	5.02814E+03
1279	170	5.02815E+03
1279	125	5.02816E+03
1279	22	5.02817E+03
1279	168	5.02818E+03
1279	171	5.02824E+03
1279	167	5.02826E+03
1279	133	5.02828E+03
1279	82	5.02830E+03
1279	124	5.02830E+03
1279	95	5.02831E+03
1279	58	5.02834E+03
1279	166	5.02837E+03
1279	23	5.02840E+03
1279	172	5.02843E+03
1279	123	5.02844E+03
1279	209	5.02848E+03
1279	165	5.02848E+03
1279	210	5.02848E+03
1279	208	5.02852E+03
1279	211	5.02856E+03
1279	207	5.02858E+03
1279	164	5.02859E+03
1279	24	5.02863E+03
1279	134	5.02865E+03
1279	59	5.02866E+03
1279	206	5.02867E+03
1279	96	5.02871E+03
1279	212	5.02873E+03
