GRAM	c2h2	chi_tot
7592	238	7.53981E+01
7592	199	7.54045E+01
7592	200	7.55150E+01
7592	162	7.56193E+01
7592	278	7.56343E+01
7592	239	7.56888E+01
7592	161	7.57011E+01
7592	277	7.59792E+01
7592	318	7.60508E+01
7592	237	7.61009E+01
7592	198	7.61212E+01
7592	163	7.62616E+01
7592	160	7.64508E+01
7592	279	7.64788E+01
7592	201	7.65343E+01
7592	317	7.65624E+01
7592	358	7.67556E+01
7592	319	7.68625E+01
7592	359	7.69503E+01
7592	240	7.70728E+01
7592	276	7.74106E+01
7592	399	7.74459E+01
7592	197	7.76043E+01
7592	236	7.77159E+01
7592	159	7.78322E+01
7592	357	7.79531E+01
7592	400	7.80609E+01
7592	316	7.82823E+01
7592	440	7.83585E+01
7592	398	7.83621E+01
7592	202	7.85652E+01
7592	280	7.86276E+01
7592	360	7.86603E+01
7592	441	7.90882E+01
7592	320	7.91155E+01
7592	439	7.92520E+01
7592	481	7.94199E+01
7592	122	7.96483E+01
7592	241	7.96665E+01
7592	196	7.98110E+01
7592	158	7.98229E+01
7592	275	7.98387E+01
7592	482	7.99784E+01
7592	235	8.01794E+01
7592	401	8.03263E+01
7592	356	8.04175E+01
7592	480	8.05349E+01
7592	397	8.06757E+01
7592	522	8.06826E+01
7592	523	8.08265E+01
7592	315	8.11028E+01
7592	442	8.15532E+01
7592	438	8.16315E+01
7592	203	8.17313E+01
7592	564	8.17983E+01
7592	121	8.18032E+01
7592	361	8.19974E+01
7592	281	8.22019E+01
7592	521	8.22274E+01
7592	563	8.22618E+01
7592	483	8.23173E+01
7592	157	8.24088E+01
7592	195	8.27108E+01
7592	524	8.27653E+01
7592	321	8.29245E+01
7592	605	8.30766E+01
7592	565	8.31197E+01
7592	479	8.31829E+01
7592	274	8.31858E+01
7592	234	8.34400E+01
7592	242	8.35983E+01
7592	606	8.36191E+01
7592	355	8.40249E+01
7592	396	8.42463E+01
7592	604	8.42866E+01
7592	402	8.43379E+01
7592	562	8.43976E+01
7592	120	8.44654E+01
7592	314	8.49239E+01
7592	520	8.53133E+01
7592	437	8.53436E+01
7592	156	8.55778E+01
7592	443	8.58317E+01
7592	607	8.59819E+01
7592	204	8.61733E+01
7592	194	8.62786E+01
7592	566	8.62854E+01
7592	484	8.65016E+01
7592	525	8.65575E+01
7592	362	8.70550E+01
7592	603	8.71244E+01
7592	478	8.71985E+01
7592	282	8.73239E+01
7592	273	8.73803E+01
7592	233	8.74516E+01
7592	119	8.76227E+01
7592	561	8.80478E+01
7592	322	8.83951E+01
7592	354	8.86533E+01
7592	395	8.89287E+01
7592	243	8.90034E+01
7592	155	8.93146E+01
7592	313	8.96495E+01
7592	519	8.97626E+01
7592	403	9.01612E+01
7592	608	9.01738E+01
7592	436	9.02236E+01
7592	193	9.04875E+01
7592	118	9.12561E+01
7592	567	9.12998E+01
7592	602	9.14179E+01
7592	444	9.19637E+01
7592	232	9.21655E+01
7592	526	9.22115E+01
7592	272	9.23510E+01
7592	477	9.23999E+01
7592	485	9.25516E+01
7592	560	9.30208E+01
7592	154	9.35963E+01
7592	363	9.39060E+01
7592	283	9.41114E+01
7592	353	9.41791E+01
7592	394	9.45744E+01
7592	312	9.51815E+01
7592	192	9.53013E+01
7592	117	9.53377E+01
7592	518	9.53778E+01
7592	323	9.56209E+01
7592	244	9.60179E+01
7592	435	9.61008E+01
7592	609	9.61502E+01
7592	601	9.69619E+01
7592	231	9.75254E+01
7592	404	9.78337E+01
7592	271	9.80214E+01
7592	568	9.81198E+01
7592	153	9.83879E+01
7592	476	9.85973E+01
7592	559	9.91058E+01
7592	527	9.96928E+01
7592	116	9.98302E+01
7592	445	9.99552E+01
7592	486	1.00449E+02
7592	352	1.00475E+02
7592	191	1.00671E+02
7592	393	1.01032E+02
7592	311	1.01416E+02
7592	517	1.01954E+02
7592	364	1.02604E+02
7592	284	1.02672E+02
7592	434	1.02803E+02
7592	230	1.03463E+02
7592	600	1.03534E+02
7592	152	1.03640E+02
7592	610	1.03828E+02
7592	270	1.04305E+02
7592	324	1.04681E+02
7592	115	1.04686E+02
7592	245	1.04772E+02
7592	475	1.05601E+02
7592	558	1.06085E+02
7592	81	1.06185E+02
7592	190	1.06530E+02
7592	569	1.06669E+02
7592	405	1.07371E+02
7592	351	1.07408E+02
7592	392	1.08150E+02
7592	310	1.08239E+02
7592	528	1.08938E+02
7592	516	1.09287E+02
7592	151	1.09288E+02
7592	446	1.09789E+02
7592	114	1.09846E+02
7592	229	1.09895E+02
