GRAM	c2h2	chi_tot
9835	327	1.62117E+02
9835	368	1.62560E+02
9835	286	1.63397E+02
9835	409	1.63911E+02
10008	327	1.64035E+02
9922	327	1.64142E+02
10008	286	1.64476E+02
9922	286	1.64484E+02
9835	326	1.64670E+02
10008	368	1.64748E+02
1707	286	1.64804E+02
5309	286	1.64810E+02
9835	367	1.64839E+02
1817	286	1.64926E+02
9922	368	1.64946E+02
5412	286	1.65152E+02
5309	245	1.65389E+02
10008	326	1.65620E+02
9922	326	1.65713E+02
1707	245	1.65719E+02
5412	245	1.65783E+02
9835	450	1.65790E+02
1817	245	1.65882E+02
10008	409	1.65969E+02
1707	327	1.65983E+02
9835	408	1.66059E+02
1817	327	1.66060E+02
10008	367	1.66107E+02
9922	409	1.66258E+02
5309	327	1.66276E+02
9922	367	1.66296E+02
9835	285	1.66390E+02
5309	285	1.66397E+02
9922	285	1.66444E+02
10008	285	1.66454E+02
1707	285	1.66472E+02
12218	368	1.66550E+02
5412	327	1.66566E+02
12218	327	1.66569E+02
1817	285	1.66593E+02
12160	327	1.66718E+02
12160	368	1.66735E+02
5412	285	1.66741E+02
12102	327	1.66781E+02
12102	368	1.66816E+02
9922	245	1.67107E+02
12218	409	1.67201E+02
10008	245	1.67208E+02
10008	408	1.67240E+02
1707	326	1.67341E+02
1817	326	1.67415E+02
12160	409	1.67426E+02
9835	366	1.67430E+02
5309	244	1.67436E+02
10008	450	1.67446E+02
10008	325	1.67493E+02
5309	326	1.67520E+02
12102	409	1.67523E+02
9922	408	1.67524E+02
9835	325	1.67549E+02
9922	325	1.67571E+02
10008	366	1.67737E+02
9835	245	1.67743E+02
1707	244	1.67789E+02
5412	326	1.67808E+02
9922	450	1.67830E+02
5412	244	1.67834E+02
9835	449	1.67901E+02
9922	366	1.67915E+02
1817	244	1.67953E+02
12218	286	1.67984E+02
9835	491	1.68039E+02
12160	286	1.68097E+02
12102	286	1.68144E+02
12218	450	1.68208E+02
1707	368	1.68239E+02
5309	284	1.68254E+02
1817	368	1.68266E+02
12218	367	1.68331E+02
1707	284	1.68396E+02
12160	450	1.68476E+02
9835	407	1.68502E+02
9079	286	1.68505E+02
1817	284	1.68517E+02
12160	367	1.68520E+02
12102	450	1.68593E+02
5412	284	1.68600E+02
12218	326	1.68601E+02
12102	367	1.68602E+02
9922	284	1.68681E+02
5309	368	1.68703E+02
9167	286	1.68706E+02
10008	284	1.68709E+02
10008	449	1.68716E+02
12160	326	1.68752E+02
10008	407	1.68765E+02
12102	326	1.68816E+02
10159	286	1.68850E+02
12218	408	1.68870E+02
10073	286	1.68930E+02
5412	368	1.68937E+02
1707	325	1.68959E+02
1817	325	1.69030E+02
5309	325	1.69032E+02
10073	245	1.69038E+02
9922	407	1.69042E+02
10159	245	1.69048E+02
9922	449	1.69099E+02
12160	408	1.69102E+02
10008	491	1.69112E+02
9079	327	1.69193E+02
5309	204	1.69194E+02
12102	408	1.69202E+02
9167	327	1.69265E+02
5412	325	1.69320E+02
1707	367	1.69460E+02
12218	491	1.69462E+02
1817	367	1.69481E+02
10159	285	1.69499E+02
9922	244	1.69521E+02
10073	285	1.69558E+02
9079	245	1.69587E+02
9922	491	1.69599E+02
5412	204	1.69639E+02
10008	244	1.69642E+02
10008	365	1.69655E+02
10008	324	1.69661E+02
9835	284	1.69693E+02
5309	243	1.69707E+02
1707	204	1.69711E+02
9922	324	1.69723E+02
12160	491	1.69777E+02
9079	285	1.69778E+02
5309	367	1.69785E+02
9922	365	1.69820E+02
12218	449	1.69856E+02
1817	204	1.69914E+02
12102	491	1.69915E+02
9167	245	1.69940E+02
10159	327	1.69993E+02
9167	285	1.70008E+02
5412	367	1.70015E+02
1707	243	1.70066E+02
9079	326	1.70105E+02
