GRAM	c2h2	chi_tot
10223	409	5.02133E+02
10137	409	5.03186E+02
10223	450	5.04575E+02
10223	368	5.05492E+02
10137	450	5.06033E+02
10137	368	5.06147E+02
10223	491	5.10745E+02
10137	491	5.12633E+02
8200	409	5.15467E+02
8200	368	5.15532E+02
7480	409	5.16308E+02
7480	368	5.16441E+02
8110	368	5.16769E+02
8110	409	5.17403E+02
10223	327	5.18418E+02
10137	327	5.18654E+02
10223	532	5.19599E+02
10223	408	5.19952E+02
8200	450	5.20795E+02
10137	408	5.20931E+02
10223	449	5.21012E+02
7480	450	5.21518E+02
10137	532	5.21958E+02
10137	449	5.22419E+02
8110	450	5.23441E+02
8200	327	5.24502E+02
8110	327	5.24995E+02
7480	327	5.25429E+02
10223	367	5.25771E+02
10137	367	5.26326E+02
10223	490	5.26701E+02
10137	490	5.28561E+02
8200	491	5.29670E+02
7480	491	5.30234E+02
10223	573	5.30679E+02
8200	408	5.31328E+02
7480	408	5.32083E+02
8110	491	5.33089E+02
8110	408	5.33137E+02
10137	573	5.33561E+02
8200	367	5.33686E+02
7480	367	5.34504E+02
8110	367	5.34736E+02
8200	449	5.35461E+02
10223	531	5.35784E+02
7480	449	5.36108E+02
8129	368	5.37121E+02
8219	368	5.37828E+02
8110	449	5.38042E+02
10137	531	5.38134E+02
3649	368	5.39299E+02
8219	409	5.39369E+02
8129	409	5.39629E+02
7499	368	5.41215E+02
8200	532	5.41240E+02
3543	368	5.41452E+02
7480	532	5.41613E+02
3649	409	5.41834E+02
10223	448	5.42029E+02
10223	326	5.42300E+02
10223	407	5.42316E+02
10137	326	5.42414E+02
7499	409	5.42526E+02
10137	407	5.43204E+02
10137	448	5.43367E+02
8129	327	5.43658E+02
10223	614	5.43821E+02
8200	490	5.44044E+02
3543	409	5.44297E+02
7480	490	5.44546E+02
8219	327	5.45387E+02
8110	532	5.45536E+02
8200	326	5.46135E+02
8110	326	5.46390E+02
8219	450	5.46554E+02
10137	286	5.46843E+02
7480	326	5.46973E+02
3649	327	5.47068E+02
10223	286	5.47073E+02
10223	489	5.47213E+02
10137	614	5.47286E+02
8110	490	5.47457E+02
10223	572	5.47634E+02
8129	450	5.47784E+02
8110	286	5.47933E+02
8200	286	5.48283E+02
3543	327	5.48976E+02
7499	327	5.48979E+02
10137	489	5.49023E+02
7480	286	5.49183E+02
7499	450	5.49450E+02
10223	366	5.50440E+02
10137	572	5.50524E+02
10137	366	5.50883E+02
3649	450	5.51258E+02
8200	407	5.51635E+02
7480	407	5.52301E+02
8110	407	5.53285E+02
3543	450	5.54114E+02
8200	448	5.54580E+02
7480	448	5.55146E+02
8200	573	5.55197E+02
8129	367	5.55215E+02
7480	573	5.55358E+02
8219	408	5.55546E+02
8129	408	5.55588E+02
8200	531	5.56018E+02
8200	366	5.56160E+02
8219	367	5.56196E+02
7480	531	5.56346E+02
10223	530	5.56477E+02
7480	366	5.56887E+02
8110	366	5.56999E+02
8110	448	5.57057E+02
8219	491	5.57574E+02
7499	408	5.58728E+02
10137	530	5.58795E+02
7499	367	5.59602E+02
8129	491	5.59830E+02
7499	491	5.60181E+02
8110	531	5.60360E+02
3649	367	5.60479E+02
8110	573	5.60502E+02
3649	408	5.61091E+02
8219	449	5.61622E+02
10223	613	5.61955E+02
8129	449	5.62693E+02
3543	367	5.62717E+02
8200	489	5.62820E+02
7480	489	5.63253E+02
3543	408	5.63665E+02
7499	449	5.64556E+02
8129	326	5.65114E+02
8129	286	5.65139E+02
10137	613	5.65439E+02
3649	491	5.65828E+02
8110	489	5.66181E+02
8219	326	5.67166E+02
10223	447	5.67592E+02
8219	286	5.68002E+02
10137	447	5.68843E+02
10223	571	5.69049E+02
10223	406	5.69123E+02
3543	491	5.69179E+02
3649	449	5.69677E+02
10137	406	5.69905E+02
10137	325	5.70198E+02
10223	325	5.70216E+02
7499	326	5.70778E+02
8200	572	5.70896E+02
3649	286	5.70978E+02
7480	572	5.71028E+02
3649	326	5.71364E+02
7480	614	5.71420E+02
8200	614	5.71483E+02
8219	532	5.71573E+02
8200	325	5.71759E+02
8110	325	5.71760E+02
7499	286	5.71789E+02
10137	571	5.71920E+02
10223	488	5.72299E+02
8219	490	5.72409E+02
7480	325	5.72510E+02
3543	449	5.72670E+02
3543	286	5.72693E+02
3543	326	5.73334E+02
8110	285	5.73747E+02
7499	532	5.73870E+02
10137	488	5.74040E+02
3562	286	5.74207E+02
8200	285	5.74369E+02
8129	490	5.74562E+02
8129	532	5.74955E+02
7499	490	5.75070E+02
10137	285	5.75097E+02
8200	530	5.75125E+02
7480	285	5.75190E+02
7480	530	5.75396E+02
10223	285	5.75467E+02
8129	407	5.75951E+02
8219	407	5.76161E+02
8200	406	5.76284E+02
8110	572	5.76289E+02
7480	406	5.76861E+02
3668	286	5.76960E+02
8129	366	5.77628E+02
8110	406	5.77745E+02
8110	614	5.77950E+02
8200	447	5.78115E+02
7480	447	5.78597E+02
8219	366	5.78910E+02
3562	285	5.79246E+02
10223	365	5.79313E+02
7499	407	5.79372E+02
8110	530	5.79459E+02
10137	365	5.79632E+02
3562	245	5.79941E+02
8110	447	5.80449E+02
3562	327	5.80771E+02
8219	448	5.81119E+02
3562	326	5.81189E+02
10223	529	5.81738E+02
3668	285	5.81781E+02
8129	448	5.81989E+02
7499	366	5.82342E+02
3668	245	5.82438E+02
8200	365	5.82767E+02
8110	365	5.83374E+02
7480	365	5.83406E+02
3668	327	5.83686E+02
3668	326	5.83856E+02
10137	529	5.84001E+02
7499	448	5.84091E+02
3649	490	5.84279E+02
10223	612	5.84508E+02
3649	407	5.84618E+02
3649	532	5.84778E+02
3562	325	5.85482E+02
3649	366	5.85834E+02
8200	488	5.86012E+02
7480	488	5.86368E+02
8219	531	5.86843E+02
3543	407	5.87289E+02
3562	284	5.87784E+02
3543	490	5.87788E+02
3668	325	5.87909E+02
10137	612	5.87981E+02
3543	366	5.88146E+02
8219	573	5.88212E+02
7480	613	5.88399E+02
8200	613	5.88476E+02
3543	532	5.88737E+02
7499	531	5.89212E+02
10204	409	5.89213E+02
8110	488	5.89273E+02
3562	367	5.89643E+02
3668	284	5.90107E+02
8129	531	5.90170E+02
7499	573	5.90185E+02
3562	244	5.90606E+02
8129	325	5.90617E+02
8200	571	5.90847E+02
7480	571	5.90935E+02
3562	366	5.90952E+02
8129	285	5.91043E+02
10118	409	5.91059E+02
10204	450	5.91155E+02
8219	489	5.91614E+02
3562	368	5.92303E+02
3649	448	5.92339E+02
3668	367	5.92347E+02
10204	368	5.92522E+02
8129	573	5.92850E+02
3668	244	5.92912E+02
8219	325	5.93008E+02
10118	450	5.93255E+02
3668	366	5.93388E+02
3562	324	5.93480E+02
8129	489	5.93614E+02
10118	368	5.94115E+02
8219	285	5.94259E+02
8110	245	5.94266E+02
7499	489	5.94326E+02
10223	570	5.95015E+02
8110	613	5.95061E+02
3668	368	5.95285E+02
3543	448	5.95450E+02
8200	245	5.95592E+02
3668	324	5.95675E+02
3562	365	5.96154E+02
8110	571	5.96267E+02
10204	491	5.96308E+02
7480	245	5.96436E+02
7499	325	5.96649E+02
10223	446	5.97607E+02
10137	570	5.97840E+02
7499	285	5.98077E+02
3668	365	5.98329E+02
8200	529	5.98612E+02
10118	491	5.98688E+02
10137	446	5.98753E+02
7480	529	5.98815E+02
3649	285	5.99382E+02
3649	325	5.99531E+02
3562	283	5.99553E+02
10137	245	5.99631E+02
10223	405	6.00204E+02
3562	407	6.00215E+02
10223	245	6.00398E+02
3562	408	6.00541E+02
8129	406	6.00655E+02
8110	324	6.00825E+02
10137	405	6.00866E+02
8200	324	6.01091E+02
3543	285	6.01138E+02
8219	406	6.01150E+02
3543	325	6.01554E+02
3668	283	6.01670E+02
10137	324	6.01723E+02
7480	324	6.01760E+02
10223	324	6.01881E+02
10223	487	6.01929E+02
3668	407	6.02558E+02
8110	529	6.02882E+02
8110	284	6.02902E+02
3668	408	6.03183E+02
10137	487	6.03578E+02
10204	532	6.03691E+02
3562	406	6.03779E+02
8200	284	6.03804E+02
3649	531	6.03898E+02
3562	243	6.04010E+02
8129	365	6.04219E+02
7499	406	6.04393E+02
8219	572	6.04410E+02
7480	284	6.04549E+02
3562	409	6.04766E+02
10204	327	6.04806E+02
3562	323	6.04958E+02
8219	447	6.05042E+02
3562	364	6.05110E+02
8200	405	6.05110E+02
10204	408	6.05410E+02
7480	405	6.05597E+02
8129	447	6.05668E+02
8219	365	6.05826E+02
3668	406	6.05835E+02
10204	449	6.05894E+02
8200	446	6.05974E+02
10118	327	6.06127E+02
3668	243	6.06133E+02
8110	405	6.06351E+02
7480	446	6.06367E+02
10118	532	6.06390E+02
8219	530	6.06405E+02
7499	572	6.06476E+02
10137	284	6.06709E+02
3649	489	6.06880E+02
3668	323	6.06928E+02
3668	364	6.07035E+02
10118	408	6.07216E+02
10223	284	6.07225E+02
8219	614	6.07393E+02
3668	409	6.07716E+02
3649	573	6.07848E+02
3562	204	6.07977E+02
10118	449	6.07982E+02
3543	531	6.08031E+02
7499	447	6.08052E+02
8110	446	6.08125E+02
7499	530	6.08842E+02
8129	572	6.09030E+02
7499	614	6.09036E+02
7499	365	6.09287E+02
7480	612	6.09544E+02
8129	530	6.09619E+02
8200	612	6.09652E+02
3668	204	6.10122E+02
10204	490	6.10517E+02
3543	489	6.10526E+02
8129	245	6.10563E+02
3562	405	6.11174E+02
3562	448	6.11232E+02
10204	367	6.11266E+02
10223	528	6.11586E+02
10223	611	6.11597E+02
3562	449	6.12033E+02
10223	364	6.12136E+02
3649	406	6.12301E+02
10137	364	6.12319E+02
3543	573	6.12536E+02
10118	367	6.12794E+02
10118	490	6.12909E+02
10204	573	6.12920E+02
3668	405	6.12953E+02
8197	327	6.13068E+02
8200	364	6.13257E+02
3668	448	6.13377E+02
8129	614	6.13436E+02
8200	487	6.13585E+02
8110	364	6.13610E+02
10137	528	6.13768E+02
7480	364	6.13809E+02
7480	487	6.13857E+02
3605	368	6.13952E+02
3605	409	6.13995E+02
3562	447	6.14216E+02
3562	282	6.14252E+02
3668	449	6.14505E+02
8219	245	6.14707E+02
10137	611	6.15029E+02
3543	406	6.15055E+02
8200	570	6.15131E+02
7480	570	6.15162E+02
8107	327	6.15164E+02
3649	365	6.15167E+02
8219	488	6.15230E+02
8197	286	6.15467E+02
9124	286	6.15627E+02
3499	368	6.15811E+02
10118	573	6.15989E+02
3668	447	6.16048E+02
3499	409	6.16152E+02
3668	282	6.16172E+02
8110	612	6.16286E+02
9036	286	6.16483E+02
3562	450	6.16580E+02
8110	487	6.16698E+02
8129	488	6.17026E+02
8107	286	6.17086E+02
3543	365	6.17543E+02
3562	363	6.17625E+02
8197	326	6.17821E+02
8197	368	6.17857E+02
9124	327	6.17895E+02
7499	488	6.17993E+02
10204	531	6.18100E+02
7477	327	6.18492E+02
7499	245	6.18709E+02
9036	327	6.18969E+02
8197	367	6.19027E+02
3649	447	6.19191E+02
3668	363	6.19309E+02
3668	450	6.19391E+02
9124	326	6.19455E+02
3562	322	6.19643E+02
8107	326	6.19705E+02
3649	245	6.19718E+02
3562	242	6.19833E+02
8129	324	6.19925E+02
8107	368	6.20261E+02
8129	284	6.20413E+02
9036	326	6.20512E+02
8110	570	6.20514E+02
7477	286	6.20776E+02
10118	531	6.20834E+02
3562	446	6.20986E+02
3543	245	6.21280E+02
8107	367	6.21283E+02
3668	322	6.21398E+02
3605	450	6.21562E+02
3668	242	6.21778E+02
9124	285	6.22239E+02
3562	404	6.22281E+02
3543	447	6.22403E+02
3668	446	6.22518E+02
8219	324	6.22671E+02
9036	285	6.23046E+02
7477	326	6.23162E+02
3562	489	6.23283E+02
7477	368	6.23362E+02
3562	490	6.23665E+02
3668	404	6.23796E+02
3562	203	6.23826E+02
10204	614	6.23898E+02
8219	284	6.23991E+02
3499	450	6.24079E+02
9124	367	6.24097E+02
8197	408	6.24151E+02
8197	366	6.24324E+02
7477	367	6.24447E+02
8110	244	6.24636E+02
8219	571	6.24823E+02
8219	613	6.24875E+02
9124	325	6.25022E+02
8197	285	6.25052E+02
3605	327	6.25062E+02
3668	489	6.25118E+02
10204	448	6.25188E+02
8197	409	6.25203E+02
9036	367	6.25364E+02
10223	569	6.25587E+02
3668	203	6.25811E+02
3668	490	6.25853E+02
9036	325	6.26053E+02
10204	407	6.26116E+02
9124	366	6.26150E+02
9124	368	6.26231E+02
8200	244	6.26246E+02
7499	324	6.26345E+02
8107	366	6.26408E+02
8107	285	6.26416E+02
8197	325	6.26480E+02
8200	528	6.26489E+02
3562	488	6.26536E+02
7480	528	6.26615E+02
7499	613	6.26632E+02
3499	327	6.26663E+02
8107	408	6.26683E+02
7499	571	6.26975E+02
9124	245	6.26982E+02
7480	244	6.27025E+02
3649	530	6.27049E+02
