GRAM	c2h2	chi_tot
7798	281	6.54838E+01
7618	281	6.55201E+01
7708	281	6.55684E+01
7798	320	6.57637E+01
7618	320	6.57828E+01
7708	320	6.58288E+01
7798	242	6.58653E+01
7618	321	6.59267E+01
7798	280	6.59888E+01
7618	242	6.60137E+01
7708	242	6.60211E+01
7708	321	6.60350E+01
7618	361	6.60389E+01
7798	321	6.60549E+01
7618	280	6.60659E+01
7798	241	6.60723E+01
7708	280	6.60945E+01
7708	361	6.61780E+01
7618	241	6.61885E+01
7708	241	6.62049E+01
7798	361	6.62703E+01
7618	401	6.65137E+01
7798	360	6.65163E+01
7618	360	6.65462E+01
7708	360	6.65773E+01
7708	401	6.66001E+01
7798	401	6.66510E+01
7798	203	6.68678E+01
7708	203	6.70360E+01
7618	203	6.70418E+01
7618	442	6.71227E+01
7708	442	6.72501E+01
7798	204	6.72633E+01
7798	442	6.73983E+01
7618	402	6.74556E+01
7708	204	6.74838E+01
7618	204	6.75174E+01
7708	402	6.77189E+01
7618	282	6.77868E+01
7798	282	6.78104E+01
7708	282	6.78626E+01
7618	483	6.78770E+01
7708	483	6.79960E+01
7798	402	6.80199E+01
7798	483	6.81740E+01
7798	243	6.82420E+01
7798	319	6.83392E+01
7618	243	6.84129E+01
7708	243	6.84150E+01
7708	319	6.84712E+01
7618	319	6.84745E+01
7798	202	6.85224E+01
7798	240	6.85503E+01
7618	202	6.86137E+01
7798	400	6.86163E+01
7618	240	6.86255E+01
7708	202	6.86363E+01
7708	240	6.86541E+01
7618	443	6.86918E+01
7798	441	6.87228E+01
7708	400	6.87812E+01
7618	524	6.87874E+01
7618	362	6.87912E+01
7708	524	6.88192E+01
7618	400	6.88438E+01
7708	441	6.88821E+01
7798	524	6.89177E+01
7618	441	6.89680E+01
7798	279	6.90163E+01
7708	362	6.90587E+01
7708	443	6.90691E+01
7618	279	6.91161E+01
7708	279	6.91320E+01
7618	322	6.91943E+01
7618	484	6.93250E+01
7798	362	6.93298E+01
7708	322	6.93784E+01
7798	322	6.95013E+01
7618	525	6.95051E+01
7798	482	6.95144E+01
7798	443	6.95668E+01
7618	566	6.96520E+01
7708	482	6.97318E+01
7708	484	6.97654E+01
7798	359	6.97954E+01
7798	565	6.98530E+01
7618	482	6.98888E+01
7708	525	6.99238E+01
7708	566	6.99393E+01
7708	565	6.99725E+01
7708	359	6.99835E+01
7618	359	7.00409E+01
7618	565	7.01278E+01
7618	607	7.02606E+01
7708	607	7.02922E+01
7798	484	7.03888E+01
7798	566	7.04273E+01
7798	607	7.04665E+01
7798	525	7.05549E+01
7798	523	7.08367E+01
7708	523	7.12125E+01
7798	606	7.13141E+01
7618	523	7.15131E+01
7618	608	7.16397E+01
7708	606	7.18066E+01
7618	403	7.18805E+01
7798	201	7.19399E+01
7618	201	7.19461E+01
7708	201	7.19977E+01
7708	608	7.22277E+01
7618	606	7.22605E+01
7708	403	7.23485E+01
7618	567	7.26368E+01
7798	564	7.27960E+01
7798	403	7.29324E+01
7798	239	7.30015E+01
7618	239	7.30276E+01
7708	239	7.30712E+01
7798	608	7.31373E+01
7618	283	7.31592E+01
7798	283	7.32626E+01
7708	283	7.32708E+01
7798	440	7.33048E+01
7708	567	7.34280E+01
7708	564	7.34559E+01
7798	318	7.34689E+01
7798	244	7.35162E+01
7798	399	7.36383E+01
7708	318	7.36502E+01
7618	318	7.36907E+01
7618	244	7.36993E+01
7708	244	7.37002E+01
7708	440	7.37271E+01
7618	526	7.37494E+01
7618	444	7.38276E+01
7708	399	7.39837E+01
7618	564	7.39896E+01
7618	440	7.39900E+01
7618	399	7.41680E+01
7798	481	7.42087E+01
7798	278	7.42579E+01
7618	485	7.43415E+01
7618	278	7.43630E+01
7708	278	7.43731E+01
7708	444	7.44903E+01
7798	567	7.45832E+01
7708	526	7.46071E+01
7708	481	7.47679E+01
7618	363	7.50183E+01
7708	485	7.51469E+01
7618	481	7.51551E+01
7798	444	7.53769E+01
7708	363	7.54344E+01
7798	605	7.56099E+01
7798	358	7.57951E+01
7798	526	7.58233E+01
7618	323	7.58342E+01
7683	275	7.58587E+01
7683	315	7.59039E+01
7798	363	7.59093E+01
7708	358	7.60844E+01
7683	235	7.61074E+01
7708	323	7.61080E+01
7798	522	7.61307E+01
7618	358	7.62112E+01
7798	485	7.62614E+01
7683	236	7.62813E+01
7683	356	7.62936E+01
7798	323	7.63518E+01
7618	609	7.63677E+01
7683	355	7.64018E+01
7683	274	7.65146E+01
7683	196	7.65333E+01
7683	396	7.65555E+01
7683	197	7.65661E+01
7683	316	7.66339E+01
7683	276	7.66640E+01
7773	275	7.66888E+01
7708	605	7.66923E+01
7773	315	7.67621E+01
7618	200	7.67847E+01
7683	314	7.68355E+01
7798	200	7.68655E+01
7708	200	7.68657E+01
7708	522	7.69178E+01
7683	397	7.69355E+01
7773	235	7.69635E+01
7683	437	7.69653E+01
7773	236	7.70302E+01
7683	234	7.71029E+01
7683	159	7.71152E+01
7773	356	7.71446E+01
7618	163	7.71838E+01
7683	158	7.71967E+01
7708	163	7.72748E+01
7798	163	7.72987E+01
7773	355	7.73035E+01
7773	197	7.73172E+01
7773	196	7.73932E+01
7773	276	7.73977E+01
7773	316	7.74166E+01
7683	438	7.74347E+01
7683	195	7.74388E+01
7773	274	7.74407E+01
7773	396	7.74537E+01
7618	522	7.74951E+01
7683	478	7.75481E+01
7618	605	7.75570E+01
7708	609	7.75778E+01
7683	198	7.76423E+01
7683	479	7.77152E+01
7683	237	7.77690E+01
7773	314	7.77727E+01
7773	397	7.78207E+01
7683	160	7.78478E+01
7773	437	7.78708E+01
7863	275	7.78889E+01
7773	159	7.78932E+01
7683	520	7.79208E+01
7683	157	7.80214E+01
7863	315	7.80337E+01
7773	234	7.80636E+01
7773	158	7.80761E+01
7863	236	7.80768E+01
7683	395	7.81318E+01
7683	357	7.81748E+01
7863	235	7.81977E+01
7683	122	7.82379E+01
7683	354	7.82493E+01
7773	198	7.82813E+01
7683	561	7.83040E+01
7863	197	7.83646E+01
7773	438	7.83699E+01
7683	519	7.83897E+01
7773	195	7.84043E+01
7773	237	7.84081E+01
7863	276	7.84319E+01
7863	356	7.84368E+01
7773	478	7.84502E+01
7683	273	7.84665E+01
7773	160	7.85221E+01
7863	316	7.85584E+01
7683	436	7.85882E+01
7863	196	7.86331E+01
7863	355	7.86840E+01
7683	121	7.86892E+01
7773	479	7.86897E+01
7863	274	7.88107E+01
7863	396	7.88707E+01
7773	520	7.89017E+01
7683	603	7.89829E+01
7773	357	7.89849E+01
7863	159	7.89914E+01
7773	157	7.90000E+01
7618	568	7.90494E+01
7773	395	7.90588E+01
7798	563	7.90798E+01
7618	238	7.91228E+01
7683	277	7.91251E+01
7863	198	7.91341E+01
7773	122	7.91372E+01
7683	602	7.91384E+01
7683	233	7.91520E+01
7798	238	7.91534E+01
7708	238	7.91842E+01
7863	314	7.91844E+01
7683	194	7.92030E+01
7773	354	7.92100E+01
7863	397	7.92143E+01
7683	313	7.92261E+01
7773	561	7.92427E+01
7683	317	7.92522E+01
7773	519	7.92598E+01
7863	237	7.92670E+01
7798	609	7.92825E+01
7683	562	7.93238E+01
7863	437	7.93529E+01
7863	158	7.93578E+01
7863	160	7.94351E+01
7683	161	7.94830E+01
7863	234	7.94854E+01
7773	273	7.94877E+01
7773	436	7.94884E+01
7683	477	7.95268E+01
7683	156	7.95339E+01
7683	398	7.95539E+01
7683	560	7.96590E+01
7773	121	7.96723E+01
7683	120	7.97224E+01
7773	277	7.97625E+01
7863	195	7.98351E+01
7683	199	7.98957E+01
7863	438	7.99000E+01
7683	521	7.99036E+01
7618	404	7.99191E+01
7773	317	7.99637E+01
7773	602	7.99774E+01
7863	478	7.99885E+01
7773	603	8.00472E+01
7773	161	8.00513E+01
7708	563	8.02067E+01
7863	357	8.02079E+01
7773	233	8.02145E+01
7773	313	8.02450E+01
7773	194	8.02711E+01
7683	439	8.02993E+01
7683	480	8.03449E+01
7863	479	8.03474E+01
7773	477	8.03898E+01
7708	568	8.04011E+01
7773	199	8.04194E+01
7773	398	8.04439E+01
7863	122	8.04501E+01
7773	560	8.04564E+01
7773	562	8.04590E+01
7863	157	8.04637E+01
7863	395	8.05278E+01
7773	156	8.06092E+01
7708	404	8.06192E+01
7863	277	8.06351E+01
7863	520	8.06415E+01
7863	354	8.06972E+01
7683	238	8.07476E+01
7863	161	8.07772E+01
7773	120	8.07891E+01
7863	519	8.08151E+01
7798	317	8.08379E+01
7798	439	8.08418E+01
7863	436	8.09626E+01
7683	518	8.09820E+01
7863	317	8.09866E+01
7863	561	8.09926E+01
7863	273	8.10314E+01
7773	521	8.10412E+01
7708	317	8.10511E+01
7618	563	8.10527E+01
7863	199	8.10754E+01
7618	317	8.11172E+01
7863	121	8.11476E+01
7773	238	8.12745E+01
7773	439	8.12908E+01
7683	119	8.12993E+01
7683	604	8.13871E+01
7683	394	8.13902E+01
7798	398	8.13950E+01
7798	277	8.14210E+01
7773	480	8.14280E+01
7708	439	8.14810E+01
7618	527	8.14997E+01
7618	277	8.15152E+01
7798	404	8.15167E+01
7708	277	8.15256E+01
7683	601	8.15370E+01
7683	272	8.15718E+01
7683	353	8.16019E+01
7863	602	8.16504E+01
7683	155	8.16926E+01
7683	193	8.17659E+01
7773	518	8.17839E+01
7863	313	8.18065E+01
7863	233	8.18241E+01
7863	398	8.18436E+01
7863	477	8.18612E+01
7708	398	8.18852E+01
7618	439	8.18852E+01
7863	194	8.18913E+01
7618	284	8.19007E+01
7863	238	8.19458E+01
7863	560	8.19680E+01
7798	480	8.19731E+01
7798	245	8.19874E+01
7683	435	8.20002E+01
7708	284	8.20568E+01
7863	603	8.20866E+01
7798	284	8.21042E+01
7618	162	8.21122E+01
7683	162	8.21312E+01
7683	232	8.21596E+01
7618	398	8.21648E+01
7618	245	8.21713E+01
7708	245	8.21754E+01
7773	601	8.22153E+01
7708	162	8.22374E+01
7863	156	8.22535E+01
7798	568	8.22764E+01
7683	358	8.23121E+01
7798	162	8.23270E+01
7773	394	8.23602E+01
7863	120	8.24267E+01
7773	119	8.24489E+01
7863	562	8.25245E+01
7618	445	8.25900E+01
7773	162	8.25913E+01
7773	353	8.26291E+01
7773	272	8.26873E+01
7773	604	8.27448E+01
7708	480	8.28174E+01
7708	527	8.28450E+01
7773	155	8.28622E+01
7683	312	8.28918E+01
7863	439	8.29100E+01
7618	199	8.29118E+01
7773	435	8.29170E+01
7773	193	8.29334E+01
7618	486	8.29363E+01
7708	199	8.30227E+01
7683	563	8.30236E+01
7863	521	8.30305E+01
7683	559	8.30500E+01
7798	199	8.30816E+01
7773	358	8.30925E+01
7863	162	8.31279E+01
7798	604	8.31663E+01
7863	518	8.32197E+01
7863	480	8.32581E+01
7773	232	8.33213E+01
7683	476	8.33266E+01
7683	118	8.33886E+01
7618	480	8.33893E+01
7683	278	8.34679E+01
7683	200	8.34906E+01
7708	445	8.35723E+01
7863	601	8.36113E+01
7773	559	8.37578E+01
7773	200	8.38958E+01
7863	394	8.39088E+01
7773	312	8.39948E+01
7773	278	8.40097E+01
7683	318	8.40111E+01
7708	486	8.41479E+01
7773	476	8.41810E+01
7798	357	8.41885E+01
7863	353	8.42403E+01
7863	119	8.42484E+01
7863	358	8.42664E+01
7618	610	8.43195E+01
7863	200	8.43525E+01
7863	272	8.44083E+01
7773	563	8.44139E+01
7863	435	8.44222E+01
7683	154	8.44670E+01
7798	521	8.45252E+01
7708	357	8.45529E+01
7773	118	8.46198E+01
7683	522	8.46354E+01
7773	318	8.46567E+01
7863	155	8.46858E+01
7798	527	8.46928E+01
7683	399	8.46967E+01
7863	278	8.47257E+01
7618	357	8.47314E+01
7863	193	8.47418E+01
7708	604	8.47543E+01
7618	364	8.48691E+01
7798	445	8.48839E+01
7686	281	8.49392E+01
7683	192	8.50780E+01
7863	559	8.51086E+01
7863	232	8.51187E+01
7686	242	8.51402E+01
7863	604	8.52376E+01
7683	517	8.53583E+01
7683	239	8.54266E+01
7708	364	8.54541E+01
7863	318	8.55725E+01
7773	399	8.56110E+01
7863	476	8.56366E+01
7708	521	8.56560E+01
7683	271	8.57023E+01
7863	312	8.57152E+01
7773	154	8.57282E+01
7683	481	8.57307E+01
7686	321	8.57440E+01
7798	486	8.57946E+01
7683	600	8.58311E+01
7773	239	8.58395E+01
7683	440	8.58507E+01
7683	163	8.59306E+01
7618	604	8.59530E+01
7683	117	8.59653E+01
7773	522	8.59782E+01
7686	241	8.60100E+01
7683	231	8.60417E+01
7618	324	8.60448E+01
7683	393	8.60680E+01
7773	517	8.61307E+01
7798	364	8.61562E+01
7708	610	8.62106E+01
7683	352	8.62384E+01
7773	163	8.62804E+01
7686	280	8.62948E+01
7863	239	8.63232E+01
7773	192	8.63418E+01
7773	600	8.64085E+01
7708	324	8.64223E+01
7686	320	8.64428E+01
7618	521	8.64542E+01
7686	282	8.65260E+01
7863	118	8.65805E+01
7683	605	8.66111E+01
7863	163	8.66252E+01
7618	237	8.66727E+01
7708	237	8.67541E+01
7798	237	8.67672E+01
7798	324	8.68045E+01
7776	281	8.68117E+01
7863	563	8.68701E+01
7686	361	8.68801E+01
7683	434	8.69056E+01
7773	271	8.69111E+01
7686	204	8.69228E+01
7773	440	8.69274E+01
7773	481	8.69610E+01
7686	243	8.69628E+01
7686	203	8.69857E+01
7863	399	8.70474E+01
7776	242	8.70610E+01
7773	393	8.70934E+01
7773	117	8.72769E+01
7773	231	8.73000E+01
7773	352	8.73387E+01
7863	517	8.75107E+01
7776	321	8.75283E+01
7863	600	8.76173E+01
7683	311	8.76604E+01
7863	154	8.77297E+01
7683	153	8.78316E+01
7773	434	8.78587E+01
7618	161	8.79909E+01
7776	241	8.80626E+01
7683	558	8.81275E+01
7708	161	8.81497E+01
7776	280	8.82798E+01
7863	522	8.82808E+01
7776	282	8.82920E+01
7686	322	8.82959E+01
7798	161	8.83049E+01
7686	360	8.83050E+01
7776	320	8.83052E+01
7773	605	8.83325E+01
7863	192	8.83370E+01
7798	562	8.84253E+01
7776	361	8.86018E+01
7683	201	8.86216E+01
7683	475	8.86288E+01
7863	440	8.86772E+01
7863	393	8.87476E+01
7776	243	8.87538E+01
7798	610	8.87615E+01
7618	569	8.87665E+01
7773	558	8.87926E+01
7863	271	8.88125E+01
7773	311	8.88492E+01
7686	362	8.88526E+01
7776	204	8.88796E+01
7773	201	8.89053E+01
7686	401	8.89219E+01
7866	281	8.89484E+01
7683	359	8.89840E+01
7686	402	8.89908E+01
7683	116	8.90091E+01
7863	481	8.90159E+01
7776	203	8.90798E+01
7863	352	8.90900E+01
7683	191	8.90914E+01
7863	201	8.91603E+01
7773	153	8.91818E+01
7686	202	8.92164E+01
7686	240	8.92807E+01
7863	231	8.92851E+01
7866	242	8.92931E+01
7863	117	8.93974E+01
7863	434	8.94319E+01
7866	321	8.95007E+01
7773	475	8.95018E+01
7683	564	8.96519E+01
7773	359	8.97478E+01
7708	562	8.99402E+01
7683	279	8.99454E+01
7776	322	9.00150E+01
7863	558	9.00586E+01
7776	360	9.00649E+01
7686	319	9.01353E+01
7798	316	9.01465E+01
7618	198	9.01477E+01
7798	276	9.02416E+01
7866	282	9.02474E+01
7708	198	9.02887E+01
7686	279	9.03088E+01
7618	276	9.03093E+01
7708	276	9.03256E+01
7708	316	9.03747E+01
7773	279	9.03932E+01
7773	116	9.03990E+01
7798	198	9.04083E+01
7866	320	9.04189E+01
7773	191	9.04484E+01
7618	316	9.04558E+01
7866	361	9.04585E+01
7866	241	9.05158E+01
7776	401	9.05415E+01
7776	362	9.05565E+01
7686	442	9.06037E+01
7866	280	9.06087E+01
7776	402	9.06365E+01
7683	230	9.07165E+01
7708	569	9.07299E+01
7683	270	9.07348E+01
7863	311	9.07368E+01
3357	282	9.07627E+01
7866	243	9.07690E+01
3463	282	9.07740E+01
7863	359	9.08936E+01
7863	279	9.09583E+01
7798	438	9.09880E+01
7863	475	9.09902E+01
3357	243	9.09999E+01
3463	243	9.10254E+01
7618	562	9.10324E+01
7866	204	9.11797E+01
7683	319	9.11820E+01
7683	516	9.11839E+01
3463	322	9.12968E+01
7686	443	9.13188E+01
7686	283	9.13201E+01
3357	322	9.13511E+01
7773	564	9.13578E+01
7863	153	9.13592E+01
7863	605	9.13613E+01
3251	282	9.14381E+01
7776	202	9.14464E+01
7776	240	9.14655E+01
7798	397	9.15447E+01
7866	203	9.16121E+01
7618	405	9.16248E+01
3251	243	9.16554E+01
7683	599	9.16655E+01
7683	152	9.17590E+01
7686	244	9.17673E+01
7773	319	9.17686E+01
7708	438	9.17969E+01
7866	322	9.18656E+01
