GRAM	c2h2	chi_tot
922	137	1.30025E+04
922	136	1.30026E+04
922	138	1.30027E+04
922	135	1.30029E+04
922	139	1.30032E+04
922	134	1.30035E+04
922	222	1.30036E+04
922	221	1.30037E+04
922	223	1.30038E+04
922	140	1.30040E+04
922	220	1.30042E+04
922	133	1.30043E+04
922	224	1.30044E+04
922	270	1.30048E+04
922	269	1.30050E+04
922	219	1.30050E+04
922	271	1.30052E+04
922	141	1.30052E+04
922	132	1.30052E+04
922	225	1.30055E+04
922	268	1.30055E+04
922	272	1.30060E+04
922	218	1.30060E+04
922	319	1.30062E+04
922	320	1.30063E+04
922	131	1.30063E+04
922	267	1.30064E+04
922	91	1.30064E+04
922	318	1.30066E+04
922	142	1.30066E+04
922	287	1.30068E+04
922	339	1.30069E+04
922	226	1.30069E+04
922	321	1.30070E+04
922	217	1.30072E+04
922	273	1.30073E+04
922	90	1.30073E+04
922	317	1.30074E+04
922	130	1.30075E+04
922	360	1.30075E+04
922	266	1.30076E+04
922	359	1.30076E+04
922	361	1.30080E+04
922	89	1.30082E+04
922	322	1.30082E+04
922	358	1.30083E+04
922	381	1.30083E+04
922	316	1.30086E+04
922	216	1.30086E+04
922	129	1.30087E+04
922	411	1.30088E+04
922	227	1.30088E+04
922	410	1.30090E+04
922	265	1.30090E+04
922	362	1.30091E+04
922	88	1.30091E+04
922	274	1.30092E+04
922	235	1.30092E+04
922	412	1.30093E+04
922	357	1.30094E+04
922	409	1.30097E+04
922	128	1.30100E+04
922	215	1.30100E+04
922	87	1.30100E+04
922	315	1.30100E+04
922	323	1.30101E+04
922	451	1.30102E+04
922	452	1.30103E+04
922	413	1.30105E+04
922	264	1.30106E+04
922	450	1.30107E+04
922	356	1.30108E+04
922	363	1.30109E+04
922	86	1.30109E+04
922	408	1.30109E+04
922	228	1.30111E+04
922	453	1.30112E+04
922	127	1.30112E+04
922	543	1.30115E+04
922	214	1.30115E+04
922	275	1.30116E+04
922	449	1.30117E+04
922	314	1.30117E+04
922	85	1.30118E+04
922	544	1.30118E+04
922	542	1.30119E+04
922	263	1.30123E+04
922	414	1.30124E+04
922	126	1.30125E+04
922	407	1.30125E+04
922	355	1.30125E+04
922	84	1.30126E+04
922	324	1.30127E+04
922	541	1.30128E+04
922	454	1.30129E+04
922	587	1.30129E+04
922	545	1.30129E+04
922	213	1.30130E+04
922	448	1.30132E+04
922	588	1.30132E+04
922	586	1.30132E+04
922	83	1.30134E+04
922	364	1.30134E+04
922	313	1.30135E+04
922	125	1.30137E+04
922	229	1.30139E+04
922	262	1.30140E+04
922	82	1.30141E+04
922	585	1.30142E+04
922	540	1.30142E+04
922	628	1.30143E+04
922	589	1.30143E+04
922	406	1.30144E+04
922	354	1.30144E+04
922	629	1.30145E+04
922	212	1.30145E+04
922	276	1.30146E+04
922	627	1.30147E+04
922	81	1.30148E+04
922	546	1.30148E+04
922	124	1.30149E+04
922	447	1.30150E+04
922	415	1.30151E+04
922	566	1.30153E+04
922	455	1.30153E+04
922	312	1.30154E+04
922	80	1.30155E+04
922	630	1.30155E+04
922	584	1.30156E+04
922	669	1.30157E+04
922	261	1.30157E+04
922	626	1.30158E+04
922	670	1.30158E+04
922	325	1.30159E+04
922	123	1.30160E+04
922	539	1.30160E+04
922	211	1.30160E+04
922	79	1.30162E+04
922	668	1.30163E+04
922	590	1.30163E+04
922	405	1.30164E+04
922	353	1.30165E+04
922	671	1.30166E+04
922	365	1.30167E+04
922	78	1.30169E+04
922	230	1.30170E+04
922	446	1.30170E+04
922	711	1.30171E+04
922	122	1.30171E+04
922	710	1.30172E+04
922	625	1.30173E+04
922	311	1.30174E+04
922	631	1.30174E+04
922	583	1.30175E+04
922	667	1.30175E+04
922	260	1.30175E+04
922	210	1.30175E+04
922	77	1.30175E+04
922	547	1.30176E+04
922	712	1.30176E+04
922	709	1.30180E+04
922	538	1.30181E+04
922	277	1.30181E+04
922	567	1.30181E+04
922	121	1.30182E+04
922	76	1.30182E+04
922	672	1.30183E+04
922	752	1.30185E+04
922	416	1.30186E+04
922	404	1.30186E+04
922	352	1.30186E+04
922	456	1.30186E+04
922	753	1.30187E+04
922	751	1.30189E+04
922	75	1.30189E+04
922	209	1.30190E+04
922	713	1.30190E+04
922	666	1.30191E+04
922	624	1.30191E+04
922	591	1.30191E+04
922	445	1.30192E+04
922	259	1.30193E+04
922	120	1.30193E+04
922	708	1.30193E+04
922	310	1.30194E+04
922	582	1.30195E+04
922	74	1.30196E+04
922	326	1.30197E+04
922	754	1.30198E+04
922	750	1.30199E+04
922	794	1.30199E+04
922	793	1.30200E+04
922	632	1.30202E+04
922	73	1.30203E+04
922	537	1.30203E+04
922	119	1.30203E+04
922	208	1.30204E+04
922	231	1.30205E+04
922	795	1.30206E+04
922	366	1.30206E+04
922	792	1.30207E+04
922	351	1.30207E+04
922	403	1.30208E+04
922	673	1.30208E+04
922	72	1.30210E+04
922	665	1.30210E+04
922	258	1.30210E+04
922	707	1.30210E+04
922	548	1.30212E+04
922	623	1.30212E+04
922	714	1.30213E+04
922	749	1.30213E+04
922	118	1.30214E+04
922	309	1.30214E+04
922	514	1.30215E+04
922	444	1.30215E+04
922	71	1.30216E+04
922	755	1.30217E+04
922	581	1.30218E+04
922	568	1.30218E+04
922	207	1.30219E+04
922	791	1.30219E+04
922	513	1.30219E+04
922	278	1.30221E+04
922	796	1.30221E+04
922	70	1.30224E+04
922	512	1.30224E+04
922	117	1.30224E+04
922	536	1.30226E+04
922	457	1.30227E+04
922	417	1.30228E+04
922	257	1.30228E+04
922	592	1.30229E+04
922	511	1.30229E+04
922	350	1.30229E+04
