GRAM	c2h2	chi_tot
8042	234	1.42517E+01
8042	233	1.43118E+01
8042	284	1.43181E+01
8042	285	1.43210E+01
8042	283	1.43210E+01
8042	421	1.43269E+01
8042	286	1.43278E+01
8042	282	1.43315E+01
8042	462	1.43318E+01
8042	461	1.43320E+01
8042	422	1.43335E+01
8042	371	1.43339E+01
8042	370	1.43345E+01
8042	553	1.43398E+01
8042	331	1.43408E+01
8042	420	1.43455E+01
8042	330	1.43462E+01
8042	554	1.43510E+01
8042	332	1.43512E+01
8042	281	1.43516E+01
8042	372	1.43536E+01
8042	369	1.43573E+01
8042	463	1.43586E+01
8042	552	1.43592E+01
8042	460	1.43606E+01
8042	597	1.43615E+01
8042	423	1.43636E+01
8042	329	1.43691E+01
8042	333	1.43759E+01
8042	232	1.43762E+01
8042	596	1.43770E+01
8042	598	1.43797E+01
8042	280	1.43830E+01
8042	419	1.43907E+01
8042	555	1.43919E+01
8042	373	1.43922E+01
8042	638	1.43960E+01
8042	368	1.44037E+01
8042	551	1.44100E+01
8042	464	1.44107E+01
8042	328	1.44110E+01
8042	637	1.44115E+01
8042	334	1.44130E+01
8042	424	1.44155E+01
8042	639	1.44179E+01
8042	459	1.44185E+01
8042	595	1.44263E+01
8042	279	1.44278E+01
8042	599	1.44313E+01
8042	679	1.44434E+01
8042	231	1.44470E+01
8042	374	1.44478E+01
8042	335	1.44608E+01
8042	556	1.44613E+01
8042	678	1.44622E+01
8042	418	1.44632E+01
8042	636	1.44635E+01
8042	680	1.44654E+01
8042	327	1.44735E+01
8042	367	1.44745E+01
8042	640	1.44775E+01
8042	465	1.44868E+01
8042	425	1.44875E+01
8042	278	1.44875E+01
8042	550	1.44922E+01
8042	720	1.45030E+01
8042	458	1.45059E+01
8042	594	1.45089E+01
8042	600	1.45160E+01
8042	336	1.45176E+01
8042	375	1.45187E+01
8042	677	1.45203E+01
8042	721	1.45211E+01
8042	230	1.45260E+01
8042	719	1.45288E+01
8042	681	1.45295E+01
8042	635	1.45508E+01
8042	326	1.45572E+01
8042	557	1.45585E+01
8042	417	1.45630E+01
8042	277	1.45637E+01
8042	366	1.45701E+01
8042	761	1.45746E+01
8042	641	1.45755E+01
8042	426	1.45778E+01
8042	337	1.45812E+01
8042	762	1.45841E+01
8042	722	1.45848E+01
8042	466	1.45854E+01
8042	718	1.45959E+01
8042	376	1.46033E+01
8042	549	1.46048E+01
8042	760	1.46107E+01
8042	229	1.46151E+01
8042	676	1.46153E+01
8042	457	1.46220E+01
8042	593	1.46235E+01
8042	601	1.46340E+01
8042	682	1.46369E+01
8042	763	1.46420E+01
8042	338	1.46492E+01
8042	803	1.46547E+01
8042	276	1.46572E+01
8042	802	1.46578E+01
8042	325	1.46624E+01
8042	634	1.46711E+01
8042	558	1.46831E+01
8042	427	1.46850E+01
8042	416	1.46890E+01
8042	759	1.46893E+01
8042	365	1.46899E+01
8042	723	1.46958E+01
8042	377	1.46994E+01
8042	717	1.47009E+01
8042	804	1.47014E+01
8042	467	1.47056E+01
8042	801	1.47074E+01
8042	642	1.47127E+01
8042	228	1.47153E+01
7952	234	1.47198E+01
8042	675	1.47441E+01
8042	548	1.47459E+01
8042	142	1.47472E+01
8042	568	1.47486E+01
8042	764	1.47499E+01
8042	456	1.47649E+01
8042	592	1.47675E+01
8042	275	1.47681E+01
7952	233	1.47800E+01
8042	602	1.47858E+01
8042	324	1.47884E+01
8042	683	1.47886E+01
7952	284	1.47986E+01
8042	800	1.47995E+01
8042	805	1.47996E+01
7952	283	1.48010E+01
7952	285	1.48016E+01
8042	378	1.48050E+01
8042	758	1.48061E+01
8042	428	1.48074E+01
7952	286	1.48080E+01
7952	282	1.48106E+01
7952	421	1.48161E+01
7952	370	1.48200E+01
8042	633	1.48213E+01
7952	371	1.48214E+01
7952	461	1.48244E+01
7952	422	1.48249E+01
7952	331	1.48250E+01
7952	462	1.48265E+01
8042	227	1.48274E+01
7952	330	1.48285E+01
7952	281	1.48294E+01
8042	364	1.48319E+01
7952	420	1.48325E+01
8042	559	1.48351E+01
7952	332	1.48371E+01
7952	553	1.48375E+01
8042	415	1.48389E+01
8042	716	1.48399E+01
7952	369	1.48406E+01
7952	372	1.48431E+01
7952	232	1.48442E+01
8042	468	1.48466E+01
7952	329	1.48494E+01
7952	460	1.48506E+01
7952	554	1.48510E+01
7952	552	1.48546E+01
8042	724	1.48551E+01
7952	463	1.48554E+01
7952	423	1.48571E+01
7952	280	1.48594E+01
7952	333	1.48631E+01
7952	597	1.48644E+01
7952	419	1.48752E+01
7952	596	1.48776E+01
7952	373	1.48834E+01
7952	368	1.48845E+01
7952	598	1.48847E+01
7952	328	1.48892E+01
8042	643	1.48901E+01
8042	141	1.48926E+01
7952	555	1.48939E+01
8042	274	1.48957E+01
7952	334	1.49013E+01
7952	279	1.49025E+01
8042	674	1.49026E+01
7952	551	1.49028E+01
7952	638	1.49040E+01
7952	459	1.49060E+01
8042	765	1.49089E+01
7952	464	1.49096E+01
7952	424	1.49109E+01
8042	547	1.49121E+01
7952	231	1.49143E+01
8042	567	1.49155E+01
7952	637	1.49173E+01
8042	379	1.49176E+01
7952	595	1.49244E+01
7952	639	1.49277E+01
8042	799	1.49291E+01
8042	455	1.49311E+01
8042	323	1.49332E+01
8042	591	1.49371E+01
7952	599	1.49382E+01
7952	374	1.49406E+01
8042	429	1.49437E+01
7952	418	1.49452E+01
7952	327	1.49494E+01
7952	335	1.49499E+01
8042	806	1.49504E+01
8042	226	1.49512E+01
7952	367	1.49529E+01
