GRAM	c2h2	chi_tot
10223	473	5.56294E+02
10137	473	5.56822E+02
10223	565	5.57877E+02
10137	565	5.58738E+02
10223	432	5.59215E+02
10137	432	5.59420E+02
10223	609	5.62267E+02
10137	609	5.63485E+02
10223	472	5.64077E+02
10137	472	5.64592E+02
10223	564	5.65068E+02
10137	564	5.65928E+02
8200	432	5.66124E+02
8200	473	5.66383E+02
8110	432	5.66806E+02
7480	432	5.67090E+02
7480	473	5.67265E+02
8110	473	5.67510E+02
10223	431	5.67897E+02
10137	431	5.68077E+02
10223	650	5.68482E+02
10223	608	5.69144E+02
10137	380	5.69297E+02
10223	380	5.69419E+02
10137	650	5.70090E+02
10137	608	5.70372E+02
8200	565	5.70751E+02
7480	565	5.71506E+02
8110	565	5.72358E+02
8200	380	5.72562E+02
10223	471	5.72670E+02
8110	380	5.72813E+02
8200	472	5.73032E+02
10223	563	5.73067E+02
10137	471	5.73166E+02
7480	380	5.73570E+02
8200	431	5.73624E+02
7480	472	5.73847E+02
10137	563	5.73919E+02
8110	472	5.74162E+02
8110	431	5.74291E+02
7480	431	5.74530E+02
10223	649	5.75270E+02
10223	691	5.75999E+02
10223	607	5.76817E+02
8200	564	5.76864E+02
10137	649	5.76897E+02
10223	430	5.77374E+02
10137	430	5.77524E+02
7480	564	5.77546E+02
8200	609	5.77689E+02
10137	691	5.78039E+02
10137	607	5.78046E+02
7480	609	5.78274E+02
8110	564	5.78492E+02
10137	379	5.79142E+02
10223	379	5.79300E+02
3649	432	5.79495E+02
8110	609	5.79829E+02
8200	471	5.80454E+02
3543	432	5.81105E+02
7480	471	5.81203E+02
8200	379	5.81229E+02
8110	379	5.81450E+02
8110	471	5.81581E+02
8200	430	5.81888E+02
10223	562	5.81943E+02
3649	473	5.82102E+02
10223	470	5.82134E+02
7480	379	5.82183E+02
8110	430	5.82535E+02
10137	470	5.82604E+02
7480	430	5.82735E+02
10137	562	5.82780E+02
10223	648	5.82836E+02
10223	690	5.82866E+02
8200	608	5.83547E+02
8200	563	5.83742E+02
3649	380	5.83886E+02
3543	473	5.83924E+02
7480	608	5.84056E+02
7480	563	5.84353E+02
10137	648	5.84475E+02
10223	732	5.84559E+02
10137	690	5.84933E+02
3543	380	5.85315E+02
10223	606	5.85356E+02
8110	563	5.85384E+02
8110	608	5.85727E+02
8200	650	5.86339E+02
10137	606	5.86581E+02
7480	650	5.86713E+02
10137	732	5.87078E+02
3649	431	5.87212E+02
10223	429	5.87697E+02
10137	429	5.87811E+02
8200	470	5.88704E+02
3543	431	5.88834E+02
3649	472	5.89076E+02
8110	650	5.89087E+02
3649	565	5.89235E+02
7480	470	5.89390E+02
10137	378	5.89757E+02
8110	338	5.89790E+02
8110	470	5.89822E+02
10223	378	5.89955E+02
8200	338	5.89970E+02
8200	607	5.90151E+02
10223	689	5.90496E+02
7480	607	5.90583E+02
8200	378	5.90642E+02
8110	378	5.90829E+02
3543	472	5.90916E+02
10137	338	5.90942E+02
8200	429	5.90962E+02
7480	338	5.90969E+02
10223	647	5.91255E+02
3543	565	5.91305E+02
10223	338	5.91409E+02
8200	562	5.91448E+02
7480	378	5.91543E+02
8110	429	5.91584E+02
10223	731	5.91623E+02
7480	429	5.91750E+02
10223	561	5.91755E+02
7480	562	5.91989E+02
8200	649	5.92171E+02
8110	607	5.92361E+02
7480	649	5.92463E+02
10223	469	5.92522E+02
10137	561	5.92569E+02
10137	689	5.92582E+02
3649	379	5.92670E+02
10137	647	5.92896E+02
10137	469	5.92961E+02
8110	562	5.93097E+02
10223	773	5.94043E+02
3543	379	5.94103E+02
10137	731	5.94175E+02
10223	605	5.94829E+02
8110	649	5.94972E+02
3649	430	5.95655E+02
3649	564	5.95774E+02
10137	605	5.96041E+02
8200	691	5.96288E+02
7480	691	5.96408E+02
3649	471	5.96778E+02
10137	773	5.97091E+02
3543	430	5.97287E+02
8200	606	5.97568E+02
8200	469	5.97834E+02
3543	564	5.97870E+02
7480	606	5.97925E+02
7480	469	5.98455E+02
3543	471	5.98635E+02
8200	648	5.98722E+02
10223	428	5.98917E+02
7480	648	5.98935E+02
8110	469	5.98935E+02
10223	688	5.98965E+02
10137	428	5.98990E+02
10223	730	5.99441E+02
3649	609	5.99468E+02
3649	338	5.99476E+02
8110	691	5.99728E+02
8110	606	5.99800E+02
8110	337	5.99962E+02
8200	561	6.00039E+02
8200	337	6.00183E+02
7480	561	6.00510E+02
10223	646	6.00598E+02
3543	338	6.00746E+02
8200	377	6.00848E+02
8200	428	6.00894E+02
8110	377	6.00997E+02
10137	688	6.01060E+02
7480	337	6.01134E+02
10137	377	6.01191E+02
10223	772	6.01385E+02
10223	377	6.01434E+02
8110	428	6.01485E+02
8110	648	6.01567E+02
7480	428	6.01625E+02
8110	561	6.01686E+02
7480	377	6.01697E+02
3543	609	6.01834E+02
10137	730	6.02017E+02
3649	378	6.02168E+02
10137	646	6.02234E+02
