GRAM	c2h2	chi_tot
6826	338	4.97049E+01
6736	338	4.99196E+01
6826	378	5.01712E+01
6803	380	5.01727E+01
6826	337	5.01976E+01
6826	379	5.02745E+01
6713	380	5.02924E+01
6803	379	5.03432E+01
6826	377	5.03705E+01
6736	378	5.03879E+01
6736	337	5.04139E+01
6916	338	5.04480E+01
6713	379	5.04759E+01
6736	379	5.04772E+01
6736	377	5.05993E+01
6893	380	5.06406E+01
6826	380	5.06781E+01
6803	338	5.07687E+01
6893	379	5.08151E+01
6803	378	5.08256E+01
6736	380	5.08649E+01
6826	376	5.08758E+01
6916	378	5.08830E+01
6713	338	5.08901E+01
6826	336	5.09425E+01
6916	337	5.09676E+01
6713	378	5.09694E+01
6916	379	5.09716E+01
6916	377	5.10997E+01
6736	376	5.11147E+01
6826	428	5.11216E+01
6736	336	5.11594E+01
6826	427	5.12652E+01
6893	338	5.12926E+01
6893	378	5.13041E+01
6826	429	5.13290E+01
6736	428	5.13424E+01
6916	380	5.13632E+01
6803	430	5.14681E+01
6736	427	5.15116E+01
6803	429	5.15196E+01
6736	429	5.15210E+01
6713	430	5.15869E+01
6803	377	5.16232E+01
6916	376	5.16250E+01
6713	429	5.16659E+01
6826	375	5.16920E+01
6916	336	5.17411E+01
6803	431	5.17644E+01
6826	426	5.17685E+01
6713	377	5.17762E+01
6803	337	5.18260E+01
6916	428	5.18293E+01
6713	431	5.18526E+01
6826	430	5.18785E+01
6803	428	5.19289E+01
6893	430	5.19325E+01
6736	375	5.19391E+01
6826	335	5.19441E+01
6713	337	5.19473E+01
6893	429	5.19728E+01
6916	427	5.19771E+01
6916	429	5.20367E+01
6736	426	5.20372E+01
6736	430	5.20385E+01
6713	428	5.20997E+01
2590	380	5.21029E+01
6893	377	5.21105E+01
6736	335	5.21605E+01
6826	467	5.22279E+01
6893	431	5.22436E+01
6826	468	5.22521E+01
6893	337	5.23680E+01
6893	428	5.23748E+01
2696	380	5.23946E+01
6803	432	5.23956E+01
2484	380	5.24293E+01
6713	432	5.24504E+01
6736	468	5.24622E+01
6916	375	5.24641E+01
6736	467	5.24824E+01
6916	426	5.24890E+01
2590	379	5.25381E+01
6916	430	5.25903E+01
6826	466	5.26008E+01
6826	425	5.26403E+01
6826	469	5.26553E+01
6803	427	5.27055E+01
6803	376	5.27403E+01
6826	431	5.27600E+01
6916	335	5.27730E+01
6803	469	5.27978E+01
6736	469	5.28165E+01
6826	374	5.28254E+01
2696	379	5.28394E+01
2484	379	5.28708E+01
6736	431	5.28850E+01
6893	432	5.28932E+01
6736	466	5.28948E+01
6713	427	5.28977E+01
6713	376	5.29007E+01
6916	467	5.29239E+01
6736	425	5.29281E+01
6713	469	5.29436E+01
6803	470	5.29497E+01
6916	468	5.29636E+01
6803	468	5.30248E+01
6826	286	5.30412E+01
6713	470	5.30484E+01
6736	374	5.30787E+01
6803	336	5.31473E+01
6893	427	5.31482E+01
6826	334	5.32074E+01
6713	468	5.32134E+01
6736	286	5.32268E+01
6893	376	5.32391E+01
6893	469	5.32437E+01
6713	336	5.32675E+01
2590	378	5.32780E+01
2590	338	5.32851E+01
6916	466	5.32876E+01
6826	559	5.33418E+01
2590	431	5.33546E+01
6826	558	5.33671E+01
6916	425	5.33740E+01
6826	465	5.33866E+01
6916	469	5.33883E+01
2590	430	5.34105E+01
6826	470	5.34174E+01
6736	334	5.34224E+01
6893	470	5.34280E+01
6893	468	5.34436E+01
6803	471	5.34584E+01
6916	431	5.34800E+01
6713	471	5.35063E+01
6736	470	5.35254E+01
6736	559	5.35626E+01
2696	378	5.35893E+01
2696	338	5.36066E+01
2484	338	5.36153E+01
2484	378	5.36163E+01
6916	374	5.36233E+01
2590	432	5.36234E+01
2696	431	5.36400E+01
6803	467	5.36512E+01
6736	558	5.36515E+01
2484	431	5.36738E+01
2696	430	5.37038E+01
6893	336	5.37087E+01
6826	560	5.37137E+01
6736	465	5.37150E+01
2484	430	5.37415E+01
2590	429	5.38030E+01
6826	557	5.38174E+01
6803	426	5.38590E+01
6736	560	5.38650E+01
6713	467	5.38781E+01
6826	424	5.38895E+01
2696	432	5.39015E+01
2484	432	5.39298E+01
6916	286	5.39352E+01
6826	432	5.39606E+01
6893	471	5.39741E+01
6916	558	5.40421E+01
6736	432	5.40478E+01
6893	467	5.40484E+01
6916	559	5.40528E+01
6916	334	5.40684E+01
6713	426	5.40694E+01
6916	465	5.40708E+01
2696	429	5.41049E+01
6803	560	5.41398E+01
2484	429	5.41449E+01
6736	557	5.41588E+01
6916	470	5.41773E+01
6803	375	5.41831E+01
6736	424	5.41930E+01
6803	561	5.42592E+01
6826	373	5.42830E+01
6713	472	5.42943E+01
6803	472	5.43007E+01
6893	426	5.43024E+01
6713	560	5.43062E+01
2590	377	5.43259E+01
6713	375	5.43489E+01
6713	561	5.43588E+01
6826	602	5.43995E+01
6803	559	5.44105E+01
6826	285	5.44187E+01
6826	561	5.44517E+01
6916	557	5.44648E+01
6916	560	5.44684E+01
6826	471	5.45163E+01
6736	561	5.45282E+01
2590	337	5.45364E+01
6736	373	5.45406E+01
6826	603	5.45408E+01
2590	428	5.45419E+01
6736	471	5.45673E+01
6893	560	5.45677E+01
6826	464	5.45987E+01
6736	285	5.45988E+01
6713	559	5.46383E+01
6916	424	5.46410E+01
2696	377	5.46477E+01
2484	377	5.46693E+01
6826	601	5.46740E+01
6736	602	5.46744E+01
6916	432	5.46928E+01
6803	466	5.46956E+01
6893	375	5.46957E+01
6826	556	5.47162E+01
6736	603	5.47276E+01
6803	562	5.47360E+01
6803	335	5.47380E+01
6826	333	5.47381E+01
6893	561	5.47415E+01
6713	562	5.47642E+01
2590	470	5.47764E+01
6893	559	5.47907E+01
2590	471	5.48376E+01
2696	428	5.48530E+01
6713	335	5.48561E+01
6893	472	5.48582E+01
2484	337	5.48684E+01
2696	337	5.48687E+01
2484	428	5.48937E+01
6736	333	5.49506E+01
6713	466	5.49560E+01
6736	464	5.49564E+01
6736	601	5.50295E+01
2590	469	5.50583E+01
6826	604	5.50595E+01
2696	470	5.50696E+01
6893	466	5.50772E+01
6916	602	5.50782E+01
6803	558	5.51028E+01
6736	556	5.51075E+01
2484	470	5.51086E+01
6916	373	5.51097E+01
2696	471	5.51249E+01
6736	604	5.51516E+01
2484	471	5.51517E+01
2590	472	5.52202E+01
6916	561	5.52572E+01
6893	562	5.52785E+01
6916	603	5.52836E+01
6916	464	5.52873E+01
6916	601	5.52983E+01
6916	471	5.53086E+01
6893	335	5.53204E+01
6916	556	5.53450E+01
6916	285	5.53469E+01
2696	469	5.53583E+01
6713	558	5.53862E+01
6713	473	5.53877E+01
6826	600	5.53989E+01
6803	604	5.53991E+01
6803	425	5.53992E+01
2484	469	5.54074E+01
6826	643	5.54232E+01
6893	558	5.54427E+01
6803	473	5.54516E+01
6713	563	5.54909E+01
2696	472	5.55023E+01
6803	603	5.55103E+01
2484	472	5.55151E+01
6736	562	5.55207E+01
6826	562	5.55236E+01
6826	423	5.55246E+01
6803	563	5.55381E+01
6713	604	5.55448E+01
6826	644	5.55690E+01
6713	425	5.56244E+01
6916	333	5.56329E+01
2590	427	5.56364E+01
6803	605	5.56519E+01
6826	642	5.56744E+01
2590	376	5.56870E+01
2590	468	5.57038E+01
6736	643	5.57073E+01
6713	605	5.57073E+01
6713	603	5.57406E+01
6736	644	5.57422E+01
6736	600	5.58264E+01
6736	423	5.58403E+01
6893	604	5.58462E+01
6893	425	5.58474E+01
6916	604	5.58750E+01
6893	603	5.58830E+01
2590	473	5.59008E+01
6736	605	5.59075E+01
6826	605	5.59156E+01
6736	472	5.59193E+01
6826	472	5.59289E+01
2696	427	5.59574E+01
6803	374	5.59589E+01
6916	600	5.59797E+01
2484	427	5.59972E+01
6826	284	5.60090E+01
2696	468	5.60113E+01
2696	376	5.60198E+01
6803	602	5.60264E+01
2484	376	5.60348E+01
2590	336	5.60490E+01
6893	473	5.60551E+01
6736	642	5.60612E+01
6826	645	5.60672E+01
2484	468	5.60683E+01
6826	372	5.60722E+01
6826	555	5.60823E+01
6916	643	5.60993E+01
6736	645	5.61227E+01
6713	374	5.61283E+01
2590	562	5.61420E+01
6893	563	5.61461E+01
6803	465	5.61746E+01
2484	473	5.61756E+01
2696	473	5.61786E+01
6893	605	5.61804E+01
6736	284	5.61830E+01
6713	606	5.61897E+01
2590	561	5.62062E+01
6803	606	5.62291E+01
6803	557	5.62453E+01
6826	463	5.62480E+01
6916	642	5.62704E+01
6916	423	5.62986E+01
6803	286	5.63001E+01
6736	372	5.63320E+01
6893	602	5.63330E+01
6713	602	5.63347E+01
6916	644	5.63359E+01
6826	641	5.63653E+01
6826	684	5.63718E+01
6713	286	5.63753E+01
2484	336	5.63827E+01
6916	562	5.63863E+01
2590	563	5.63894E+01
2696	336	5.63926E+01
6826	685	5.63996E+01
2696	562	5.64341E+01
2484	562	5.64631E+01
6713	465	5.64636E+01
6893	374	5.64881E+01
2696	561	5.65023E+01
6713	564	5.65093E+01
6736	555	5.65162E+01
6803	645	5.65224E+01
6826	332	5.65413E+01
6893	465	5.65467E+01
2484	561	5.65514E+01
6893	557	5.65528E+01
6713	557	5.65777E+01
6736	685	5.65971E+01
6826	599	5.66032E+01
6803	334	5.66042E+01
2590	560	5.66115E+01
6736	463	5.66295E+01
6803	564	5.66354E+01
6803	644	5.66404E+01
6713	645	5.66698E+01
2696	563	5.66784E+01
2484	563	5.66852E+01
6736	684	5.66997E+01
6916	555	5.67020E+01
6713	334	5.67192E+01
6826	683	5.67218E+01
2590	467	5.67319E+01
6803	646	5.67412E+01
6736	332	5.67503E+01
6826	686	5.67581E+01
6916	472	5.67584E+01
6713	646	5.67772E+01
6736	646	5.68061E+01
6916	605	5.68113E+01
6736	563	5.68116E+01
6736	686	5.68181E+01
6893	606	5.68451E+01
6736	641	5.68452E+01
6826	646	5.68739E+01
6916	641	5.68933E+01
6713	644	5.68935E+01
6826	563	5.68980E+01
2696	560	5.69126E+01
2590	564	5.69206E+01
6916	372	5.69306E+01
6916	645	5.69339E+01
6916	463	5.69479E+01
6893	286	5.69515E+01
6713	607	5.69569E+01
6736	606	5.69578E+01
6916	284	5.69725E+01
6893	645	5.69743E+01
2484	560	5.69793E+01
6803	601	5.69869E+01
6893	644	5.69932E+01
6916	684	5.70192E+01
2696	467	5.70479E+01
6826	606	5.70706E+01
6736	599	5.70935E+01
6803	607	5.70951E+01
2590	426	5.70962E+01
2484	467	5.71106E+01
6826	726	5.71232E+01
6803	643	5.71406E+01
6916	599	5.71522E+01
6916	685	5.71613E+01
6736	683	5.71716E+01
6713	647	5.71751E+01
2484	564	5.71899E+01
2696	564	5.72073E+01
6893	334	5.72090E+01
6893	601	5.72366E+01
6803	647	5.72550E+01
6826	727	5.72645E+01
6916	683	5.72663E+01
6826	725	5.72968E+01
6893	646	5.72995E+01
6893	564	5.73135E+01
6736	687	5.73196E+01
6803	424	5.73358E+01
2590	606	5.73545E+01
6713	601	5.73657E+01
2590	375	5.73676E+01
6736	727	5.73835E+01
2590	559	5.73878E+01
6736	726	5.73955E+01
6826	687	5.74026E+01
6893	643	5.74029E+01
2590	605	5.74174E+01
2696	426	5.74278E+01
2484	426	5.74649E+01
6916	332	5.74720E+01
6803	686	5.74827E+01
6713	643	5.74925E+01
6826	682	5.74968E+01
6826	640	5.75336E+01
6826	422	5.75528E+01
6803	687	5.75535E+01
