GRAM	c2h2	chi_tot
1604	380	9.23886E+01
1494	380	9.25139E+01
1384	380	9.27096E+01
1583	380	9.33512E+01
1473	380	9.34182E+01
1604	379	9.35600E+01
1363	380	9.35644E+01
1494	379	9.36742E+01
1384	379	9.38784E+01
1583	432	9.41227E+01
1473	432	9.42129E+01
1604	338	9.42500E+01
1494	338	9.43383E+01
1363	432	9.43662E+01
1604	432	9.44204E+01
1384	338	9.45242E+01
1494	432	9.45752E+01
1604	431	9.46929E+01
1384	432	9.47733E+01
1494	431	9.48366E+01
1583	431	9.50480E+01
1384	431	9.50503E+01
1473	431	9.51305E+01
1604	378	9.51484E+01
1583	379	9.51998E+01
1494	378	9.52514E+01
1473	379	9.52590E+01
1363	431	9.52963E+01
1363	379	9.54121E+01
1604	430	9.54485E+01
1384	378	9.54635E+01
1494	430	9.55809E+01
1384	430	9.58092E+01
1604	337	9.63681E+01
1494	337	9.64460E+01
1583	430	9.64737E+01
1473	430	9.65483E+01
1384	337	9.66356E+01
1604	429	9.66909E+01
1363	430	9.67258E+01
1494	429	9.68117E+01
6360	380	9.68413E+01
6264	380	9.70100E+01
1384	429	9.70537E+01
1583	338	9.71101E+01
1473	338	9.71491E+01
1604	377	9.71603E+01
6360	338	9.72203E+01
1494	377	9.72520E+01
1363	338	9.72833E+01
6360	379	9.73636E+01
6264	338	9.73815E+01
1384	377	9.74715E+01
1583	378	9.74767E+01
1473	378	9.75281E+01
6264	379	9.75384E+01
1583	473	9.75588E+01
1473	473	9.76655E+01
1363	378	9.76877E+01
1583	472	9.77156E+01
1473	472	9.78156E+01
1363	473	9.78231E+01
1363	472	9.79925E+01
1604	472	9.81288E+01
1604	471	9.81926E+01
1494	472	9.82937E+01
6360	378	9.83191E+01
1494	471	9.83470E+01
1583	429	9.84031E+01
1583	471	9.84056E+01
1604	428	9.84248E+01
1473	429	9.84697E+01
1473	471	9.84985E+01
6264	378	9.84994E+01
1384	472	9.85151E+01
1494	428	9.85339E+01
1604	473	9.85747E+01
1384	471	9.85913E+01
1363	429	9.86580E+01
1363	471	9.86937E+01
1494	473	9.87495E+01
1604	470	9.87832E+01
1384	428	9.87885E+01
6360	337	9.88348E+01
1604	336	9.88576E+01
3103	380	9.88923E+01
1494	336	9.89250E+01
1494	470	9.89266E+01
1384	473	9.89466E+01
6264	337	9.89977E+01
1384	336	9.91179E+01
1384	470	9.91926E+01
1604	376	9.96069E+01
1583	470	9.96462E+01
1494	376	9.96872E+01
6360	377	9.97122E+01
3124	338	9.97211E+01
1473	470	9.97317E+01
6360	430	9.97690E+01
6360	431	9.98196E+01
6264	377	9.98975E+01
1583	337	9.99001E+01
1604	469	9.99132E+01
1384	376	9.99134E+01
1473	337	9.99318E+01
3124	337	9.99418E+01
1363	470	9.99439E+01
6264	430	9.99568E+01
6264	431	9.99954E+01
1494	469	1.00045E+02
1363	337	1.00069E+02
1583	377	1.00189E+02
6360	429	1.00228E+02
1473	377	1.00232E+02
1384	469	1.00331E+02
6360	432	1.00376E+02
11594	338	1.00391E+02
1363	377	1.00398E+02
11519	338	1.00404E+02
6264	429	1.00427E+02
11594	380	1.00455E+02
11519	380	1.00469E+02
3103	432	1.00481E+02
3124	336	1.00523E+02
6264	432	1.00539E+02
3103	379	1.00600E+02
1604	427	1.00658E+02
11594	379	1.00658E+02
11519	379	1.00675E+02
1494	427	1.00755E+02
6360	336	1.00825E+02
1583	428	1.00841E+02
1473	428	1.00899E+02
6264	336	1.00989E+02
1384	427	1.01021E+02
1363	428	1.01098E+02
3103	431	1.01166E+02
6360	428	1.01202E+02
3124	286	1.01240E+02
11594	378	1.01319E+02
11519	378	1.01339E+02
6264	428	1.01411E+02
1583	469	1.01450E+02
3124	335	1.01477E+02
1473	469	1.01527E+02
6360	376	1.01552E+02
1604	468	1.01593E+02
1583	564	1.01674E+02
1494	468	1.01713E+02
1604	335	1.01735E+02
6264	376	1.01742E+02
1363	469	1.01756E+02
1473	564	1.01786E+02
3124	377	1.01789E+02
1494	335	1.01792E+02
11594	337	1.01857E+02
11519	337	1.01871E+02
3124	378	1.01897E+02
1583	563	1.01902E+02
1583	565	1.01957E+02
1363	564	1.01978E+02
1384	335	1.01987E+02
1473	563	1.02007E+02
1384	468	1.02017E+02
1473	565	1.02073E+02
3124	376	1.02114E+02
1604	563	1.02122E+02
3103	338	1.02170E+02
1363	563	1.02224E+02
1363	565	1.02238E+02
1494	563	1.02290E+02
1604	562	1.02296E+02
3103	430	1.02372E+02
3124	379	1.02436E+02
11594	377	1.02440E+02
1494	562	1.02455E+02
11519	377	1.02463E+02
1604	564	1.02464E+02
1604	286	1.02500E+02
1604	375	1.02504E+02
1494	286	1.02545E+02
1384	563	1.02557E+02
1494	375	1.02573E+02
1494	564	1.02641E+02
1583	562	1.02674E+02
6360	427	1.02697E+02
3124	285	1.02701E+02
1384	286	1.02715E+02
1384	562	1.02752E+02
3103	378	1.02752E+02
1473	562	1.02773E+02
1384	375	1.02805E+02
3124	334	1.02815E+02
1384	564	1.02876E+02
3124	375	1.02881E+02
6264	427	1.02915E+02
7391	473	1.02961E+02
1363	562	1.03014E+02
1604	561	1.03015E+02
1583	336	1.03070E+02
1473	336	1.03095E+02
6360	470	1.03156E+02
1494	561	1.03164E+02
6360	335	1.03205E+02
1363	336	1.03235E+02
11594	429	1.03278E+02
1604	565	1.03287E+02
11519	429	1.03303E+02
11594	430	1.03309E+02
11519	430	1.03328E+02
1583	376	1.03348E+02
6360	469	1.03361E+02
6264	470	1.03362E+02
6264	335	1.03370E+02
1473	376	1.03384E+02
1604	426	1.03402E+02
3124	380	1.03403E+02
1494	565	1.03472E+02
1494	426	1.03487E+02
1384	561	1.03489E+02
6360	471	1.03515E+02
1363	376	1.03555E+02
6264	469	1.03585E+02
1384	565	1.03673E+02
6264	471	1.03702E+02
11594	336	1.03707E+02
11519	336	1.03722E+02
1384	426	1.03764E+02
1583	427	1.03796E+02
11594	428	1.03799E+02
1583	468	1.03826E+02
11519	428	1.03829E+02
1604	467	1.03832E+02
1473	427	1.03846E+02
6360	375	1.03852E+02
11594	431	1.03887E+02
1473	468	1.03896E+02
11519	431	1.03900E+02
6360	286	1.03936E+02
1494	467	1.03941E+02
7391	432	1.04015E+02
1583	561	1.04019E+02
11594	376	1.04029E+02
6264	375	1.04046E+02
1363	427	1.04053E+02
11519	376	1.04054E+02
6264	286	1.04080E+02
3103	429	1.04103E+02
3124	374	1.04104E+02
1473	561	1.04112E+02
1363	468	1.04138E+02
6360	468	1.04143E+02
7391	565	1.04167E+02
1384	467	1.04262E+02
1604	560	1.04302E+02
1363	561	1.04376E+02
6264	468	1.04383E+02
6360	472	1.04423E+02
1494	560	1.04439E+02
10781	473	1.04485E+02
3124	284	1.04497E+02
3124	427	1.04502E+02
3124	333	1.04553E+02
6264	472	1.04589E+02
3124	428	1.04605E+02
3103	472	1.04666E+02
9781	338	1.04695E+02
10697	473	1.04709E+02
6360	426	1.04722E+02
9695	338	1.04730E+02
10613	473	1.04771E+02
1384	560	1.04791E+02
9609	338	1.04791E+02
3103	473	1.04808E+02
11594	427	1.04877E+02
3103	337	1.04893E+02
11519	427	1.04912E+02
3124	426	1.04913E+02
6264	426	1.04948E+02
10781	565	1.04999E+02
11594	432	1.05009E+02
11519	432	1.05014E+02
1604	334	1.05018E+02
1494	334	1.05064E+02
3103	471	1.05069E+02
9781	337	1.05151E+02
9695	337	1.05178E+02
3124	429	1.05216E+02
7391	472	1.05221E+02
9609	337	1.05238E+02
1384	334	1.05263E+02
10697	565	1.05286E+02
3103	377	1.05351E+02
10613	565	1.05356E+02
6360	467	1.05514E+02
1604	285	1.05714E+02
1494	285	1.05749E+02
6264	467	1.05769E+02
3124	373	1.05797E+02
3124	425	1.05847E+02
6360	473	1.05858E+02
1604	374	1.05870E+02
1583	608	1.05892E+02
7391	564	1.05896E+02
1384	285	1.05920E+02
1494	374	1.05927E+02
11594	335	1.05954E+02
1583	560	1.05963E+02
1583	607	1.05964E+02
11519	335	1.05969E+02
9781	336	1.05982E+02
6360	334	1.05992E+02
9695	336	1.05998E+02
6264	473	1.06002E+02
1473	608	1.06009E+02
3103	470	1.06038E+02
1473	560	1.06048E+02
9609	336	1.06057E+02
1473	607	1.06078E+02
11594	375	1.06096E+02
11519	375	1.06124E+02
6264	334	1.06158E+02
1384	374	1.06165E+02
1604	559	1.06177E+02
1363	608	1.06227E+02
1583	609	1.06283E+02
1494	559	1.06304E+02
11594	469	1.06319E+02
1363	607	1.06328E+02
3124	430	1.06331E+02
1363	560	1.06332E+02
11519	469	1.06349E+02
3103	428	1.06364E+02
1604	607	1.06366E+02
1473	609	1.06403E+02
1604	606	1.06406E+02
11594	468	1.06451E+02
7391	609	1.06478E+02
11519	468	1.06489E+02
11594	426	1.06520E+02
1494	607	1.06541E+02
1583	606	1.06546E+02
11519	426	1.06560E+02
1494	606	1.06574E+02
9781	378	1.06575E+02
1363	609	1.06588E+02
9781	377	1.06604E+02
6360	374	1.06630E+02
9695	378	1.06637E+02
1583	335	1.06638E+02
3124	283	1.06643E+02
10781	432	1.06646E+02
1604	466	1.06647E+02
1473	335	1.06655E+02
1473	606	1.06655E+02
9695	377	1.06671E+02
1604	425	1.06673E+02
1384	559	1.06679E+02
3124	332	1.06709E+02
9609	378	1.06712E+02
6360	285	1.06728E+02
1494	466	1.06742E+02
1494	425	1.06746E+02
9609	377	1.06752E+02
1583	467	1.06787E+02
10781	609	1.06792E+02
1363	335	1.06798E+02
10697	432	1.06798E+02
1604	608	1.06802E+02
11594	470	1.06814E+02
6264	374	1.06827E+02
11519	470	1.06834E+02
1384	607	1.06846E+02
6360	561	1.06846E+02
1473	467	1.06847E+02
10613	432	1.06849E+02
6264	285	1.06872E+02
1384	606	1.06917E+02
1363	606	1.06935E+02
1604	605	1.06963E+02
7391	431	1.06969E+02
1583	375	1.06972E+02
1494	608	1.06983E+02
9781	379	1.06996E+02
1473	375	1.06999E+02
1384	425	1.07032E+02
9695	379	1.07051E+02
10781	564	1.07051E+02
1384	466	1.07079E+02
6264	561	1.07084E+02
6360	560	1.07090E+02
9781	376	1.07090E+02
1363	467	1.07104E+02
11594	286	1.07104E+02
11519	286	1.07110E+02
9609	379	1.07120E+02
1494	605	1.07122E+02
10697	609	1.07151E+02
9695	376	1.07159E+02
1363	375	1.07175E+02
6360	562	1.07195E+02
9781	335	1.07199E+02
9695	335	1.07204E+02
10781	472	1.07220E+02
11594	467	1.07221E+02
10613	609	1.07227E+02
9609	376	1.07244E+02
1384	608	1.07248E+02
9609	335	1.07260E+02
11519	467	1.07268E+02
1583	426	1.07279E+02
6360	425	1.07294E+02
1473	426	1.07321E+02
3124	424	1.07321E+02
6264	560	1.07352E+02
10697	564	1.07402E+02
6264	562	1.07406E+02
9695	286	1.07440E+02
9609	286	1.07470E+02
10613	564	1.07473E+02
10697	472	1.07485E+02
6360	466	1.07488E+02
9781	286	1.07492E+02
1384	605	1.07501E+02
6264	425	1.07527E+02
1363	426	1.07537E+02
10613	472	1.07547E+02
3103	469	1.07589E+02
5187	380	1.07667E+02
1604	609	1.07671E+02
1583	605	1.07677E+02
3124	467	1.07699E+02
6264	466	1.07756E+02
1473	605	1.07781E+02
1494	609	1.07857E+02
9781	380	1.07866E+02
9695	380	1.07913E+02
11594	471	1.07919E+02
11519	471	1.07929E+02
7391	608	1.07932E+02
3124	431	1.07948E+02
6360	559	1.07953E+02
1583	286	1.07968E+02
1473	286	1.07975E+02
9609	380	1.07975E+02
3124	468	1.07983E+02
3124	372	1.07984E+02
3124	466	1.07996E+02
3103	336	1.07997E+02
7391	471	1.08029E+02
9781	375	1.08042E+02
1604	604	1.08071E+02
1384	609	1.08080E+02
1363	605	1.08090E+02
1363	286	1.08094E+02
5084	380	1.08107E+02
6360	563	1.08108E+02
9695	375	1.08111E+02
7391	563	1.08193E+02
9609	375	1.08199E+02
1494	604	1.08221E+02
6264	559	1.08238E+02
6264	563	1.08290E+02
3103	376	1.08408E+02
10781	608	1.08426E+02
7577	338	1.08449E+02
1583	559	1.08525E+02
5187	432	1.08595E+02
1473	559	1.08602E+02
11594	334	1.08613E+02
11519	334	1.08628E+02
1384	604	1.08634E+02
7391	380	1.08643E+02
11594	466	1.08645E+02
11594	374	1.08659E+02
1604	558	1.08664E+02
11519	374	1.08688E+02
11519	466	1.08699E+02
1604	333	1.08729E+02
11594	425	1.08742E+02
1494	333	1.08764E+02
1494	558	1.08778E+02
11519	425	1.08786E+02
9695	334	1.08807E+02
9781	334	1.08816E+02
3124	469	1.08834E+02
9609	334	1.08862E+02
10697	608	1.08871E+02
3124	465	1.08885E+02
1363	559	1.08906E+02
10613	608	1.08950E+02
1384	333	1.08965E+02
9781	427	1.08978E+02
5187	379	1.09019E+02
10781	650	1.09066E+02
9781	428	1.09068E+02
5084	432	1.09074E+02
9695	427	1.09096E+02
5187	431	1.09111E+02
3124	282	1.09152E+02
3103	427	1.09158E+02
9695	428	1.09165E+02
1384	558	1.09175E+02
9695	285	1.09193E+02
9609	427	1.09205E+02
6360	333	1.09206E+02
9609	285	1.09218E+02
3103	563	1.09256E+02
9609	428	1.09259E+02
7391	650	1.09261E+02
9781	285	1.09265E+02
1604	284	1.09297E+02
3124	331	1.09306E+02
1494	284	1.09322E+02
3103	564	1.09332E+02
3124	423	1.09353E+02
6264	333	1.09373E+02
1583	604	1.09395E+02
7577	379	1.09415E+02
9781	426	1.09438E+02
7577	380	1.09447E+02
5084	379	1.09455E+02
6360	558	1.09461E+02
9781	374	1.09473E+02
1473	604	1.09492E+02
1384	284	1.09494E+02
10697	650	1.09519E+02
9695	374	1.09539E+02
6360	564	1.09551E+02
9695	426	1.09575E+02
11594	560	1.09580E+02
5084	431	1.09595E+02
