GRAM	c2h2	chi_tot
934	432	8.58384E+02
934	473	8.59348E+02
934	380	8.63280E+02
934	431	8.63894E+02
934	565	8.64219E+02
934	472	8.64277E+02
934	564	8.68845E+02
934	379	8.69564E+02
934	471	8.69859E+02
934	430	8.70043E+02
934	609	8.71885E+02
934	563	8.74112E+02
934	470	8.76132E+02
934	338	8.76424E+02
934	378	8.76425E+02
934	608	8.76447E+02
934	429	8.76853E+02
934	562	8.80068E+02
934	607	8.81632E+02
934	650	8.81836E+02
934	469	8.83131E+02
934	337	8.83486E+02
934	377	8.83878E+02
934	428	8.84342E+02
934	649	8.86511E+02
934	561	8.86757E+02
934	606	8.87490E+02
934	468	8.90883E+02
934	336	8.91067E+02
934	648	8.91788E+02
934	376	8.91941E+02
934	427	8.92529E+02
934	691	8.93904E+02
934	605	8.94071E+02
934	560	8.94219E+02
934	647	8.97718E+02
934	690	8.98806E+02
934	335	8.99187E+02
934	467	8.99412E+02
934	286	9.00558E+02
934	375	9.00636E+02
934	604	9.01423E+02
934	426	9.01436E+02
934	559	9.02491E+02
934	689	9.04288E+02
934	646	9.04354E+02
934	334	9.07871E+02
934	732	9.08075E+02
934	285	9.08441E+02
934	466	9.08747E+02
934	603	9.09590E+02
934	374	9.09989E+02
934	688	9.10403E+02
934	425	9.11087E+02
934	558	9.11607E+02
934	645	9.11748E+02
934	731	9.13262E+02
934	284	9.16832E+02
934	333	9.17145E+02
934	687	9.17206E+02
934	602	9.18620E+02
934	465	9.18914E+02
934	730	9.19010E+02
934	644	9.19953E+02
934	373	9.20030E+02
934	424	9.21512E+02
934	557	9.21605E+02
934	773	9.24384E+02
934	686	9.24752E+02
934	729	9.25373E+02
934	283	9.25763E+02
934	332	9.27044E+02
934	601	9.28558E+02
934	643	9.29023E+02
934	772	9.29871E+02
934	464	9.29946E+02
934	372	9.30793E+02
934	728	9.32407E+02
934	556	9.32518E+02
934	423	9.32742E+02
934	685	9.33100E+02
934	282	9.35265E+02
934	771	9.35903E+02
934	331	9.37607E+02
934	642	9.39010E+02
934	600	9.39444E+02
934	727	9.40171E+02
934	234	9.41062E+02
934	463	9.41868E+02
934	684	9.42307E+02
934	371	9.42317E+02
934	770	9.42536E+02
934	814	9.42854E+02
934	555	9.44374E+02
934	422	9.44807E+02
934	281	9.45375E+02
934	813	9.48625E+02
934	726	9.48724E+02
934	330	9.48877E+02
934	769	9.49826E+02
934	641	9.49963E+02
934	233	9.50218E+02
934	599	9.51314E+02
934	683	9.52430E+02
934	370	9.54638E+02
934	462	9.54702E+02
934	812	9.54929E+02
934	280	9.56139E+02
934	554	9.57195E+02
934	421	9.57735E+02
934	768	9.57832E+02
934	725	9.58127E+02
892	337	9.59943E+02
934	232	9.59994E+02
892	338	9.60028E+02
892	336	9.60257E+02
892	286	9.60774E+02
934	329	9.60898E+02
892	335	9.60977E+02
