GRAM	c2h2	chi_tot
1233	201	8.35199E+01
1233	239	8.42200E+01
1233	200	8.43652E+01
1233	163	8.43840E+01
1233	240	8.45782E+01
1233	202	8.47191E+01
1233	279	8.55319E+01
1233	278	8.59709E+01
1233	238	8.61743E+01
1233	162	8.63655E+01
1233	199	8.69975E+01
1233	241	8.75690E+01
1233	319	8.76728E+01
1233	318	8.78925E+01
1233	280	8.79991E+01
1233	203	8.82551E+01
1233	277	8.89690E+01
1233	161	8.96198E+01
1233	359	9.00935E+01
1233	237	9.01504E+01
1233	320	9.07118E+01
1233	317	9.10053E+01
1233	198	9.11962E+01
1233	358	9.14720E+01
1233	360	9.21065E+01
1233	242	9.35290E+01
1233	281	9.37234E+01
1233	400	9.37280E+01
1233	160	9.40016E+01
1233	399	9.40568E+01
1233	276	9.42014E+01
1233	204	9.44486E+01
1233	357	9.58646E+01
1233	236	9.58928E+01
1233	316	9.66490E+01
1233	197	9.67764E+01
1233	401	9.70919E+01
1233	321	9.73530E+01
1233	398	9.77229E+01
1233	361	9.78495E+01
1233	441	9.78604E+01
1233	440	9.79083E+01
1233	159	9.93917E+01
1233	275	1.01375E+02
1233	439	1.01460E+02
1233	442	1.01637E+02
1233	482	1.02298E+02
1233	481	1.02767E+02
1233	243	1.02796E+02
1233	356	1.02885E+02
1233	282	1.03037E+02
1233	235	1.03183E+02
1233	196	1.03585E+02
1233	397	1.04328E+02
1233	402	1.04427E+02
1233	315	1.04483E+02
1233	483	1.05660E+02
1233	158	1.05694E+02
1233	480	1.06776E+02
1233	523	1.07295E+02
1233	122	1.07572E+02
1233	362	1.07591E+02
1233	322	1.07890E+02
1233	438	1.08123E+02
1233	522	1.08745E+02
1233	443	1.09456E+02
1233	524	1.09596E+02
1233	274	1.10234E+02
1233	195	1.11496E+02
1233	234	1.11836E+02
1233	355	1.12157E+02
1233	157	1.12834E+02
1233	484	1.13025E+02
1233	564	1.13297E+02
1233	396	1.13460E+02
1233	121	1.13660E+02
1233	521	1.13667E+02
1233	479	1.13941E+02
1233	565	1.14078E+02
1233	314	1.14194E+02
1233	244	1.15685E+02
1233	525	1.15789E+02
1233	403	1.15908E+02
1233	563	1.16117E+02
1233	283	1.16229E+02
1233	437	1.17465E+02
1233	566	1.18597E+02
1233	606	1.19740E+02
1233	120	1.20347E+02
