GRAM	c2h2	chi_tot
8862	602	1.21947E+01
8862	603	1.22525E+01
8862	561	1.23704E+01
12024	520	1.25005E+01
12024	479	1.25168E+01
11965	520	1.25481E+01
11965	479	1.25601E+01
12024	561	1.25670E+01
12024	438	1.26019E+01
11965	561	1.26166E+01
11965	438	1.26371E+01
11906	520	1.26512E+01
11906	479	1.26694E+01
8862	560	1.26749E+01
8862	562	1.26763E+01
12024	603	1.26956E+01
8862	520	1.26978E+01
11906	561	1.27066E+01
8950	603	1.27227E+01
8862	601	1.27271E+01
11906	438	1.27437E+01
12024	602	1.27460E+01
12024	562	1.27466E+01
1226	313	1.27690E+01
11965	603	1.27703E+01
12024	397	1.27711E+01
12024	478	1.27909E+01
11965	397	1.27929E+01
11965	602	1.27967E+01
11965	478	1.28029E+01
1226	273	1.28131E+01
8862	519	1.28143E+01
11965	562	1.28225E+01
1226	354	1.28285E+01
12024	521	1.28392E+01
11906	478	1.28447E+01
12024	437	1.28514E+01
11965	437	1.28541E+01
11906	602	1.28682E+01
1226	272	1.28738E+01
12024	519	1.28752E+01
1226	314	1.28819E+01
11906	397	1.28860E+01
11965	519	1.28930E+01
11906	437	1.28943E+01
11906	603	1.29097E+01
11965	521	1.29155E+01
12024	480	1.29265E+01
11906	519	1.29283E+01
1226	233	1.29437E+01
8950	604	1.29453E+01
8950	562	1.29503E+01
1226	232	1.29719E+01
11906	562	1.29811E+01
12024	439	1.29839E+01
1226	353	1.29971E+01
1226	312	1.30004E+01
11965	480	1.30009E+01
1226	395	1.30011E+01
8862	604	1.30271E+01
12024	398	1.30276E+01
11965	439	1.30522E+01
1226	355	1.30587E+01
11965	396	1.30604E+01
1226	274	1.30686E+01
12024	396	1.30716E+01
12024	356	1.30798E+01
11965	356	1.30812E+01
11965	398	1.30834E+01
11906	521	1.30876E+01
11906	396	1.30892E+01
12024	560	1.31091E+01
1226	193	1.31138E+01
8862	478	1.31236E+01
11965	560	1.31306E+01
12024	357	1.31312E+01
8862	479	1.31388E+01
11906	356	1.31486E+01
11906	560	1.31528E+01
11965	357	1.31665E+01
1226	394	1.31668E+01
11906	480	1.31791E+01
1226	234	1.31894E+01
8862	521	1.31930E+01
8950	561	1.31952E+01
1226	194	1.32026E+01
8950	602	1.32114E+01
1226	271	1.32243E+01
11906	439	1.32269E+01
11906	398	1.32431E+01
1226	192	1.32570E+01
1226	231	1.32590E+01
1226	436	1.32710E+01
1226	396	1.32785E+01
11906	357	1.32973E+01
8950	521	1.33176E+01
1226	155	1.33641E+01
8950	520	1.33747E+01
1226	315	1.33818E+01
1226	154	1.33909E+01
12024	316	1.34243E+01
8862	518	1.34246E+01
11965	316	1.34299E+01
8950	563	1.34319E+01
11965	355	1.34620E+01
8862	559	1.34662E+01
11906	355	1.34680E+01
12024	604	1.34865E+01
12024	355	1.34928E+01
1226	435	1.34947E+01
12024	601	1.35073E+01
1226	352	1.35104E+01
11906	316	1.35170E+01
1226	437	1.35172E+01
1226	195	1.35290E+01
11965	601	1.35312E+01
11906	601	1.35353E+01
1226	156	1.35362E+01
1226	311	1.35370E+01
11906	436	1.35773E+01
11965	604	1.35815E+01
8862	437	1.35832E+01
8862	477	1.35895E+01
11906	477	1.35931E+01
11965	315	1.35942E+01
11965	436	1.36014E+01
1226	153	1.36167E+01
11965	477	1.36169E+01
12024	315	1.36208E+01
11906	315	1.36220E+01
1226	118	1.36235E+01
1226	191	1.36254E+01
12024	436	1.36302E+01
12024	477	1.36359E+01
1226	477	1.36481E+01
12024	317	1.36530E+01
8862	438	1.36633E+01
1226	275	1.36707E+01
1226	117	1.36901E+01
11965	317	1.36928E+01
1226	393	1.37076E+01
8862	563	1.37153E+01
8862	600	1.37220E+01
1226	119	1.37250E+01
8950	479	1.37252E+01
1226	235	1.37258E+01
12024	358	1.37297E+01
8862	480	1.37457E+01
1226	356	1.37473E+01
11906	395	1.37646E+01
12024	563	1.37725E+01
8950	480	1.37823E+01
1226	478	1.37881E+01
11906	604	1.37883E+01
1226	230	1.37896E+01
11965	395	1.37980E+01
11906	518	1.37985E+01
11965	358	1.38006E+01
11965	518	1.38294E+01
1226	270	1.38389E+01
12024	395	1.38405E+01
11906	317	1.38412E+01
12024	518	1.38417E+01
11965	563	1.38718E+01
1226	157	1.39076E+01
1226	116	1.39263E+01
11965	276	1.39276E+01
12024	276	1.39296E+01
12024	399	1.39389E+01
8862	436	1.39506E+01
8950	522	1.39828E+01
1226	476	1.39841E+01
1226	120	1.39929E+01
11906	358	1.39968E+01
8950	605	1.40013E+01
12024	522	1.40103E+01
11906	276	1.40113E+01
11965	275	1.40288E+01
8950	519	1.40298E+01
11965	399	1.40298E+01
8950	560	1.40376E+01
1226	152	1.40393E+01
11906	275	1.40569E+01
12024	275	1.40619E+01
1226	397	1.40725E+01
11906	314	1.40952E+01
11906	563	1.40987E+01
1226	196	1.41004E+01
12024	440	1.41047E+01
1226	434	1.41090E+01
11965	522	1.41135E+01
11965	314	1.41245E+01
1226	519	1.41309E+01
12024	481	1.41336E+01
12024	277	1.41535E+01
1226	518	1.41575E+01
12024	314	1.41814E+01
8862	396	1.41831E+01
11965	277	1.41845E+01
11906	354	1.41852E+01
11906	559	1.41922E+01
11965	440	1.42061E+01
1226	190	1.42089E+01
8950	438	1.42312E+01
11965	559	1.42362E+01
11965	481	1.42382E+01
11965	354	1.42383E+01
12024	559	1.42440E+01
8950	478	1.42449E+01
11906	399	1.42575E+01
8862	397	1.42604E+01
8950	601	1.42774E+01
8862	439	1.42918E+01
12024	354	1.42995E+01
1226	438	1.43172E+01
1226	351	1.43177E+01
8950	439	1.43181E+01
1226	316	1.43182E+01
11906	277	1.43259E+01
1226	115	1.43310E+01
1226	310	1.43411E+01
11906	522	1.43547E+01
12024	318	1.43824E+01
11906	274	1.44151E+01
8862	517	1.44184E+01
8862	522	1.44186E+01
1226	121	1.44266E+01
8862	476	1.44345E+01
11965	274	1.44410E+01
11906	440	1.44502E+01
11965	318	1.44582E+01
1226	158	1.44812E+01
11906	481	1.44860E+01
1226	479	1.44954E+01
8862	395	1.44998E+01
12024	274	1.45032E+01
11965	236	1.45249E+01
