GRAM	c2h2	chi_tot
7440	497	2.58082E+02
7440	455	2.58082E+02
7440	496	2.58083E+02
7440	538	2.58084E+02
7440	456	2.58084E+02
7440	414	2.58085E+02
7440	539	2.58085E+02
7440	454	2.58086E+02
7440	413	2.58086E+02
7440	537	2.58087E+02
7440	580	2.58087E+02
7440	498	2.58087E+02
7440	579	2.58088E+02
7440	495	2.58088E+02
7440	372	2.58090E+02
7440	412	2.58090E+02
7440	415	2.58090E+02
7440	453	2.58091E+02
7440	578	2.58092E+02
7440	371	2.58092E+02
7440	536	2.58092E+02
7440	373	2.58092E+02
7440	581	2.58093E+02
7440	494	2.58094E+02
7440	457	2.58094E+02
7440	411	2.58095E+02
7440	540	2.58096E+02
7440	370	2.58096E+02
7440	577	2.58097E+02
7440	452	2.58097E+02
7440	330	2.58098E+02
7440	535	2.58098E+02
7440	331	2.58099E+02
7440	329	2.58100E+02
7440	493	2.58100E+02
7440	369	2.58101E+02
7440	410	2.58101E+02
7440	374	2.58103E+02
7440	576	2.58103E+02
7440	451	2.58103E+02
7440	0	2.58103E+02
7440	499	2.58104E+02
7440	328	2.58104E+02
7440	534	2.58104E+02
7440	332	2.58105E+02
7440	492	2.58106E+02
7440	416	2.58106E+02
7440	288	2.58108E+02
7440	1	2.58108E+02
7440	575	2.58108E+02
7440	289	2.58108E+02
7440	582	2.58109E+02
7440	533	2.58110E+02
7440	287	2.58110E+02
7440	290	2.58113E+02
7440	574	2.58113E+02
7440	458	2.58118E+02
7440	2	2.58118E+02
7440	246	2.58119E+02
7440	247	2.58120E+02
7440	541	2.58120E+02
7440	333	2.58122E+02
7440	248	2.58124E+02
7440	291	2.58125E+02
7440	375	2.58126E+02
7440	205	2.58132E+02
7440	249	2.58133E+02
7440	3	2.58134E+02
7440	206	2.58136E+02
7440	500	2.58138E+02
7440	417	2.58140E+02
7440	207	2.58144E+02
7440	583	2.58144E+02
7440	164	2.58147E+02
7440	292	2.58147E+02
7440	250	2.58149E+02
7440	334	2.58153E+02
7440	165	2.58154E+02
7440	208	2.58157E+02
7440	4	2.58158E+02
7440	41	2.58159E+02
7440	123	2.58161E+02
7440	459	2.58165E+02
7440	166	2.58165E+02
7440	542	2.58168E+02
7440	82	2.58169E+02
7440	376	2.58170E+02
7440	42	2.58171E+02
7440	124	2.58171E+02
7440	251	2.58178E+02
7440	209	2.58178E+02
7440	83	2.58181E+02
7440	167	2.58182E+02
7440	125	2.58186E+02
7440	293	2.58186E+02
7440	43	2.58187E+02
7440	5	2.58190E+02
7440	84	2.58198E+02
7440	418	2.58200E+02
7440	501	2.58202E+02
7440	126	2.58205E+02
7440	168	2.58207E+02
7440	335	2.58207E+02
7440	584	2.58208E+02
7440	44	2.58209E+02
7440	210	2.58210E+02
7440	85	2.58219E+02
7440	252	2.58222E+02
7440	6	2.58231E+02
