GRAM	c2h2	chi_tot
3902	323	6.44022E+01
3902	363	6.44613E+01
3902	273	6.45415E+01
3902	274	6.45693E+01
3902	322	6.45985E+01
3902	414	6.46211E+01
3902	364	6.46430E+01
3902	324	6.47930E+01
3902	415	6.48069E+01
3902	226	6.48129E+01
3902	455	6.48673E+01
3902	225	6.48885E+01
3902	362	6.49161E+01
3902	272	6.49931E+01
3902	454	6.50118E+01
3902	275	6.51082E+01
3902	413	6.51268E+01
3902	227	6.51363E+01
3902	546	6.52008E+01
3902	547	6.52422E+01
3902	566	6.52875E+01
3902	321	6.53262E+01
3902	224	6.53416E+01
3902	141	6.53501E+01
3902	567	6.53509E+01
3902	142	6.54775E+01
3902	140	6.55035E+01
3902	456	6.55075E+01
3902	365	6.55172E+01
3902	590	6.55253E+01
3902	591	6.55841E+01
3902	416	6.57535E+01
3902	325	6.58052E+01
3902	453	6.58484E+01
3902	228	6.58688E+01
3902	271	6.58740E+01
3902	632	6.58796E+01
3902	545	6.59109E+01
3902	139	6.59250E+01
3902	361	6.59279E+01
3902	631	6.59470E+01
3902	548	6.61296E+01
3902	223	6.61389E+01
3902	276	6.61724E+01
3902	673	6.61886E+01
3902	412	6.62296E+01
3902	589	6.62464E+01
3902	568	6.62730E+01
3902	672	6.64925E+01
3902	320	6.65107E+01
3902	592	6.65223E+01
3902	138	6.65945E+01
3902	714	6.65962E+01
3902	381	6.66861E+01
3902	633	6.66999E+01
3902	674	6.67563E+01
3902	630	6.67942E+01
3902	715	6.68142E+01
3902	756	6.69923E+01
3902	457	6.69961E+01
3902	229	6.70113E+01
3902	366	6.71153E+01
3902	270	6.71187E+01
3902	755	6.71828E+01
3902	713	6.72104E+01
3902	222	6.72352E+01
3902	544	6.72528E+01
3902	452	6.72620E+01
3902	797	6.73865E+01
3902	360	6.73984E+01
3902	326	6.74519E+01
3902	137	6.74840E+01
3902	417	6.75022E+01
3902	671	6.75502E+01
3902	798	6.75778E+01
3902	588	6.76211E+01
3902	757	6.76814E+01
3902	277	6.77608E+01
3902	411	6.78167E+01
3902	549	6.79257E+01
3902	716	6.79597E+01
3902	796	6.80076E+01
3902	319	6.80622E+01
3902	754	6.81447E+01
3902	675	6.82789E+01
3902	629	6.82871E+01
3902	593	6.84064E+01
3902	339	6.84394E+01
3902	634	6.84814E+01
3902	712	6.85285E+01
3902	230	6.85574E+01
3902	136	6.85590E+01
3902	221	6.85748E+01
3902	269	6.86504E+01
3902	799	6.86653E+01
3902	543	6.90912E+01
3902	451	6.91238E+01
3902	359	6.92183E+01
3902	670	6.92190E+01
3902	758	6.93190E+01
3902	795	6.93209E+01
3902	458	6.93658E+01
3902	367	6.94453E+01
3902	587	6.95069E+01
3902	327	6.97281E+01
3902	753	6.97402E+01
3902	410	6.97669E+01
3902	135	6.97803E+01
3902	278	6.98605E+01
3902	318	6.98839E+01
3902	418	7.00674E+01
3902	717	7.00881E+01
3902	220	7.00951E+01
3902	628	7.02762E+01
3902	268	7.03871E+01
3902	711	7.04007E+01
3902	231	7.04959E+01
3902	550	7.06597E+01
3902	800	7.06894E+01
3902	676	7.08003E+01
3902	134	7.11068E+01
3902	794	7.11818E+01
3902	635	7.12594E+01
3902	594	7.12668E+01
3902	358	7.12777E+01
3902	542	7.12867E+01
3902	450	7.13035E+01
3902	669	7.13442E+01
3902	219	7.17316E+01
3902	586	7.17573E+01
3902	287	7.17900E+01
3902	752	7.18153E+01
3902	317	7.18798E+01
3902	759	7.19302E+01
3902	409	7.19615E+01
3902	267	7.22499E+01
3902	279	7.24533E+01
3902	368	7.24948E+01
3902	133	7.24977E+01
3902	627	7.26101E+01
3902	328	7.26144E+01
3902	459	7.26194E+01
3902	710	7.26697E+01
3902	232	7.28133E+01
3902	718	7.32119E+01
3902	218	7.34240E+01
3902	793	7.34358E+01
3902	419	7.34386E+01
3902	357	7.34760E+01
3902	801	7.36450E+01
3902	449	7.36789E+01
3902	541	7.37068E+01
3902	668	7.37723E+01
3902	132	7.39148E+01
3902	316	7.39638E+01
3902	266	7.41675E+01
3902	751	7.42136E+01
3902	585	7.42331E+01
3902	408	7.42936E+01
3902	677	7.43241E+01
3902	551	7.43285E+01
3902	636	7.50318E+01
3902	595	7.50987E+01
3902	217	7.51210E+01
3902	626	7.51468E+01
3902	709	7.51838E+01
3902	131	7.53241E+01
3902	233	7.54951E+01
3902	760	7.54963E+01
3902	280	7.55196E+01
3902	356	7.57289E+01
3902	792	7.59317E+01
3902	315	7.60655E+01
3902	265	7.60817E+01
3902	329	7.60841E+01
3902	448	7.61435E+01
3902	540	7.62341E+01
3902	369	7.62366E+01
3902	667	7.63626E+01
3902	91	7.64250E+01
3902	407	7.66735E+01
3902	130	7.66971E+01
3902	460	7.67340E+01
3902	216	7.67830E+01
3902	750	7.67892E+01
3902	584	7.68116E+01
3902	235	7.69373E+01
3902	719	7.73028E+01
3902	90	7.73836E+01
3902	802	7.74844E+01
3902	420	7.75864E+01
3902	625	7.77627E+01
3902	708	7.78073E+01
3902	264	7.79489E+01
3902	355	7.79707E+01
3902	129	7.80127E+01
3902	314	7.81328E+01
3902	89	7.82886E+01
3902	215	7.83825E+01
3902	234	7.85273E+01
3902	791	7.85330E+01
3902	447	7.86107E+01
3902	539	7.87721E+01
3902	678	7.88159E+01
3902	552	7.89011E+01
3902	666	7.89947E+01
3902	406	7.90306E+01
3902	281	7.90426E+01
3902	88	7.91383E+01
3902	128	7.92575E+01
3902	583	7.93915E+01
3902	749	7.94153E+01
3902	263	7.97410E+01
3902	637	7.97621E+01
3902	596	7.98670E+01
3902	214	7.99027E+01
3902	87	7.99344E+01
3902	761	7.99589E+01
3902	330	8.01101E+01
3902	313	8.01313E+01
3902	354	8.01538E+01
3902	624	8.03565E+01
3902	127	8.04256E+01
3902	707	8.04268E+01
3902	370	8.06357E+01
3902	86	8.06801E+01
3902	446	8.10141E+01
3902	790	8.11245E+01
3902	538	8.12456E+01
3902	405	8.13131E+01
3902	213	8.13355E+01
3902	85	8.13793E+01
3902	262	8.14433E+01
3902	126	8.15175E+01
3902	665	8.15716E+01
3902	461	8.16678E+01
3902	582	8.18941E+01
3902	748	8.19884E+01
3902	84	8.20360E+01
3902	312	8.20405E+01
3902	803	8.21237E+01
3902	353	8.22458E+01
3902	720	8.22960E+01
3902	421	8.24694E+01
3902	125	8.25377E+01
3902	83	8.26548E+01
3902	212	8.26803E+01
3902	623	8.28504E+01
3902	706	8.29533E+01
3902	282	8.30088E+01
3902	261	8.30520E+01
3902	82	8.32405E+01
3902	445	8.33057E+01
3902	404	8.34849E+01
3902	124	8.34928E+01
3902	537	8.35995E+01
3902	789	8.36159E+01
3902	81	8.37983E+01
3902	311	8.38499E+01
3902	211	8.39419E+01
3902	664	8.40204E+01
3902	679	8.42095E+01
3902	352	8.42263E+01
3902	581	8.42614E+01
3902	553	8.43267E+01
3902	80	8.43339E+01
3902	123	8.43907E+01
3902	747	8.44305E+01
3902	260	8.45698E+01
3902	331	8.46693E+01
3902	79	8.48527E+01
3902	210	8.51287E+01
3902	622	8.51883E+01
3902	762	8.52271E+01
3902	122	8.52395E+01
3902	705	8.53219E+01
3902	78	8.53593E+01
3902	638	8.53863E+01
3902	444	8.54526E+01
3902	597	8.55132E+01
3902	403	8.55221E+01
3902	310	8.55549E+01
3902	371	8.56573E+01
3902	536	8.57952E+01
3902	77	8.58581E+01
3902	788	8.59416E+01
3902	259	8.60027E+01
3902	121	8.60477E+01
3902	351	8.60830E+01
3902	209	8.62512E+01
3902	663	8.62900E+01
3902	76	8.63524E+01
3902	580	8.64538E+01
3902	746	8.66870E+01
3902	120	8.68234E+01
3902	75	8.68448E+01
3902	309	8.71547E+01
3902	208	8.73196E+01
3902	621	8.73326E+01
3902	74	8.73365E+01
3902	258	8.73570E+01
3902	462	8.73693E+01
3902	283	8.74072E+01
3902	402	8.74096E+01
