GRAM	c2h2	chi_tot
10250	773	6.48532E+01
10250	814	6.48562E+01
10250	732	6.51488E+01
10250	691	6.57526E+01
10250	772	6.58690E+01
10250	813	6.59776E+01
10250	731	6.60924E+01
10250	690	6.66698E+01
10250	650	6.67045E+01
10250	771	6.71531E+01
10250	730	6.73075E+01
10250	812	6.73674E+01
10250	649	6.76568E+01
10250	689	6.78645E+01
10250	609	6.81041E+01
10250	770	6.87414E+01
10250	729	6.88280E+01
10250	648	6.88913E+01
10250	811	6.90626E+01
10250	608	6.91650E+01
10250	688	6.93662E+01
10250	565	7.01369E+01
10250	647	7.04320E+01
10250	607	7.05076E+01
10250	769	7.06712E+01
10250	728	7.06878E+01
10250	810	7.11027E+01
10250	687	7.12042E+01
10250	564	7.13827E+01
10250	606	7.21505E+01
10250	646	7.23032E+01
10250	563	7.29032E+01
10250	727	7.29197E+01
10250	768	7.29794E+01
10250	473	7.30969E+01
10250	686	7.34070E+01
10250	809	7.35285E+01
10153	814	7.38120E+01
10153	773	7.39726E+01
10250	605	7.41126E+01
10153	732	7.43733E+01
10250	645	7.45282E+01
10250	472	7.45965E+01
10153	813	7.45986E+01
10153	772	7.46522E+01
10250	562	7.47101E+01
10153	731	7.49797E+01
10153	691	7.50128E+01
10250	726	7.55551E+01
10153	690	7.55928E+01
10153	771	7.55955E+01
10153	812	7.56476E+01
10250	767	7.57030E+01
10153	730	7.58544E+01
10153	650	7.59187E+01
10250	685	7.60002E+01
10250	471	7.63499E+01
10250	808	7.63822E+01
10250	604	7.64113E+01
10153	689	7.64482E+01
10153	649	7.65351E+01
10250	561	7.68144E+01
10153	770	7.68369E+01
10153	811	7.69949E+01
10153	729	7.70296E+01
10250	644	7.71269E+01
10153	609	7.71760E+01
10250	432	7.73705E+01
10153	648	7.74327E+01
10153	688	7.76069E+01
10153	608	7.79046E+01
10250	470	7.83579E+01
10153	769	7.84126E+01
10153	728	7.85379E+01
10250	725	7.86243E+01
10153	647	7.86341E+01
10153	810	7.86789E+01
10250	766	7.88788E+01
10153	607	7.89150E+01
10153	565	7.89562E+01
10250	684	7.90072E+01
10250	603	7.90585E+01
10153	687	7.90970E+01
10250	431	7.91390E+01
10250	560	7.92243E+01
8145	732	7.96007E+01
10250	807	7.97066E+01
8145	691	7.97909E+01
10153	564	7.98764E+01
8145	773	7.98838E+01
10250	643	8.01145E+01
10153	646	8.01621E+01
10153	606	8.02242E+01
10153	768	8.03588E+01
10153	727	8.04114E+01
8145	650	8.04713E+01
10250	469	8.06202E+01
8145	814	8.06405E+01
10153	809	8.07398E+01
10153	686	8.09459E+01
8145	731	8.10028E+01
10153	563	8.10718E+01
10250	430	8.11115E+01
8145	690	8.11160E+01
8145	772	8.13981E+01
10067	814	8.15145E+01
10153	473	8.15384E+01
8145	609	8.17024E+01
8145	649	8.17704E+01
10153	605	8.18499E+01
10067	773	8.18635E+01
10067	813	8.19273E+01
10250	559	8.19426E+01
10153	645	8.20391E+01
10250	602	8.20604E+01
10250	724	8.21558E+01
10067	772	8.21602E+01
8145	813	8.22902E+01
10067	732	8.23986E+01
10250	683	8.24480E+01
10250	765	8.25423E+01
10153	562	8.25530E+01
10067	812	8.25709E+01
10067	731	8.26101E+01
8145	730	8.26645E+01
10153	726	8.26806E+01
10067	771	8.26899E+01
8145	689	8.27062E+01
10153	767	8.27117E+01
10153	472	8.27221E+01
8145	608	8.30417E+01
10067	730	8.30601E+01
10067	691	8.30967E+01
10250	468	8.31358E+01
8145	771	8.31693E+01
10250	380	8.31705E+01
10153	685	8.31784E+01
10153	808	8.32191E+01
10067	690	8.32668E+01
10250	429	8.32796E+01
8145	648	8.33402E+01
10067	811	8.34795E+01
10067	770	8.34855E+01
10250	642	8.35020E+01
10250	806	8.35424E+01
8145	565	8.36180E+01
10067	689	8.36837E+01
10067	729	8.37796E+01
10153	604	8.38082E+01
10067	650	8.39562E+01
10067	649	8.41455E+01
10153	471	8.41611E+01
8145	812	8.41973E+01
10153	644	8.42842E+01
10153	561	8.43301E+01
10067	688	8.43747E+01
10067	769	8.45815E+01
8145	688	8.45879E+01
10067	648	8.45892E+01
8145	729	8.46153E+01
8145	607	8.46541E+01
10067	810	8.46895E+01
10067	728	8.48002E+01
10250	558	8.49664E+01
10067	609	8.50249E+01
8145	564	8.50738E+01
10250	379	8.51008E+01
8145	647	8.52027E+01
8145	770	8.52284E+01
10153	432	8.52950E+01
10067	608	8.53089E+01
10067	647	8.53099E+01
10067	687	8.53673E+01
10153	725	8.53753E+01
10250	601	8.54180E+01
8055	732	8.54192E+01
10153	766	8.55077E+01
8055	773	8.55709E+01
10250	428	8.56383E+01
8055	691	8.56728E+01
10153	684	8.58174E+01
10067	607	8.58505E+01
10153	470	8.58555E+01
10250	467	8.59010E+01
10067	768	8.60127E+01
10153	603	8.61109E+01
8055	814	8.61502E+01
10067	727	8.61527E+01
10153	807	8.61591E+01
10250	723	8.61738E+01
10067	809	8.62390E+01
8055	650	8.63201E+01
10067	646	8.63301E+01
10250	682	8.63392E+01
8145	811	8.63931E+01
10153	560	8.64106E+01
8055	731	8.64133E+01
10067	565	8.64322E+01
8145	473	8.64631E+01
8145	606	8.65568E+01
8055	690	8.65772E+01
10067	606	8.66670E+01
8055	772	8.66880E+01
10067	686	8.66880E+01
10250	764	8.67236E+01
10153	431	8.67637E+01
8145	687	8.67881E+01
8145	563	8.67998E+01
8145	728	8.68857E+01
10067	564	8.68931E+01
10153	643	8.69121E+01
10250	378	8.71709E+01
8055	649	8.71843E+01
10250	641	8.72966E+01
8145	646	8.73808E+01
8055	609	8.73857E+01
8055	813	8.74110E+01
8145	769	8.76078E+01
10067	563	8.76079E+01
8055	730	8.76405E+01
10067	645	8.76720E+01
8055	689	8.77212E+01
10067	605	8.77762E+01
10153	469	8.78047E+01
10067	767	8.78138E+01
10067	726	8.78670E+01
10250	805	8.79227E+01
8055	771	8.80341E+01
8145	472	8.81134E+01
10067	808	8.81677E+01
10250	427	8.81855E+01
8055	608	8.82755E+01
10250	557	8.82895E+01
8055	648	8.82950E+01
10067	685	8.83616E+01
10067	473	8.84143E+01
10153	430	8.84398E+01
10153	724	8.85237E+01
10067	562	8.85881E+01
10153	602	8.87638E+01
8145	605	8.87678E+01
10153	765	8.87817E+01
10153	559	8.87969E+01
8145	562	8.88069E+01
10153	683	8.88830E+01
8055	812	8.89001E+01
10250	466	8.89098E+01
8145	810	8.89115E+01
8055	565	8.89614E+01
8055	729	8.91290E+01
10067	472	8.91294E+01
10250	600	8.91303E+01
8055	688	8.91304E+01
10067	604	8.91945E+01
8145	686	8.93328E+01
10067	644	8.93545E+01
10250	377	8.93762E+01
8055	607	8.94158E+01
8145	727	8.95052E+01
10153	806	8.96003E+01
8055	770	8.96390E+01
8055	647	8.96737E+01
10067	561	8.98444E+01
8145	645	8.98962E+01
10153	642	8.99339E+01
8055	564	8.99548E+01
10067	725	8.99722E+01
10153	468	9.00070E+01
8145	471	9.00174E+01
10067	766	9.00201E+01
10067	471	9.00825E+01
10250	338	9.01886E+01
10153	429	9.03146E+01
8145	768	9.03403E+01
10067	684	9.04106E+01
10153	380	9.04446E+01
10067	807	9.05164E+01
8145	432	9.05994E+01
8055	811	9.06475E+01
10250	681	9.06913E+01
10250	722	9.06945E+01
8055	606	9.08238E+01
8055	687	9.08307E+01
8055	728	9.09078E+01
10250	426	9.09201E+01
10067	603	9.09340E+01
8145	561	9.11052E+01
8055	563	9.11975E+01
8055	473	9.12460E+01
10067	470	9.12756E+01
8145	604	9.13034E+01
10067	432	9.13065E+01
8055	646	9.13425E+01
10067	560	9.13853E+01
10067	643	9.13930E+01
10250	763	9.14415E+01
10153	558	9.14864E+01
10250	640	9.15021E+01
8055	769	9.15335E+01
10250	376	9.17176E+01
10153	601	9.17683E+01
8145	809	9.17873E+01
10250	556	9.19062E+01
10153	379	9.21030E+01
10250	337	9.21359E+01
10153	723	9.21503E+01
10250	465	9.21557E+01
8145	470	9.21753E+01
8145	685	9.22460E+01
10067	431	9.23096E+01
10153	428	9.23825E+01
10153	682	9.23916E+01
8055	472	9.24240E+01
10153	467	9.24588E+01
8145	431	9.24764E+01
10067	724	9.24960E+01
8145	726	9.25020E+01
8055	605	9.25170E+01
10153	764	9.25644E+01
10067	765	9.26659E+01
8055	810	9.26849E+01
8055	562	9.27011E+01
10067	469	9.27095E+01
8145	644	9.27676E+01
8055	686	9.28467E+01
10067	683	9.28552E+01
10250	804	9.28657E+01
10067	602	9.30016E+01
8055	727	9.30050E+01
10250	599	9.31957E+01
10067	559	9.32143E+01
8055	645	9.33224E+01
10067	806	9.33243E+01
10153	641	9.33571E+01
8145	767	9.34579E+01
10067	430	9.35096E+01
10153	805	9.35764E+01
8145	560	9.37022E+01
8055	768	9.37483E+01
10067	642	9.37990E+01
8055	471	9.38382E+01
10250	425	9.38407E+01
10153	378	9.39061E+01
8145	603	9.41750E+01
10250	336	9.41819E+01
10250	375	9.41990E+01
10067	468	9.43838E+01
10153	557	9.44729E+01
8055	561	9.44761E+01
8055	604	9.45115E+01
8055	432	9.45549E+01
8145	430	9.45608E+01
8145	469	9.45861E+01
10153	427	9.46408E+01
10067	429	9.48995E+01
8055	809	9.50454E+01
8145	808	9.50567E+01
10153	600	9.51234E+01
10153	466	9.51538E+01
8055	685	9.52016E+01
10067	558	9.53301E+01
10067	380	9.53313E+01
10067	601	9.53999E+01
8055	726	9.54472E+01
10067	723	9.54632E+01
8055	470	9.54902E+01
10250	680	9.55058E+01
8145	684	9.55487E+01
8055	644	9.56316E+01
10250	464	9.56350E+01
10067	682	9.57124E+01
10250	721	9.57203E+01
10067	764	9.57815E+01
10250	555	9.58145E+01
10153	377	9.58485E+01
8145	725	9.59031E+01
8055	431	9.59600E+01
8145	643	9.60095E+01
10250	639	9.61182E+01
8145	380	9.62605E+01
10153	722	9.62718E+01
10067	467	9.62960E+01
8055	767	9.63137E+01
10250	335	9.63298E+01
10153	681	9.63544E+01
10067	428	9.64750E+01
8055	560	9.65305E+01
10067	379	9.65512E+01
10067	641	9.65811E+01
8145	559	9.66002E+01
10067	805	9.66248E+01
10250	762	9.66966E+01
10153	338	9.67194E+01
8055	603	9.68187E+01
10250	374	9.68247E+01
8145	429	9.68440E+01
10153	763	9.68754E+01
10250	424	9.69463E+01
8145	766	9.69928E+01
10153	426	9.70877E+01
10153	640	9.71859E+01
8145	468	9.72483E+01
8055	469	9.73804E+01
8145	602	9.73883E+01
8055	430	9.75611E+01
10250	598	9.76134E+01
10067	557	9.77279E+01
10153	556	9.77511E+01
8055	808	9.77625E+01
10067	378	9.79111E+01
8055	684	9.79155E+01
10153	376	9.79299E+01
10250	286	9.80599E+01
10153	465	9.80853E+01
10153	804	9.81065E+01
10067	600	9.81289E+01
10067	427	9.82340E+01
8055	725	9.82603E+01
8145	379	9.82774E+01
8055	643	9.82842E+01
10250	803	9.83665E+01
10153	337	9.84316E+01
10067	466	9.84409E+01
10250	334	9.85866E+01
8145	807	9.87555E+01
10153	599	9.88280E+01
8055	559	9.88677E+01
10067	722	9.88916E+01
10067	681	9.89948E+01
8055	380	9.91118E+01
8145	683	9.92593E+01
8055	766	9.92600E+01
8145	428	9.93204E+01
10250	463	9.93511E+01
8055	429	9.93513E+01
10067	763	9.93876E+01
10067	377	9.94063E+01
8055	602	9.94452E+01
8055	468	9.95085E+01
10250	373	9.95991E+01
8250	732	9.96095E+01
8145	642	9.96318E+01
10153	425	9.97213E+01
8145	724	9.97335E+01
10067	640	9.97450E+01
9983	732	9.97508E+01
8145	558	9.97968E+01
8250	773	9.98101E+01
8250	691	9.98500E+01
10250	285	9.99585E+01
10250	554	1.00017E+02
9983	773	1.00018E+02
9983	691	1.00100E+02
10153	375	1.00153E+02
8145	467	1.00158E+02
10067	426	1.00175E+02
10250	423	1.00241E+02
10153	336	1.00246E+02
10067	338	1.00294E+02
10067	556	1.00403E+02
10067	804	1.00438E+02
8145	378	1.00440E+02
8250	814	1.00465E+02
8250	650	1.00532E+02
8055	379	1.00680E+02
10250	679	1.00772E+02
10153	680	1.00774E+02
