GRAM	c2h2	chi_tot
975	515	2.43447E+04
975	0	2.43448E+04
975	143	2.43448E+04
975	382	2.43449E+04
975	516	2.43449E+04
975	474	2.43449E+04
975	41	2.43450E+04
975	1	2.43450E+04
975	288	2.43450E+04
975	92	2.43450E+04
975	236	2.43450E+04
975	184	2.43450E+04
975	144	2.43451E+04
975	383	2.43451E+04
975	517	2.43452E+04
975	475	2.43452E+04
975	2	2.43452E+04
975	42	2.43453E+04
975	289	2.43453E+04
975	93	2.43453E+04
975	237	2.43453E+04
975	185	2.43453E+04
975	145	2.43454E+04
975	384	2.43455E+04
975	518	2.43455E+04
975	476	2.43455E+04
975	3	2.43455E+04
975	43	2.43456E+04
975	146	2.43457E+04
975	94	2.43457E+04
975	290	2.43457E+04
975	186	2.43457E+04
975	238	2.43457E+04
975	4	2.43458E+04
975	385	2.43459E+04
975	477	2.43459E+04
975	519	2.43459E+04
975	44	2.43461E+04
975	147	2.43461E+04
975	95	2.43461E+04
975	291	2.43462E+04
975	5	2.43462E+04
975	187	2.43462E+04
975	239	2.43462E+04
975	478	2.43464E+04
975	386	2.43464E+04
975	520	2.43465E+04
975	148	2.43465E+04
975	45	2.43466E+04
975	6	2.43466E+04
975	96	2.43467E+04
975	292	2.43467E+04
975	188	2.43468E+04
975	240	2.43468E+04
975	774	2.43469E+04
975	479	2.43470E+04
975	7	2.43470E+04
975	149	2.43471E+04
975	387	2.43471E+04
975	521	2.43471E+04
975	46	2.43472E+04
975	97	2.43474E+04
975	293	2.43475E+04
975	8	2.43475E+04
975	189	2.43475E+04
975	241	2.43475E+04
975	733	2.43476E+04
975	480	2.43476E+04
975	150	2.43477E+04
975	775	2.43477E+04
975	388	2.43479E+04
975	9	2.43480E+04
975	522	2.43480E+04
975	47	2.43480E+04
975	98	2.43483E+04
975	692	2.43483E+04
975	151	2.43483E+04
975	294	2.43484E+04
975	190	2.43484E+04
975	242	2.43484E+04
975	481	2.43485E+04
975	10	2.43485E+04
975	734	2.43485E+04
975	776	2.43487E+04
975	389	2.43489E+04
975	48	2.43490E+04
975	11	2.43490E+04
975	523	2.43490E+04
975	152	2.43490E+04
975	651	2.43491E+04
975	99	2.43493E+04
975	482	2.43494E+04
975	693	2.43494E+04
975	191	2.43495E+04
975	295	2.43495E+04
975	12	2.43495E+04
975	243	2.43496E+04
975	735	2.43497E+04
975	153	2.43498E+04
975	777	2.43499E+04
975	610	2.43500E+04
975	13	2.43501E+04
975	49	2.43501E+04
975	390	2.43502E+04
975	524	2.43503E+04
975	483	2.43504E+04
975	652	2.43505E+04
975	100	2.43505E+04
975	14	2.43506E+04
975	154	2.43506E+04
975	192	2.43508E+04
975	296	2.43509E+04
975	694	2.43509E+04
975	244	2.43509E+04
975	569	2.43510E+04
975	15	2.43512E+04
975	736	2.43512E+04
975	50	2.43514E+04
975	778	2.43515E+04
975	155	2.43515E+04
975	611	2.43516E+04
975	484	2.43516E+04
975	391	2.43518E+04
975	16	2.43518E+04
975	101	2.43520E+04
975	525	2.43520E+04
975	653	2.43521E+04
975	193	2.43524E+04
975	17	2.43524E+04
975	156	2.43524E+04
975	297	2.43525E+04
975	245	2.43526E+04
975	695	2.43526E+04
975	570	2.43528E+04
975	51	2.43529E+04
975	433	2.43529E+04
975	485	2.43530E+04
975	18	2.43530E+04
975	737	2.43530E+04
975	157	2.43534E+04
975	779	2.43534E+04
975	612	2.43535E+04
975	19	2.43536E+04
975	102	2.43537E+04
975	392	2.43537E+04
975	526	2.43540E+04
975	194	2.43542E+04
975	654	2.43542E+04
975	340	2.43543E+04
975	20	2.43543E+04
975	158	2.43543E+04
975	486	2.43544E+04
975	246	2.43545E+04
975	298	2.43546E+04
975	52	2.43546E+04
975	696	2.43548E+04
975	21	2.43549E+04
975	571	2.43550E+04
975	434	2.43551E+04
975	159	2.43553E+04
975	738	2.43553E+04
975	22	2.43555E+04
975	103	2.43557E+04
975	780	2.43558E+04
975	487	2.43559E+04
975	613	2.43559E+04
975	393	2.43560E+04
975	23	2.43562E+04
975	160	2.43563E+04
975	195	2.43564E+04
975	527	2.43565E+04
975	53	2.43565E+04
975	341	2.43567E+04
975	655	2.43568E+04
975	24	2.43568E+04
975	247	2.43569E+04
975	299	2.43570E+04
975	161	2.43573E+04
975	25	2.43574E+04
975	697	2.43575E+04
975	488	2.43575E+04
975	572	2.43577E+04
975	435	2.43578E+04
975	104	2.43579E+04
975	26	2.43580E+04
975	739	2.43582E+04
975	162	2.43583E+04
975	27	2.43586E+04
975	54	2.43587E+04
975	781	2.43587E+04
975	614	2.43589E+04
975	394	2.43589E+04
975	196	2.43589E+04
975	489	2.43592E+04
975	28	2.43592E+04
975	163	2.43594E+04
975	528	2.43595E+04
975	248	2.43596E+04
975	342	2.43597E+04
975	29	2.43599E+04
975	300	2.43599E+04
975	656	2.43600E+04
975	164	2.43604E+04
975	105	2.43605E+04
975	30	2.43605E+04
975	698	2.43609E+04
975	55	2.43610E+04
975	490	2.43610E+04
975	573	2.43611E+04
975	436	2.43611E+04
975	31	2.43611E+04
975	165	2.43615E+04
975	740	2.43617E+04
