GRAM	c2h2	chi_tot
1299	574	4.20732E+03
1299	533	4.20761E+03
1299	575	4.20774E+03
1299	492	4.20793E+03
1299	534	4.20811E+03
1299	451	4.20827E+03
1299	576	4.20827E+03
1299	0	4.20839E+03
1299	493	4.20851E+03
1299	410	4.20863E+03
1299	535	4.20873E+03
1299	41	4.20874E+03
1299	452	4.20894E+03
1299	577	4.20894E+03
1299	1	4.20894E+03
1299	369	4.20898E+03
1299	82	4.20912E+03
1299	494	4.20923E+03
1299	328	4.20930E+03
1299	411	4.20938E+03
1299	42	4.20940E+03
1299	123	4.20946E+03
1299	536	4.20951E+03
1299	287	4.20957E+03
1299	2	4.20958E+03
1299	164	4.20970E+03
1299	246	4.20975E+03
1299	453	4.20977E+03
1299	578	4.20977E+03
1299	205	4.20980E+03
1299	370	4.20982E+03
1299	83	4.20990E+03
1299	495	4.21014E+03
1299	43	4.21018E+03
1299	329	4.21022E+03
1299	3	4.21029E+03
1299	412	4.21032E+03
1299	124	4.21034E+03
1299	537	4.21049E+03
1299	288	4.21055E+03
1299	165	4.21066E+03
1299	247	4.21076E+03
1299	454	4.21080E+03
1299	206	4.21081E+03
1299	579	4.21081E+03
1299	84	4.21082E+03
1299	371	4.21086E+03
1299	44	4.21108E+03
1299	4	4.21108E+03
1299	496	4.21127E+03
1299	330	4.21136E+03
1299	125	4.21141E+03
1299	413	4.21149E+03
1299	538	4.21171E+03
1299	289	4.21176E+03
1299	166	4.21184E+03
1299	85	4.21191E+03
1299	5	4.21194E+03
1299	248	4.21201E+03
1299	207	4.21204E+03
1299	45	4.21210E+03
1299	455	4.21210E+03
1299	580	4.21211E+03
1299	372	4.21217E+03
1299	497	4.21268E+03
1299	126	4.21268E+03
1299	331	4.21278E+03
1299	6	4.21287E+03
1299	414	4.21296E+03
1299	86	4.21318E+03
1299	539	4.21323E+03
1299	46	4.21324E+03
1299	167	4.21326E+03
1299	290	4.21326E+03
1299	249	4.21354E+03
1299	208	4.21356E+03
1299	456	4.21372E+03
1299	581	4.21374E+03
1299	373	4.21379E+03
1299	7	4.21384E+03
1299	127	4.21419E+03
1299	498	4.21444E+03
1299	47	4.21450E+03
1299	332	4.21453E+03
1299	87	4.21463E+03
1299	415	4.21477E+03
1299	8	4.21487E+03
1299	168	4.21496E+03
1299	291	4.21511E+03
1299	540	4.21512E+03
1299	209	4.21539E+03
1299	250	4.21542E+03
1299	457	4.21572E+03
1299	582	4.21576E+03
1299	374	4.21580E+03
1299	48	4.21588E+03
1299	9	4.21594E+03
1299	128	4.21594E+03
1299	88	4.21626E+03
1299	499	4.21663E+03
1299	333	4.21670E+03
1299	169	4.21698E+03
1299	416	4.21703E+03
1299	10	4.21705E+03
