GRAM	c2h2	chi_tot
1278	574	9.26428E+03
1278	533	9.26456E+03
1278	575	9.26471E+03
1278	492	9.26487E+03
1278	534	9.26506E+03
1278	451	9.26521E+03
1278	576	9.26525E+03
1278	493	9.26545E+03
1278	410	9.26556E+03
1278	535	9.26569E+03
1278	452	9.26587E+03
1278	369	9.26591E+03
1278	577	9.26593E+03
1278	494	9.26618E+03
1278	328	9.26625E+03
1278	411	9.26631E+03
1278	536	9.26648E+03
1278	287	9.26654E+03
1278	0	9.26656E+03
1278	41	9.26661E+03
1278	453	9.26670E+03
1278	82	9.26673E+03
1278	370	9.26675E+03
1278	578	9.26677E+03
1278	246	9.26677E+03
1278	123	9.26686E+03
1278	205	9.26691E+03
1278	164	9.26694E+03
1278	495	9.26709E+03
1278	329	9.26716E+03
1278	412	9.26725E+03
1278	1	9.26735E+03
1278	42	9.26746E+03
1278	537	9.26747E+03
1278	288	9.26753E+03
1278	83	9.26765E+03
1278	454	9.26774E+03
1278	371	9.26779E+03
1278	247	9.26780E+03
1278	579	9.26783E+03
1278	124	9.26784E+03
1278	206	9.26795E+03
1278	165	9.26796E+03
1278	496	9.26823E+03
1278	2	9.26825E+03
1278	330	9.26830E+03
1278	413	9.26841E+03
1278	43	9.26845E+03
1278	538	9.26870E+03
1278	84	9.26873E+03
1278	289	9.26874E+03
1278	125	9.26901E+03
1278	455	9.26903E+03
1278	248	9.26906E+03
1278	372	9.26908E+03
1278	580	9.26916E+03
1278	166	9.26920E+03
1278	207	9.26922E+03
1278	3	9.26926E+03
1278	44	9.26959E+03
1278	497	9.26964E+03
1278	331	9.26971E+03
1278	414	9.26986E+03
1278	85	9.27000E+03
1278	539	9.27023E+03
1278	290	9.27023E+03
1278	4	9.27037E+03
1278	126	9.27040E+03
1278	249	9.27061E+03
1278	456	9.27064E+03
1278	373	9.27068E+03
1278	167	9.27069E+03
1278	208	9.27077E+03
1278	581	9.27080E+03
1278	45	9.27087E+03
1278	498	9.27139E+03
1278	332	9.27144E+03
1278	86	9.27145E+03
1278	5	9.27158E+03
1278	415	9.27166E+03
1278	127	9.27203E+03
1278	291	9.27206E+03
1278	540	9.27213E+03
1278	46	9.27230E+03
1278	168	9.27246E+03
1278	250	9.27248E+03
1278	457	9.27262E+03
1278	209	9.27263E+03
1278	374	9.27265E+03
1278	582	9.27284E+03
1278	6	9.27289E+03
1278	87	9.27310E+03
1278	333	9.27356E+03
1278	499	9.27357E+03
1278	416	9.27387E+03
1278	47	9.27388E+03
1278	128	9.27392E+03
1278	7	9.27428E+03
1278	292	9.27430E+03
1278	541	9.27448E+03
1278	169	9.27456E+03
1278	251	9.27476E+03
1278	210	9.27485E+03
1278	88	9.27496E+03
1278	458	9.27507E+03
1278	375	9.27508E+03
1278	583	9.27536E+03
1278	48	9.27559E+03
1278	8	9.27576E+03
1278	129	9.27608E+03
1278	334	9.27616E+03
1278	500	9.27624E+03
1278	417	9.27659E+03
1278	293	9.27700E+03
1278	170	9.27700E+03
1278	89	9.27702E+03
1278	9	9.27730E+03
1278	542	9.27738E+03
1278	49	9.27742E+03
1278	252	9.27748E+03
1278	211	9.27750E+03
1278	376	9.27804E+03
1278	459	9.27808E+03
1278	584	9.27847E+03
1278	130	9.27854E+03
1278	10	9.27892E+03
1278	90	9.27928E+03
1278	335	9.27931E+03
1278	50	9.27938E+03
1278	501	9.27953E+03
1278	171	9.27983E+03
1278	418	9.27991E+03
1278	294	9.28025E+03
1278	11	9.28059E+03
1278	212	9.28060E+03
1278	253	9.28073E+03
1278	543	9.28094E+03
1278	131	9.28130E+03
1278	51	9.28144E+03
1278	377	9.28163E+03
1278	91	9.28174E+03
1278	460	9.28175E+03
1278	585	9.28228E+03
1278	12	9.28231E+03
1278	172	9.28308E+03
1278	336	9.28310E+03
1278	502	9.28355E+03
1278	52	9.28361E+03
1278	419	9.28394E+03
1278	13	9.28408E+03
1278	295	9.28414E+03
1278	213	9.28423E+03
1278	132	9.28438E+03
1278	92	9.28440E+03
1278	254	9.28457E+03
1278	544	9.28528E+03
1278	53	9.28588E+03
1278	14	9.28590E+03
1278	378	9.28596E+03
1278	461	9.28621E+03
1278	173	9.28679E+03
1278	586	9.28693E+03
1278	93	9.28727E+03
1278	337	9.28764E+03
1278	15	9.28776E+03
1278	133	9.28781E+03
1278	54	9.28825E+03
1278	503	9.28842E+03
1278	214	9.28843E+03
1278	296	9.28876E+03
1278	420	9.28881E+03
1278	255	9.28908E+03
1278	16	9.28964E+03
1278	94	9.29037E+03
1278	545	9.29055E+03
1278	55	9.29072E+03
1278	174	9.29100E+03
1278	379	9.29116E+03
1278	17	9.29155E+03
1278	462	9.29160E+03
1278	134	9.29161E+03
1278	587	9.29257E+03
1278	338	9.29305E+03
1278	215	9.29328E+03
1278	56	9.29329E+03
1278	18	9.29348E+03
1278	95	9.29371E+03
1278	297	9.29420E+03
1278	504	9.29431E+03
1278	256	9.29435E+03
1278	421	9.29465E+03
1278	19	9.29543E+03
1278	175	9.29576E+03
1278	135	9.29584E+03
1278	57	9.29599E+03
1278	546	9.29691E+03
1278	96	9.29733E+03
1278	380	9.29735E+03
1278	20	9.29739E+03
1278	463	9.29806E+03
1278	58	9.29881E+03
1278	216	9.29885E+03
1278	588	9.29936E+03
1278	21	9.29938E+03
1278	339	9.29944E+03
1278	257	9.30046E+03
1278	136	9.30053E+03
1278	298	9.30058E+03
1278	176	9.30116E+03
1278	97	9.30127E+03
1278	505	9.30136E+03
1278	22	9.30139E+03
1278	422	9.30161E+03
1278	59	9.30179E+03
1278	23	9.30342E+03
1278	547	9.30452E+03
1278	381	9.30468E+03
1278	60	9.30493E+03
1278	217	9.30523E+03
1278	24	9.30548E+03
1278	98	9.30557E+03
1278	137	9.30576E+03
1278	464	9.30576E+03
1278	340	9.30694E+03
1278	177	9.30726E+03
1278	589	9.30748E+03
1278	258	9.30752E+03
1278	25	9.30757E+03
1278	299	9.30801E+03
1278	61	9.30828E+03
1278	26	9.30971E+03
1278	506	9.30976E+03
1278	423	9.30984E+03
1278	99	9.31031E+03
1278	138	9.31160E+03
1278	62	9.31187E+03
1278	27	9.31190E+03
1278	218	9.31252E+03
1278	382	9.31328E+03
1278	548	9.31356E+03
1278	178	9.31416E+03
1278	28	9.31417E+03
1278	465	9.31486E+03
1278	100	9.31554E+03
1278	259	9.31566E+03
1278	341	9.31569E+03
1278	63	9.31573E+03
1278	29	9.31652E+03
1278	300	9.31662E+03
1278	590	9.31713E+03
1278	139	9.31815E+03
1278	30	9.31898E+03
1278	424	9.31951E+03
