GRAM	c2h2	chi_tot
6851	325	3.56659E+01
6941	325	3.56868E+01
6851	286	3.57070E+01
6851	285	3.57430E+01
6761	286	3.57595E+01
6851	326	3.57843E+01
6761	325	3.57852E+01
6941	286	3.57997E+01
6941	326	3.58095E+01
6761	285	3.58124E+01
6941	285	3.58444E+01
6761	326	3.58730E+01
6941	365	3.59717E+01
6941	366	3.60448E+01
6851	365	3.60471E+01
6851	324	3.60635E+01
6941	324	3.60827E+01
6851	366	3.61018E+01
6761	324	3.62106E+01
6761	365	3.62468E+01
6851	284	3.62505E+01
6761	366	3.62562E+01
6761	284	3.63352E+01
6941	284	3.63619E+01
6941	364	3.64432E+01
6851	327	3.64645E+01
6941	327	3.64962E+01
6941	406	3.65022E+01
6761	327	3.65194E+01
6851	364	3.65331E+01
6851	245	3.65817E+01
6761	245	3.66146E+01
6941	405	3.66760E+01
6851	406	3.66767E+01
6941	367	3.67057E+01
6851	367	3.67409E+01
6941	245	3.67677E+01
6761	364	3.67739E+01
6761	367	3.68452E+01
6851	405	3.68822E+01
6941	407	3.69198E+01
6851	323	3.69397E+01
6761	406	3.69440E+01
6941	323	3.69595E+01
6851	407	3.70577E+01
6761	323	3.71118E+01
6851	283	3.71959E+01
6761	405	3.72086E+01
6761	407	3.72595E+01
6761	283	3.72944E+01
6941	283	3.73185E+01
6941	446	3.73653E+01
6941	447	3.73682E+01
6941	404	3.74039E+01
6851	244	3.74075E+01
6941	363	3.74232E+01
6761	244	3.74455E+01
6851	363	3.75240E+01
6941	244	3.76123E+01
6851	404	3.76366E+01
6851	447	3.76612E+01
6851	446	3.77072E+01
6761	363	3.78016E+01
6941	445	3.79467E+01
6941	408	3.79713E+01
6941	448	3.79896E+01
6941	368	3.80036E+01
6851	368	3.80133E+01
6761	404	3.80160E+01
6761	447	3.80227E+01
6761	368	3.80624E+01
6851	408	3.80678E+01
6761	446	3.81469E+01
6761	408	3.81974E+01
6851	448	3.82273E+01
6851	322	3.82651E+01
6941	322	3.82881E+01
6851	445	3.83312E+01
6941	487	3.83497E+01
6941	488	3.84105E+01
6761	322	3.84596E+01
6761	448	3.85023E+01
6851	282	3.85534E+01
6851	243	3.86236E+01
6941	403	3.86556E+01
6761	282	3.86642E+01
6761	243	3.86662E+01
6941	282	3.86886E+01
6761	445	3.88408E+01
6941	243	3.88477E+01
6851	488	3.88543E+01
6851	487	3.88589E+01
6941	362	3.88840E+01
6941	486	3.88892E+01
6851	403	3.89095E+01
6851	362	3.89917E+01
6941	444	3.90836E+01
6941	489	3.90993E+01
6941	449	3.92661E+01
6761	362	3.93019E+01
6761	403	3.93360E+01
6761	488	3.93484E+01
6851	449	3.94427E+01
6761	487	3.94497E+01
6851	486	3.94560E+01
6851	489	3.94702E+01
6851	444	3.95037E+01
6941	528	3.95633E+01
6941	529	3.95767E+01
6761	449	3.96222E+01
6941	409	3.97024E+01
6851	409	3.97527E+01
6761	409	3.98029E+01
6761	489	3.98569E+01
6941	485	4.00041E+01
6851	321	4.00180E+01
6941	321	4.00468E+01
6761	444	4.00753E+01
6761	486	4.01329E+01
6941	527	4.01548E+01
6851	242	4.02099E+01
6851	529	4.02139E+01
6941	530	4.02150E+01
6761	321	4.02323E+01
6761	242	4.02563E+01
6851	528	4.02805E+01
6851	281	4.03040E+01
6941	402	4.04076E+01
6761	281	4.04256E+01
6941	490	4.04446E+01
6941	281	4.04533E+01
6941	242	4.04539E+01
6761	204	4.04825E+01
6851	204	4.04888E+01
6851	485	4.06201E+01
6851	402	4.06772E+01
6851	490	4.07357E+01
6941	443	4.07523E+01
6851	530	4.07637E+01
6941	204	4.08041E+01
6941	361	4.08046E+01
6941	570	4.08797E+01
6761	529	4.08880E+01
6851	361	4.09151E+01
6851	527	4.09426E+01
6941	569	4.10001E+01
6761	490	4.10040E+01
6761	528	4.10681E+01
6761	402	4.11448E+01
6851	443	4.12010E+01
6941	450	4.12358E+01
6761	361	4.12538E+01
6761	530	4.13114E+01
6941	526	4.13317E+01
6851	450	4.13456E+01
6761	485	4.13730E+01
6941	571	4.13740E+01
6761	450	4.14202E+01
6941	531	4.14987E+01
6941	484	4.16728E+01
6941	568	4.17223E+01
6851	570	4.17601E+01
6761	443	4.18265E+01
6761	527	4.18311E+01
6851	531	4.19508E+01
6851	569	4.19724E+01
6851	241	4.21502E+01
6851	571	4.21527E+01
6851	526	4.21803E+01
6851	320	4.21823E+01
