GRAM	c2h2	chi_tot
6462	279	3.67123E+01
6559	279	3.67704E+01
6462	240	3.68297E+01
6559	240	3.68998E+01
6462	239	3.69608E+01
6462	319	3.69695E+01
6559	319	3.70194E+01
6559	239	3.70201E+01
6462	201	3.70662E+01
6559	201	3.71357E+01
6462	278	3.73549E+01
6462	280	3.73848E+01
6559	278	3.73879E+01
6559	280	3.74734E+01
6462	202	3.75331E+01
6462	200	3.75387E+01
6462	359	3.75573E+01
6559	359	3.75670E+01
6559	202	3.76033E+01
6462	318	3.76062E+01
6559	200	3.76082E+01
6559	318	3.76094E+01
6462	163	3.78168E+01
6462	320	3.78213E+01
6462	241	3.78799E+01
6559	163	3.78906E+01
6462	360	3.79132E+01
6559	320	3.79279E+01
6559	241	3.79633E+01
6559	360	3.80073E+01
6462	238	3.81467E+01
6559	238	3.81975E+01
6462	400	3.82476E+01
6559	400	3.82695E+01
6462	162	3.85838E+01
6559	162	3.86630E+01
6559	358	3.87139E+01
6462	358	3.87730E+01
6462	199	3.88487E+01
6559	399	3.88882E+01
6559	199	3.89189E+01
6462	399	3.89734E+01
6462	203	3.90571E+01
6559	203	3.91289E+01
6462	277	3.91727E+01
6559	277	3.91855E+01
6462	441	3.92018E+01
6559	441	3.92240E+01
6462	401	3.92462E+01
6559	401	3.93983E+01
6462	281	3.95122E+01
6559	317	3.95449E+01
6462	317	3.95794E+01
6559	281	3.96372E+01
6559	440	3.96387E+01
6462	440	3.97653E+01
6462	361	3.99834E+01
6462	161	3.99867E+01
6559	161	4.00714E+01
6559	361	4.01782E+01
6559	482	4.02342E+01
6462	482	4.02432E+01
6462	242	4.02450E+01
6462	237	4.02731E+01
6462	321	4.03020E+01
6559	237	4.03174E+01
6559	242	4.03445E+01
6462	442	4.04393E+01
6559	321	4.04758E+01
6559	442	4.06420E+01
6559	481	4.07658E+01
6462	198	4.09113E+01
6462	481	4.09644E+01
6559	198	4.09829E+01
6559	398	4.11005E+01
6462	398	4.12710E+01
6559	357	4.12855E+01
6559	523	4.13201E+01
6462	483	4.13422E+01
6462	357	4.13990E+01
6462	523	4.14093E+01
6559	483	4.15633E+01
6559	439	4.17481E+01
6462	204	4.17693E+01
6559	204	4.18435E+01
6462	160	4.19731E+01
6462	439	4.19933E+01
6559	276	4.20319E+01
6462	276	4.20348E+01
6462	524	4.20591E+01
6559	160	4.20634E+01
6462	402	4.20855E+01
6559	522	4.22434E+01
6559	524	4.22449E+01
6559	402	4.23920E+01
6462	522	4.25580E+01
6559	564	4.26206E+01
6559	316	4.26736E+01
6462	316	4.27374E+01
6462	565	4.28193E+01
6462	564	4.28515E+01
6559	565	4.29001E+01
6559	480	4.30341E+01
6462	282	4.32254E+01
6462	236	4.32418E+01
6559	236	4.32817E+01
6462	480	4.33831E+01
6559	282	4.33930E+01
6462	443	4.35663E+01
6462	197	4.36578E+01
6559	197	4.37314E+01
6559	606	4.37814E+01
6462	362	4.38768E+01
6462	606	4.38847E+01
6559	443	4.39815E+01
6462	243	4.40596E+01
6559	563	4.41477E+01
6559	243	4.41782E+01
6559	362	4.41895E+01
6559	605	4.43154E+01
6462	484	4.43279E+01
6462	159	4.45030E+01
6462	322	4.45278E+01
6462	525	4.45615E+01
6462	566	4.45865E+01
6559	159	4.45990E+01
6462	563	4.46313E+01
6559	397	4.47318E+01
6462	607	4.47457E+01
6462	605	4.47557E+01
6559	322	4.47799E+01
6559	484	4.48196E+01
6559	521	4.48988E+01
6462	397	4.49673E+01
6559	566	4.50372E+01
6559	607	4.50470E+01
6559	525	4.50717E+01
6559	356	4.51144E+01
6462	356	4.52692E+01
6559	438	4.53796E+01
6462	521	4.53904E+01
6462	438	4.57150E+01
6559	275	4.58098E+01
6462	275	4.58243E+01
6559	604	4.65915E+01
6462	403	4.68333E+01
6559	315	4.68521E+01
6559	479	4.68701E+01
6462	315	4.69375E+01
6462	235	4.69714E+01
6559	235	4.70088E+01
6462	196	4.70342E+01
6559	196	4.71105E+01
6462	604	4.73007E+01
6559	403	4.73184E+01
6462	608	4.73299E+01
6462	479	4.73327E+01
6559	562	4.73647E+01
6462	158	4.75456E+01
6462	122	4.75835E+01
6559	158	4.76473E+01
6559	122	4.76974E+01
6462	562	4.80437E+01
6559	608	4.81003E+01
6462	567	4.81390E+01
6462	444	4.86138E+01
6462	283	4.86382E+01
6559	283	4.88551E+01
6462	526	4.89066E+01
6559	567	4.90152E+01
6559	520	4.91173E+01
6462	485	4.92050E+01
6559	444	4.92732E+01
6462	244	4.94516E+01
6559	244	4.95925E+01
6559	396	4.95983E+01
6462	363	4.96599E+01
6462	520	4.97405E+01
6559	526	4.97883E+01
6462	396	4.98806E+01
6559	485	5.00067E+01
6559	355	5.00367E+01
6559	363	5.01078E+01
6462	355	5.02207E+01
6559	437	5.03384E+01
6559	274	5.04161E+01
6462	274	5.04382E+01
6559	603	5.04849E+01
6462	121	5.05609E+01
6462	323	5.05835E+01
6559	121	5.06818E+01
6462	437	5.07384E+01
6559	323	5.09254E+01
6462	195	5.09988E+01
6462	157	5.10764E+01
6559	195	5.10785E+01
6559	157	5.11840E+01
6462	234	5.13940E+01
6462	603	5.13967E+01
6559	234	5.14306E+01
6462	609	5.15686E+01
6559	314	5.19477E+01
6462	314	5.20478E+01
6559	478	5.20723E+01
6559	561	5.20984E+01
6462	478	5.26148E+01
6559	609	5.28672E+01
6462	561	5.29186E+01
6462	568	5.34037E+01
6462	404	5.35049E+01
6462	120	5.39341E+01
6559	120	5.40617E+01
6559	404	5.41923E+01
6559	519	5.46910E+01
6559	568	5.47566E+01
6462	527	5.50259E+01
6462	156	5.50751E+01
6559	156	5.51888E+01
6462	519	5.54040E+01
6559	395	5.55138E+01
6462	194	5.55167E+01
6462	445	5.55559E+01
6559	194	5.56004E+01
6559	273	5.57576E+01
6462	273	5.57837E+01
6559	602	5.58133E+01
6462	395	5.58264E+01
6462	284	5.58417E+01
6559	354	5.58934E+01
6462	486	5.59200E+01
6462	354	5.60960E+01
6559	284	5.61147E+01
6559	527	5.63229E+01
6559	436	5.64183E+01
6462	233	5.64490E+01
6559	233	5.64865E+01
6559	445	5.64897E+01
10017	81	5.65184E+01
6462	245	5.65337E+01
9931	81	5.65604E+01
6559	245	5.67004E+01
10017	80	5.68199E+01
6462	436	5.68598E+01
9931	80	5.68601E+01
6462	602	5.68658E+01
10017	116	5.70147E+01
10017	115	5.70468E+01
9931	116	5.70590E+01
6559	486	5.70685E+01
9931	115	5.70897E+01
10017	117	5.73076E+01
6462	610	5.73466E+01
9931	117	5.73532E+01
10017	79	5.73547E+01
6462	364	5.73557E+01
10017	114	5.73919E+01
9931	79	5.73931E+01
9931	114	5.74333E+01
10017	152	5.75506E+01
10017	153	5.75836E+01
9931	152	5.75925E+01
9931	153	5.76255E+01
6462	119	5.76894E+01
6559	119	5.78238E+01
6559	313	5.78363E+01
10017	151	5.79032E+01
10017	118	5.79349E+01
6462	313	5.79446E+01
9931	151	5.79447E+01
6559	364	5.79558E+01
9931	118	5.79816E+01
10017	154	5.80174E+01
10017	113	5.80336E+01
10017	191	5.80469E+01
9931	154	5.80590E+01
9931	113	5.80733E+01
9931	191	5.80848E+01
10017	78	5.81051E+01
6559	560	5.81331E+01
9931	78	5.81418E+01
