GRAM	c2h2	chi_tot
4291	491	3.67477E+01
4189	491	3.67798E+01
4086	491	3.68001E+01
4291	532	3.68163E+01
4189	532	3.68598E+01
4086	532	3.69176E+01
4291	450	3.69337E+01
4086	450	3.69515E+01
4189	450	3.69569E+01
4291	573	3.71178E+01
4189	573	3.71755E+01
4086	573	3.72833E+01
4086	409	3.74047E+01
4291	409	3.74090E+01
4189	409	3.74254E+01
4291	614	3.76386E+01
4291	490	3.76592E+01
4189	490	3.76917E+01
4189	614	3.77136E+01
4086	490	3.77255E+01
4291	531	3.77573E+01
4189	531	3.78015E+01
4291	449	3.78280E+01
4189	449	3.78512E+01
4086	449	3.78577E+01
4086	531	3.78737E+01
4086	614	3.78839E+01
4291	572	3.80975E+01
4189	572	3.81560E+01
4086	368	3.82077E+01
4291	368	3.82234E+01
4189	368	3.82345E+01
4086	572	3.82784E+01
4291	408	3.82999E+01
4086	408	3.83053E+01
4189	408	3.83158E+01
4291	489	3.86531E+01
4291	613	3.86627E+01
4189	489	3.86858E+01
4086	489	3.87322E+01
4189	613	3.87383E+01
4291	530	3.87797E+01
4291	448	3.88039E+01
4189	530	3.88243E+01
4189	448	3.88269E+01
4086	448	3.88448E+01
4086	530	3.89099E+01
4086	613	3.89227E+01
4086	367	3.91157E+01
4291	367	3.91242E+01
4189	367	3.91343E+01
4291	571	3.91569E+01
4189	571	3.92158E+01
4291	407	3.92691E+01
4086	407	3.92837E+01
4189	407	3.92845E+01
4086	571	3.93517E+01
4086	327	3.94252E+01
4291	327	3.94444E+01
4189	327	3.94511E+01
4291	488	3.97323E+01
4291	612	3.97646E+01
4189	488	3.97649E+01
4086	488	3.98231E+01
4189	612	3.98404E+01
4291	447	3.98626E+01
4189	447	3.98852E+01
4291	529	3.98884E+01
4086	447	3.99138E+01
4189	529	3.99329E+01
4086	529	4.00309E+01
4086	612	4.00377E+01
4086	366	4.00957E+01
4291	366	4.00971E+01
4189	366	4.01063E+01
4291	570	4.03023E+01
4291	406	4.03163E+01
4189	406	4.03310E+01
4086	406	4.03395E+01
4086	326	4.03513E+01
4189	570	4.03612E+01
4291	326	4.03653E+01
4189	326	4.03709E+01
4086	570	4.05094E+01
4291	487	4.08985E+01
4189	487	4.09306E+01
4291	611	4.09517E+01
4086	487	4.09997E+01
4291	446	4.10040E+01
4189	446	4.10260E+01
4189	611	4.10272E+01
4086	446	4.10647E+01
4291	528	4.10863E+01
4189	528	4.11305E+01
4086	286	4.11368E+01
4291	365	4.11401E+01
4086	365	4.11453E+01
4189	365	4.11483E+01
4291	286	4.11539E+01
4189	286	4.11569E+01
4086	611	4.12361E+01
4086	528	4.12398E+01
4086	325	4.13389E+01
4291	325	4.13480E+01
4189	325	4.13523E+01
4291	405	4.14398E+01
4189	405	4.14536E+01
4086	405	4.14709E+01
4290	450	4.15085E+01
4188	450	4.15284E+01
4291	569	4.15380E+01
4290	409	4.15957E+01
4189	569	4.15963E+01
4188	409	4.16042E+01
4085	450	4.16340E+01
4085	409	4.16710E+01
4290	491	4.17297E+01
4086	569	4.17557E+01
4188	491	4.17623E+01
4085	491	4.19169E+01
4188	368	4.20213E+01
4290	368	4.20226E+01
4085	368	4.20583E+01
4086	285	4.20815E+01
4291	285	4.20954E+01
4189	285	4.20969E+01
4291	486	4.21510E+01
4189	486	4.21823E+01
4291	445	4.22262E+01
4291	610	4.22290E+01
4290	532	4.22295E+01
4189	445	4.22475E+01
4291	364	4.22498E+01
4189	364	4.22569E+01
4086	364	4.22613E+01
4086	486	4.22615E+01
4188	532	4.22768E+01
4086	445	4.22954E+01
4189	610	4.23037E+01
4291	527	4.23741E+01
4086	324	4.23841E+01
4291	324	4.23884E+01
4189	324	4.23915E+01
4189	527	4.24175E+01
4085	532	4.24909E+01
4086	610	4.25226E+01
4086	527	4.25371E+01
4291	404	4.26361E+01
4189	404	4.26490E+01
4086	404	4.26746E+01
4290	449	4.26771E+01
4188	449	4.26936E+01
4290	408	4.27219E+01
4188	408	4.27275E+01
4085	408	4.27975E+01
4085	449	4.28026E+01
4188	327	4.28147E+01
4290	327	4.28247E+01
4085	327	4.28300E+01
4291	568	4.28654E+01
4189	568	4.29227E+01
4290	490	4.29372E+01
4188	490	4.29662E+01
4290	573	4.29835E+01
4188	573	4.30475E+01
4086	284	4.30712E+01
4291	284	4.30819E+01
4189	284	4.30820E+01
4086	568	4.30918E+01
4188	367	4.31003E+01
4290	367	4.31043E+01
4085	490	4.31239E+01
4085	367	4.31403E+01
4085	573	4.33321E+01
4086	245	4.34132E+01
4291	363	4.34211E+01
4189	245	4.34246E+01
4291	245	4.34253E+01
4189	363	4.34271E+01
4086	363	4.34384E+01
4290	531	4.34728E+01
4291	323	4.34815E+01
4086	323	4.34817E+01
4189	323	4.34833E+01
4291	485	4.34866E+01
4188	531	4.35161E+01
4189	485	4.35169E+01
4291	444	4.35251E+01
4189	444	4.35452E+01
4291	609	4.35985E+01
4086	444	4.36019E+01
4086	485	4.36052E+01
4189	609	4.36717E+01
4085	531	4.37326E+01
4291	526	4.37493E+01
4189	526	4.37915E+01
4290	448	4.38340E+01
4290	407	4.38416E+01
4188	407	4.38446E+01
4188	448	4.38477E+01
4188	326	4.38522E+01
4290	326	4.38646E+01
4085	326	4.38701E+01
4086	609	4.38989E+01
4291	403	4.38998E+01
4189	403	4.39115E+01
4085	407	4.39183E+01
4086	526	4.39201E+01
4086	403	4.39448E+01
4085	448	4.39605E+01
4290	614	4.39713E+01
4188	286	4.40345E+01
4085	286	4.40349E+01
4290	286	4.40523E+01
4188	614	4.40541E+01
4086	283	4.41007E+01
4189	283	4.41070E+01
4291	283	4.41083E+01
4290	489	4.41295E+01
4188	489	4.41554E+01
4188	366	4.41802E+01
4290	366	4.41866E+01
4085	366	4.42236E+01
4290	572	4.42588E+01
4291	567	4.42823E+01
4085	489	4.43168E+01
4188	572	4.43184E+01
4189	567	4.43381E+01
4086	244	4.43551E+01
4189	244	4.43632E+01
4291	244	4.43656E+01
4085	614	4.44201E+01
4086	567	4.45154E+01
4085	572	4.46043E+01
4291	322	4.46210E+01
4189	322	4.46215E+01
4086	322	4.46256E+01
4291	362	4.46471E+01
4189	362	4.46519E+01
4086	362	4.46699E+01
4290	530	4.46985E+01
4188	530	4.47384E+01
4291	443	4.48936E+01
4188	325	4.48987E+01
4291	484	4.48990E+01
4189	443	4.49124E+01
4290	325	4.49132E+01
4085	325	4.49195E+01
4189	484	4.49279E+01
4085	530	4.49582E+01
4290	406	4.49702E+01
4188	406	4.49709E+01
4086	443	4.49770E+01
4290	447	4.49965E+01
4188	447	4.50078E+01
4086	484	4.50243E+01
4188	285	4.50399E+01
4085	285	4.50426E+01
4085	406	4.50488E+01
4291	608	4.50577E+01
4290	285	4.50598E+01
4085	447	4.51250E+01
4189	608	4.51287E+01
4086	282	4.51650E+01
4189	282	4.51669E+01
4291	282	4.51696E+01
4291	525	4.52057E+01
4291	402	4.52231E+01
4189	402	4.52335E+01
4189	525	4.52461E+01
4188	365	4.52741E+01
4086	402	4.52741E+01
4290	613	4.52742E+01
4290	365	4.52825E+01
4085	365	4.53211E+01
4086	243	4.53218E+01
4290	488	4.53257E+01
4189	243	4.53267E+01
4291	243	4.53305E+01
4188	488	4.53490E+01
4188	613	4.53520E+01
4086	608	4.53625E+01
4086	525	4.53825E+01
4085	488	4.55146E+01
4290	571	4.55157E+01
4188	571	4.55715E+01
4085	613	4.57177E+01
4085	245	4.57614E+01
4188	245	4.57704E+01
4291	566	4.57823E+01
4290	245	4.57952E+01
4189	321	4.57991E+01
4291	321	4.58000E+01
4086	321	4.58087E+01
4189	566	4.58359E+01
4085	571	4.58596E+01
4291	361	4.59200E+01
4189	361	4.59234E+01
4290	529	4.59275E+01
4086	361	4.59477E+01
4188	324	4.59641E+01
4188	529	4.59646E+01
4290	324	4.59806E+01
4085	324	4.59881E+01
4086	566	4.60198E+01
4188	284	4.60608E+01
4085	284	4.60658E+01
4290	284	4.60825E+01
4188	405	4.61203E+01
4290	405	4.61215E+01
4290	446	4.61805E+01
4085	529	4.61881E+01
4188	446	4.61896E+01
4085	405	4.62024E+01
4189	281	4.62560E+01
4086	281	4.62585E+01
4291	281	4.62601E+01
4086	204	4.62683E+01
4189	204	4.62705E+01
4291	204	4.62757E+01
4086	242	4.63097E+01
4085	446	4.63113E+01
4189	242	4.63114E+01
4291	242	4.63167E+01
4291	442	4.63224E+01
4189	442	4.63396E+01
4291	483	4.63785E+01
4188	364	4.63932E+01
4290	364	4.64036E+01
4189	483	4.64055E+01
4086	442	4.64114E+01
4085	364	4.64441E+01
4086	483	4.65092E+01
4290	487	4.65432E+01
4290	612	4.65595E+01
4188	487	4.65642E+01
4291	401	4.65968E+01
4291	607	4.65994E+01
4189	401	4.66057E+01
4188	612	4.66331E+01
4086	401	4.66531E+01
4189	607	4.66675E+01
4291	524	4.67330E+01
4085	487	4.67343E+01
4085	244	4.67505E+01
4188	244	4.67576E+01
4189	524	4.67712E+01
4290	570	4.67764E+01
4290	244	4.67842E+01
4188	570	4.68290E+01
4086	607	4.69060E+01
4086	524	4.69141E+01
4085	612	4.69993E+01
4189	320	4.70089E+01
4291	320	4.70111E+01
4086	320	4.70237E+01
4188	323	4.70568E+01
4290	323	4.70750E+01
4085	323	4.70841E+01
4188	283	4.71039E+01
4085	283	4.71115E+01
4085	570	4.71199E+01
4290	283	4.71273E+01
4086	203	4.71727E+01
4189	203	4.71728E+01
4290	528	4.71787E+01
4291	203	4.71795E+01
4188	528	4.72132E+01
4291	360	4.72310E+01
4189	360	4.72330E+01
4086	360	4.72634E+01
4188	404	4.73044E+01
4290	404	4.73075E+01
4189	241	4.73143E+01
4086	241	4.73157E+01
4291	241	4.73211E+01
4291	565	4.73543E+01
4189	280	4.73691E+01
4291	280	4.73746E+01
4086	280	4.73758E+01
4085	404	4.73909E+01
4290	445	4.73996E+01
4189	565	4.74051E+01
4188	445	4.74068E+01
4085	528	4.74406E+01
4085	445	4.75330E+01
4188	363	4.75470E+01
4290	363	4.75591E+01
4086	565	4.75941E+01
4085	363	4.76018E+01
4085	243	4.77593E+01
4188	243	4.77646E+01
4290	243	4.77927E+01
4290	486	4.77971E+01
4291	441	4.77997E+01
4189	441	4.78150E+01
4188	486	4.78160E+01
4290	611	4.78500E+01
4086	441	4.78933E+01
4291	482	4.79125E+01
4188	611	4.79199E+01
4189	482	4.79373E+01
4085	486	4.79905E+01
4291	400	4.80105E+01
4189	400	4.80177E+01
4086	482	4.80471E+01
4290	569	4.80608E+01
4086	400	4.80714E+01
4189	202	4.80852E+01
4086	202	4.80871E+01
4291	202	4.80934E+01
4188	569	4.81106E+01
4188	282	4.81751E+01
4188	322	4.81835E+01
4085	282	4.81854E+01
4085	204	4.81977E+01
4290	282	4.82002E+01
4290	322	4.82032E+01
4291	606	4.82118E+01
4188	204	4.82119E+01
4085	322	4.82140E+01
4290	204	4.82433E+01
4189	319	4.82443E+01
4291	319	4.82480E+01
4086	319	4.82641E+01
4189	606	4.82762E+01
4085	611	4.82873E+01
4291	523	4.83177E+01
4189	240	4.83333E+01
4086	240	4.83378E+01
4291	240	4.83415E+01
4189	523	4.83533E+01
4085	569	4.84042E+01
4290	527	4.84681E+01
4188	527	4.85003E+01
4086	523	4.85014E+01
4189	279	4.85019E+01
4291	279	4.85088E+01
4086	279	4.85126E+01
4086	606	4.85175E+01
4188	403	4.85331E+01
4290	403	4.85379E+01
4291	359	4.85719E+01
4189	359	4.85724E+01
4086	359	4.86084E+01
4085	403	4.86238E+01
4290	444	4.86653E+01
4188	444	4.86706E+01
4085	527	4.87315E+01
4188	362	4.87430E+01
4290	362	4.87566E+01
4085	242	4.87933E+01
4188	242	4.87966E+01
4085	444	4.88012E+01
4085	362	4.88016E+01
4290	242	4.88262E+01
4291	564	4.89838E+01
4189	201	4.90076E+01
4086	201	4.90116E+01
4291	201	4.90174E+01
4189	564	4.90312E+01
4290	485	4.90999E+01
4188	485	4.91168E+01
4290	610	4.91661E+01
4085	203	4.91948E+01
4188	203	4.92077E+01
4086	564	4.92237E+01
4188	610	4.92328E+01
4290	203	4.92406E+01
4188	281	4.92798E+01
4085	281	4.92928E+01
4085	485	4.92953E+01
4290	281	4.93064E+01
4291	440	4.93129E+01
4189	440	4.93262E+01
4188	321	4.93498E+01
4189	239	4.93669E+01
4290	321	4.93711E+01
4086	239	4.93743E+01
4291	239	4.93765E+01
4085	321	4.93837E+01
4290	568	4.93855E+01
4086	440	4.94101E+01
4188	568	4.94326E+01
