GRAM	c2h2	chi_tot
5398	159	3.99902E+01
5295	159	4.00287E+01
5398	160	4.00537E+01
5295	160	4.00905E+01
5398	197	4.03666E+01
5295	197	4.04074E+01
5398	158	4.05175E+01
5295	158	4.05577E+01
5398	161	4.06790E+01
5398	198	4.06798E+01
5295	161	4.07136E+01
5295	198	4.07140E+01
5398	196	4.07484E+01
5398	122	4.07810E+01
5295	196	4.07950E+01
5295	122	4.08168E+01
5398	236	4.11775E+01
5295	236	4.12221E+01
5398	235	4.15314E+01
5295	235	4.15881E+01
5398	237	4.16267E+01
5398	199	4.16519E+01
5295	237	4.16579E+01
5398	157	4.16681E+01
5295	199	4.16791E+01
5295	157	4.17096E+01
5398	162	4.18400E+01
5398	195	4.18673E+01
5295	162	4.18723E+01
5398	121	4.19011E+01
5295	195	4.19191E+01
5295	121	4.19362E+01
5316	202	4.23274E+01
5419	202	4.23823E+01
5398	276	4.23923E+01
5316	201	4.24077E+01
5295	276	4.24375E+01
5419	201	4.24571E+01
5398	275	4.25004E+01
5295	275	4.25666E+01
5398	234	4.27358E+01
5295	234	4.28035E+01
5316	163	4.28143E+01
5316	240	4.28242E+01
5398	238	4.28368E+01
5316	203	4.28427E+01
5295	238	4.28535E+01
5419	163	4.28670E+01
5419	240	4.28715E+01
5419	203	4.29036E+01
5316	241	4.30233E+01
5419	241	4.30843E+01
5316	200	4.31053E+01
5419	200	4.31498E+01
5398	277	4.31736E+01
5295	277	4.31958E+01
5398	200	4.32541E+01
5295	200	4.32737E+01
5316	239	4.33310E+01
5419	239	4.33658E+01
5398	156	4.34764E+01
5398	163	4.35146E+01
5295	156	4.35189E+01
5295	163	4.35444E+01
5398	274	4.35471E+01
5398	120	4.35518E+01
5295	120	4.35861E+01
5295	274	4.36323E+01
5398	194	4.37679E+01
5398	316	4.37859E+01
5316	162	4.37881E+01
5295	194	4.38243E+01
5419	162	4.38408E+01
5295	316	4.38463E+01
5316	280	4.38592E+01
5316	242	4.39049E+01
5419	280	4.39107E+01
5316	204	4.39359E+01
5419	242	4.39805E+01
5316	279	4.39894E+01
5419	204	4.40033E+01
5419	279	4.40177E+01
5398	315	4.41280E+01
5295	315	4.42189E+01
5398	317	4.44309E+01
5316	199	4.44454E+01
5295	317	4.44577E+01
5419	199	4.44855E+01
5316	281	4.45130E+01
5316	238	4.45731E+01
5419	281	4.45897E+01
5419	238	4.45965E+01
5398	239	4.47735E+01
5295	239	4.47745E+01
5295	278	4.47969E+01
5398	278	4.47996E+01
5398	233	4.48379E+01
5295	233	4.49152E+01
5316	278	4.49342E+01
5419	278	4.49411E+01
5316	320	4.52810E+01
5316	161	4.53139E+01
5419	320	4.53228E+01
5419	161	4.53669E+01
5316	243	4.54517E+01
5398	201	4.54632E+01
5295	201	4.54746E+01
5316	319	4.54748E+01
5419	319	4.54813E+01
5398	314	4.55072E+01
5419	243	4.55431E+01
5398	273	4.55798E+01
5398	356	4.55835E+01
5295	314	4.56253E+01
5398	357	4.56403E+01
5295	273	4.56816E+01
5295	356	4.56846E+01
5295	357	4.56977E+01
5398	119	4.57541E+01
5295	119	4.57875E+01
5316	282	4.59263E+01
5316	321	4.59468E+01
5398	155	4.59763E+01
5295	318	4.60035E+01
5398	318	4.60132E+01
5295	155	4.60195E+01
5419	321	4.60267E+01
5419	282	4.60298E+01
5316	198	4.64577E+01
5398	193	4.64911E+01
5419	198	4.64941E+01
5419	318	4.65405E+01
5295	193	4.65512E+01
5316	318	4.65664E+01
5316	237	4.65860E+01
5419	237	4.65992E+01
5398	355	4.66133E+01
5419	277	4.67184E+01
5316	277	4.67307E+01
5398	358	4.67308E+01
5295	358	4.67404E+01
5295	355	4.67534E+01
5316	360	4.70603E+01
5419	360	4.70627E+01
5295	279	4.72041E+01
5398	279	4.72336E+01
5316	361	4.73004E+01
5419	361	4.73537E+01
5295	240	4.73935E+01
5398	240	4.74092E+01
5316	160	4.74187E+01
5316	322	4.74375E+01
5398	397	4.74649E+01
5419	160	4.74722E+01
5419	322	4.75582E+01
5295	397	4.75877E+01
5398	398	4.76403E+01
5316	244	4.76537E+01
5419	359	4.77040E+01
5295	398	4.77060E+01
5316	359	4.77488E+01
5419	244	4.77617E+01
5398	232	4.78754E+01
5295	232	4.79608E+01
5398	313	4.79646E+01
5316	283	4.80794E+01
5295	313	4.81062E+01
5419	283	4.82115E+01
5398	202	4.82604E+01
5295	202	4.82632E+01
5398	396	4.84162E+01
5316	362	4.84195E+01
5295	319	4.84399E+01
5398	319	4.84891E+01
5398	118	4.85245E+01
5419	362	4.85275E+01
5419	317	4.85442E+01
5295	118	4.85570E+01
5295	396	4.85900E+01
5316	317	4.85995E+01
5398	272	4.86339E+01
5295	272	4.87499E+01
5295	359	4.87589E+01
5398	354	4.87728E+01
5398	359	4.88013E+01
5398	399	4.88847E+01
5295	399	4.88877E+01
5295	354	4.89467E+01
5419	401	4.90858E+01
5316	401	4.91026E+01
5316	197	4.91779E+01
5398	154	4.91954E+01
5419	197	4.92113E+01
5295	154	4.92391E+01
5419	358	4.93293E+01
5419	276	4.93942E+01
5316	236	4.94121E+01
5419	236	4.94163E+01
5316	358	4.94170E+01
5316	276	4.94238E+01
5316	402	4.94549E+01
5419	402	4.95050E+01
5419	400	4.96066E+01
5398	438	4.96228E+01
