GRAM	c2h2	chi_tot
6851	432	3.80090E+01
6761	432	3.80487E+01
6941	432	3.81555E+01
6851	473	3.83100E+01
6761	473	3.83589E+01
6941	473	3.84118E+01
6851	472	3.85911E+01
6851	431	3.86341E+01
6941	472	3.86709E+01
6761	472	3.86760E+01
6761	431	3.86964E+01
6941	431	3.87750E+01
6851	471	3.91148E+01
6851	380	3.91205E+01
6761	380	3.91460E+01
6941	471	3.91754E+01
6761	471	3.92338E+01
6851	565	3.92387E+01
6941	565	3.93038E+01
6761	565	3.93071E+01
6851	564	3.93184E+01
6941	380	3.93376E+01
6941	564	3.93436E+01
6761	564	3.94368E+01
6851	430	3.95011E+01
6761	430	3.95846E+01
6941	563	3.96173E+01
6851	563	3.96287E+01
6941	430	3.96383E+01
6761	563	3.97949E+01
6851	470	3.98931E+01
6941	470	3.99375E+01
6761	470	4.00443E+01
6941	562	4.01418E+01
6851	562	4.01862E+01
6851	379	4.02213E+01
6761	379	4.02583E+01
6941	608	4.03279E+01
6851	609	4.03609E+01
6851	608	4.03709E+01
6941	609	4.03752E+01
6761	562	4.03979E+01
6941	379	4.04455E+01
6761	609	4.04759E+01
6941	607	4.04962E+01
6761	608	4.05491E+01
6851	607	4.05930E+01
6851	429	4.06203E+01
6761	429	4.07237E+01
6941	429	4.07561E+01
6761	607	4.08321E+01
6941	606	4.09010E+01
6941	561	4.09339E+01
6851	469	4.09386E+01
6941	469	4.09698E+01
6851	561	4.10075E+01
6851	606	4.10476E+01
6761	469	4.11199E+01
6761	561	4.12622E+01
6761	606	4.13452E+01
6941	649	4.14220E+01
6941	650	4.14588E+01
6851	650	4.15286E+01
6941	605	4.15629E+01
6851	378	4.15634E+01
6851	649	4.15650E+01
6941	648	4.15833E+01
6761	378	4.16109E+01
6761	650	4.17316E+01
6851	605	4.17548E+01
6851	648	4.17957E+01
6941	378	4.17960E+01
6761	649	4.18428E+01
6941	647	4.19657E+01
6851	428	4.20042E+01
6941	560	4.20109E+01
6761	605	4.21079E+01
6851	560	4.21095E+01
6761	428	4.21258E+01
6941	428	4.21407E+01
6761	648	4.21462E+01
6851	647	4.22434E+01
6851	468	4.22652E+01
6941	468	4.22864E+01
6761	560	4.24044E+01
6761	468	4.24744E+01
6941	604	4.25031E+01
6941	691	4.25479E+01
6941	690	4.25867E+01
6941	646	4.25923E+01
6761	647	4.26638E+01
6851	604	4.27355E+01
6851	691	4.27494E+01
6941	689	4.28095E+01
6851	690	4.28751E+01
6851	646	4.29305E+01
6761	338	4.30438E+01
6851	338	4.30463E+01
6761	691	4.30920E+01
6761	604	4.31409E+01
6851	377	4.31590E+01
6851	689	4.31810E+01
6761	377	4.32161E+01
6941	688	4.32401E+01
6761	690	4.33024E+01
6941	338	4.33695E+01
6941	559	4.33913E+01
6941	377	4.34015E+01
6761	646	4.34177E+01
6941	645	4.34875E+01
6851	559	4.35105E+01
6851	427	4.36665E+01
6851	688	4.36903E+01
6761	689	4.36906E+01
6941	732	4.36998E+01
6941	603	4.37442E+01
6761	427	4.38046E+01
6941	427	4.38060E+01
6761	559	4.38424E+01
6941	731	4.38553E+01
6851	645	4.38807E+01
6851	467	4.38883E+01
6941	467	4.39029E+01
6941	687	4.39037E+01
6851	603	4.40118E+01
6851	732	4.40905E+01
6761	467	4.41229E+01
6941	730	4.41844E+01
6761	688	4.42796E+01
6851	731	4.43441E+01
6851	687	4.44274E+01
6761	645	4.44311E+01
6761	603	4.44658E+01
6761	732	4.46312E+01
6941	644	4.46776E+01
6941	729	4.47116E+01
6851	730	4.47674E+01
6851	337	4.48082E+01
6761	337	4.48092E+01
6941	686	4.48268E+01
6761	731	4.49771E+01
6941	773	4.49873E+01
6851	376	4.50201E+01
6761	376	4.50857E+01
6761	687	4.50928E+01
6941	558	4.50943E+01
6851	644	4.51195E+01
6941	337	4.51468E+01
6851	558	4.52294E+01
6941	376	4.52739E+01
6941	772	4.52839E+01
6941	602	4.53102E+01
6851	729	4.53842E+01
6851	686	4.54180E+01
6941	728	4.54633E+01
6761	730	4.54904E+01
6761	558	4.55950E+01
6851	602	4.56072E+01
6851	426	4.56210E+01
6851	773	4.56302E+01
6761	644	4.57289E+01
6941	771	4.57475E+01
6941	426	4.57659E+01
6761	426	4.57740E+01
6851	466	4.58240E+01
6941	466	4.58355E+01
6851	772	4.60335E+01
6941	685	4.60384E+01
6761	466	4.60814E+01
6761	602	4.61056E+01
6761	686	4.61555E+01
6941	643	4.61904E+01
6761	729	4.61942E+01
6851	728	4.62199E+01
6941	770	4.64031E+01
6761	773	4.64313E+01
6941	727	4.64678E+01
6941	814	4.64767E+01
6851	771	4.65999E+01
6851	643	4.66745E+01
6851	685	4.66901E+01
6851	336	4.68120E+01
6761	336	4.68159E+01
6920	565	4.68698E+01
6941	813	4.69280E+01
6761	772	4.69323E+01
6761	728	4.71131E+01
6920	473	4.71132E+01
6941	557	4.71396E+01
6851	375	4.71567E+01
6941	336	4.71670E+01
6830	565	4.72171E+01
6941	601	4.72252E+01
6761	375	4.72298E+01
6941	769	4.72780E+01
6851	557	4.72857E+01
6851	727	4.73018E+01
6830	473	4.73317E+01
6761	643	4.73380E+01
6851	770	4.73532E+01
6941	375	4.74234E+01
6851	814	4.74379E+01
6920	609	4.74763E+01
6761	685	4.74951E+01
6941	812	4.75433E+01
6851	601	4.75453E+01
6740	565	4.75693E+01
6941	684	4.75696E+01
6740	473	4.75829E+01
6761	771	4.75937E+01
6761	557	4.76814E+01
6941	726	4.77563E+01
6851	425	4.78806E+01
6830	609	4.79815E+01
6851	813	4.80019E+01
6941	425	4.80335E+01
6761	425	4.80466E+01
6941	642	4.80548E+01
6761	601	4.80838E+01
6851	465	4.80879E+01
6941	465	4.81001E+01
6920	564	4.81733E+01
6761	727	4.82738E+01
6851	684	4.82742E+01
6851	769	4.83196E+01
6941	811	4.83475E+01
6761	465	4.83655E+01
6941	768	4.84020E+01
6761	770	4.84388E+01
6740	609	4.84688E+01
6830	564	4.85588E+01
6761	814	4.85632E+01
6851	642	4.85735E+01
6920	650	4.85956E+01
6920	608	4.86517E+01
6851	726	4.86601E+01
6920	472	4.86747E+01
6851	812	4.87254E+01
6920	432	4.88681E+01
6830	472	4.89167E+01
6740	564	4.89514E+01
6830	432	4.89699E+01
6851	335	4.90607E+01
6761	335	4.90669E+01
6740	432	4.91404E+01
6761	684	4.91412E+01
6740	472	4.91968E+01
6830	608	4.92089E+01
6761	813	4.92276E+01
6761	642	4.92859E+01
6830	650	4.93024E+01
6941	725	4.93622E+01
6941	810	4.93689E+01
6941	335	4.94328E+01
6941	683	4.94527E+01
6761	769	4.94930E+01
6941	600	4.95118E+01
6851	768	4.95279E+01
6941	556	4.95457E+01
6851	374	4.95755E+01
6851	811	4.96324E+01
6761	374	4.96549E+01
6851	556	4.96975E+01
6761	726	4.97054E+01
6920	649	4.97430E+01
6740	608	4.97475E+01
6920	563	4.97521E+01
6941	767	4.98078E+01
6851	600	4.98486E+01
6941	374	4.98567E+01
6740	650	4.99708E+01
6761	812	5.00487E+01
6920	607	5.00876E+01
6920	691	5.00950E+01
6761	556	5.01196E+01
6830	563	5.01725E+01
6851	683	5.02016E+01
6941	641	5.02980E+01
6851	725	5.03270E+01
6761	600	5.04224E+01
6851	424	5.04559E+01
6830	649	5.05142E+01
6920	471	5.05162E+01
6740	563	5.06033E+01
6941	424	5.06194E+01
6761	424	5.06330E+01
6941	809	5.06384E+01
6830	607	5.06934E+01
6851	464	5.06944E+01
6941	464	5.07112E+01
6851	810	5.07498E+01
6830	471	5.07790E+01
6761	768	5.07839E+01
6920	431	5.08093E+01
6851	641	5.08433E+01
6830	431	5.09210E+01
6761	464	5.09893E+01
6851	767	5.10096E+01
6761	811	5.10496E+01
6830	691	5.10580E+01
6740	471	5.10860E+01
6740	431	5.11093E+01
6761	683	5.11244E+01
