GRAM	c2h2	chi_tot
5398	282	3.61672E+01
5398	283	3.61944E+01
5295	282	3.62238E+01
5295	283	3.62489E+01
5398	331	3.65719E+01
5295	331	3.66310E+01
5398	281	3.67832E+01
5398	284	3.68303E+01
5295	281	3.68417E+01
5398	332	3.68713E+01
5295	284	3.68825E+01
5295	332	3.69233E+01
5398	330	3.70296E+01
5398	234	3.70634E+01
5295	330	3.70953E+01
5295	234	3.71170E+01
5398	371	3.74500E+01
5295	371	3.75135E+01
5398	370	3.78804E+01
5398	333	3.78861E+01
5398	372	3.78951E+01
5295	333	3.79302E+01
5295	372	3.79439E+01
5295	370	3.79574E+01
5398	285	3.80438E+01
5398	280	3.80798E+01
5295	285	3.80933E+01
5295	280	3.81398E+01
5398	329	3.82930E+01
5398	233	3.83284E+01
5295	329	3.83644E+01
5295	233	3.83812E+01
5398	422	3.87530E+01
5295	422	3.88175E+01
5398	421	3.89199E+01
5295	421	3.90076E+01
5398	373	3.91668E+01
5295	373	3.91996E+01
5398	369	3.92409E+01
5295	369	3.93300E+01
5398	423	3.95549E+01
5398	334	3.95812E+01
5295	423	3.95941E+01
5295	334	3.96169E+01
5316	336	3.96470E+01
5419	336	3.96893E+01
5316	335	3.97859E+01
5398	286	3.98072E+01
5419	335	3.98219E+01
5295	286	3.98538E+01
5398	279	4.00965E+01
5398	420	4.01126E+01
5316	337	4.01520E+01
5295	279	4.01576E+01
5398	232	4.01728E+01
5419	337	4.02013E+01
5295	420	4.02210E+01
5295	232	4.02248E+01
5316	375	4.02328E+01
5316	286	4.02426E+01
5419	375	4.02664E+01
5398	462	4.02743E+01
5419	286	4.02823E+01
5295	462	4.03559E+01
5316	376	4.03985E+01
5398	328	4.04129E+01
5419	376	4.04474E+01
5295	328	4.04893E+01
5316	334	4.05954E+01
5419	334	4.06256E+01
5398	461	4.07028E+01
5295	461	4.08179E+01
5316	374	4.08346E+01
8912	282	4.08352E+01
8912	283	4.08521E+01
5419	374	4.08541E+01
5398	463	4.09215E+01
5295	463	4.09663E+01
8912	331	4.11043E+01
5398	374	4.12237E+01
5295	374	4.12393E+01
5398	424	4.12731E+01
5316	338	4.12779E+01
5295	424	4.12849E+01
5316	377	4.13025E+01
5419	338	4.13348E+01
5316	426	4.13419E+01
5316	285	4.13547E+01
5419	377	4.13680E+01
5419	426	4.13800E+01
5419	285	4.13942E+01
8912	332	4.14432E+01
8912	281	4.14576E+01
8912	284	4.14738E+01
8912	330	4.15248E+01
5316	425	4.15353E+01
5419	425	4.15476E+01
5398	368	4.15852E+01
5295	368	4.16848E+01
8912	371	4.18887E+01
8912	234	4.18955E+01
5398	335	4.19275E+01
5295	335	4.19542E+01
5316	427	4.20000E+01
5419	427	4.20662E+01
5316	333	4.21054E+01
5419	333	4.21306E+01
8912	370	4.21952E+01
5316	373	4.22386E+01
5419	373	4.22454E+01
5398	554	4.22605E+01
5398	553	4.22613E+01
5398	460	4.22648E+01
5295	554	4.23395E+01
5398	419	4.23851E+01
5295	553	4.23881E+01
5295	460	4.24098E+01
8912	372	4.24711E+01
8912	333	4.25008E+01
5295	419	4.25119E+01
5398	464	4.25862E+01
5295	464	4.25907E+01
5419	424	4.26053E+01
5316	424	4.26167E+01
5398	231	4.26210E+01
8912	285	4.26695E+01
5295	231	4.26720E+01
8912	329	4.27525E+01
8912	280	4.27569E+01
9000	286	4.28225E+01
5398	278	4.28716E+01
5316	466	4.29009E+01
5316	378	4.29223E+01
5419	466	4.29281E+01
5295	278	4.29335E+01
5419	378	4.30055E+01
5316	284	4.30682E+01
5419	284	4.31077E+01
8912	421	4.31190E+01
5419	465	4.31547E+01
5316	465	4.31666E+01
8912	233	4.31693E+01
8912	422	4.32104E+01
5398	555	4.33838E+01
9000	285	4.34015E+01
5295	555	4.34102E+01
5398	327	4.34354E+01
8912	369	4.34438E+01
5398	552	4.34476E+01
5316	428	4.34790E+01
5295	327	4.35160E+01
5316	467	4.35695E+01
5419	428	4.35751E+01
5295	552	4.36172E+01
5419	467	4.36389E+01
5295	425	4.38455E+01
5398	425	4.38630E+01
8912	373	4.38950E+01
9000	336	4.39212E+01
9000	335	4.39629E+01
5295	375	4.40286E+01
5398	375	4.40314E+01
8912	420	4.40817E+01
8912	334	4.42438E+01
5398	597	4.42971E+01
8912	423	4.43000E+01
9000	337	4.43379E+01
5316	332	4.43504E+01
5419	464	4.43639E+01
5419	332	4.43714E+01
9000	284	4.44084E+01
5316	464	4.44117E+01
8912	286	4.44121E+01
5398	598	4.44169E+01
5295	597	4.44485E+01
9000	334	4.44782E+01
5419	372	4.44813E+01
5316	372	4.44859E+01
5295	598	4.45057E+01
5419	423	4.45968E+01
5316	423	4.46297E+01
8912	462	4.46482E+01
8912	461	4.46635E+01
8912	279	4.47732E+01
8912	328	4.48382E+01
5419	557	4.48578E+01
5316	557	4.48744E+01
5398	336	4.48997E+01
5295	336	4.49168E+01
5398	367	4.49561E+01
5398	459	4.50079E+01
8912	232	4.50187E+01
5295	367	4.50647E+01
5316	558	4.50759E+01
5419	558	4.51156E+01
5316	468	4.51300E+01
5295	465	4.51769E+01
5295	459	4.51788E+01
9000	338	4.51999E+01
5398	465	4.52154E+01
5316	379	4.52413E+01
5419	468	4.52446E+01
5419	379	4.53433E+01
5398	596	4.54051E+01
5316	283	4.54141E+01
5419	283	4.54540E+01
9000	333	4.54847E+01
5295	556	4.55368E+01
5398	556	4.55673E+01
5295	596	4.56124E+01
5419	556	4.56149E+01
5316	556	4.56837E+01
8912	368	4.56883E+01
5398	230	4.56921E+01
5398	599	4.56968E+01
5295	599	4.57169E+01
5295	230	4.57421E+01
5316	429	4.57521E+01
8912	463	4.57576E+01
5398	418	4.57782E+01
8912	460	4.58611E+01
9000	283	4.58640E+01
5398	551	4.58698E+01
5419	429	4.58801E+01
5295	418	4.59206E+01
9000	376	4.59850E+01
9000	375	4.60680E+01
5295	551	4.60766E+01
8912	374	4.61214E+01
8912	419	4.61524E+01
5316	559	4.62296E+01
8912	553	4.62577E+01
5419	559	4.63298E+01
8912	424	4.63374E+01
9000	377	4.64121E+01
5398	277	4.64366E+01
5295	277	4.64990E+01
5419	463	4.66065E+01
5398	639	4.66127E+01
8912	335	4.66443E+01
5398	638	4.66480E+01
9000	374	4.66775E+01
5316	463	4.66868E+01
5295	639	4.67324E+01
5295	638	4.68443E+01
8912	552	4.68850E+01
8912	554	4.68884E+01
9000	332	4.70034E+01
5419	601	4.70563E+01
5316	601	4.70944E+01
5295	426	4.72394E+01
5398	426	4.72882E+01
9000	378	4.73361E+01
5316	331	4.73711E+01
5419	331	4.73886E+01
5398	326	4.73922E+01
5316	602	4.74104E+01
5419	602	4.74461E+01
5419	555	4.74469E+01
8912	231	4.74694E+01
5295	326	4.74762E+01
5295	376	4.75389E+01
5316	469	4.75406E+01
8912	278	4.75458E+01
5398	376	4.75611E+01
5316	555	4.75631E+01
5419	422	4.75731E+01
5419	371	4.76101E+01
5316	371	4.76247E+01
5316	422	4.76251E+01
5419	600	4.76878E+01
5419	469	4.77033E+01
5398	640	4.77576E+01
9000	282	4.77912E+01
5398	595	4.77928E+01
5295	640	4.77932E+01
5316	600	4.77945E+01
8912	327	4.78290E+01
9000	373	4.78336E+01
8912	464	4.79345E+01
5398	637	4.79382E+01
5295	600	4.80080E+01
5295	595	4.80487E+01
5398	600	4.80622E+01
5295	637	4.82025E+01
5316	380	4.82473E+01
8912	597	4.82552E+01
5316	560	4.82760E+01
8912	459	4.82895E+01
5419	380	4.83693E+01
5316	282	4.84260E+01
5419	560	4.84403E+01
5419	282	4.84666E+01
5398	337	4.84761E+01
5295	337	4.84830E+01
8912	596	4.85970E+01
5295	557	4.86589E+01
5316	603	4.86663E+01
5295	466	4.86793E+01
8912	555	4.87144E+01
9000	379	4.87468E+01
5398	557	4.87503E+01
5398	466	4.87638E+01
5419	603	4.87807E+01
5316	430	4.87953E+01
8912	551	4.88224E+01
5398	680	4.89155E+01
5419	430	4.89571E+01
5398	458	4.89583E+01
9000	427	4.89647E+01
8912	367	4.89726E+01
9000	331	4.90606E+01
9000	426	4.90679E+01
5295	680	4.90944E+01
8912	375	4.91182E+01
5295	458	4.91508E+01
8912	598	4.92384E+01
8912	425	4.92804E+01
5398	679	4.93399E+01
8912	418	4.93728E+01
5398	366	4.93747E+01
5398	229	4.93970E+01
9000	428	4.94000E+01
5419	599	4.94159E+01
5295	229	4.94458E+01
5295	366	4.94905E+01
5419	642	4.95090E+01
5398	550	4.95559E+01
9000	372	4.95609E+01
5316	599	4.95852E+01
5316	642	4.95974E+01
5295	679	4.96073E+01
5398	681	4.96784E+01
8912	336	4.96790E+01
5316	643	4.97153E+01
5419	643	4.97169E+01
9000	234	4.97255E+01
9000	425	4.97283E+01
5295	681	4.97596E+01
5295	550	4.97940E+01
8894	281	4.99308E+01
5419	462	4.99397E+01
5295	641	4.99404E+01
8982	281	4.99425E+01
5398	641	4.99959E+01
8894	234	5.00254E+01
8982	234	5.00426E+01
5316	462	5.00489E+01
8894	282	5.01172E+01
8982	282	5.01325E+01
9000	281	5.02154E+01
5398	417	5.03079E+01
5419	641	5.03110E+01
8912	595	5.03198E+01
8894	330	5.03468E+01
8982	330	5.03536E+01
9000	429	5.03572E+01
8912	638	5.03758E+01
8894	280	5.04030E+01
8982	280	5.04117E+01
5419	554	5.04165E+01
5295	417	5.04630E+01
5316	641	5.04833E+01
5398	636	5.05358E+01
8912	230	5.05416E+01
8894	233	5.05579E+01
5316	554	5.05753E+01
8982	233	5.05767E+01
9000	380	5.06352E+01
8982	329	5.06640E+01
8894	329	5.06690E+01
8912	637	5.06995E+01
5316	644	5.07460E+01
5316	470	5.07586E+01
5316	604	5.07844E+01
5398	276	5.08082E+01
8894	331	5.08109E+01
8982	331	5.08308E+01
5419	644	5.08430E+01
5295	636	5.08589E+01
5295	276	5.08707E+01
8894	283	5.09248E+01
8982	283	5.09442E+01
9000	424	5.09678E+01
5419	470	5.09719E+01
5419	604	5.09817E+01
5398	678	5.10304E+01
8912	277	5.11072E+01
8912	465	5.11274E+01
5316	561	5.11532E+01
8894	370	5.11957E+01
8982	370	5.11964E+01
5316	330	5.12149E+01
5419	330	5.12297E+01
5295	601	5.13041E+01
5295	678	5.13759E+01
5419	561	5.13850E+01
8912	639	5.14292E+01
5295	427	5.14365E+01
8982	369	5.14369E+01
5398	601	5.14377E+01
8894	369	5.14613E+01
8912	599	5.14749E+01
5398	594	5.14861E+01
5398	721	5.14996E+01
5295	682	5.15068E+01
5398	427	5.15185E+01
5398	682	5.15314E+01
8894	279	5.15743E+01
8982	279	5.15807E+01
5419	421	5.15914E+01
8894	232	5.16519E+01
5316	421	5.16600E+01
8912	556	5.16713E+01
8982	232	5.16725E+01
5419	370	5.16864E+01
5398	722	5.16878E+01
9000	330	5.16886E+01
5316	370	5.17094E+01
5295	377	5.17470E+01
8912	326	5.17578E+01
5295	721	5.17706E+01
5295	594	5.17828E+01
5398	377	5.17897E+01
8982	328	5.18133E+01
9000	430	5.18206E+01
8894	328	5.18286E+01
5295	722	5.18504E+01
8894	371	5.18513E+01
8982	371	5.18799E+01
9000	371	5.18899E+01
8912	458	5.19766E+01
8894	332	5.20149E+01
5419	684	5.20369E+01
8982	332	5.20493E+01
