GRAM	c2h2	chi_tot
6462	375	3.90721E+01
6462	425	3.91065E+01
6559	375	3.91486E+01
6462	374	3.91626E+01
6559	425	3.91684E+01
6559	374	3.92252E+01
6462	426	3.92304E+01
6462	335	3.92364E+01
6559	335	3.93111E+01
6559	426	3.93194E+01
6462	334	3.93767E+01
6462	465	3.93991E+01
6462	376	3.94063E+01
6559	334	3.94461E+01
6559	465	3.94482E+01
6462	336	3.94559E+01
6462	424	3.94926E+01
6559	376	3.94983E+01
6462	466	3.95190E+01
6559	424	3.95302E+01
6559	336	3.95366E+01
6559	466	3.96110E+01
6462	286	3.96429E+01
6462	373	3.96904E+01
6559	286	3.97180E+01
6559	373	3.97405E+01
6462	427	3.98568E+01
6462	285	3.98631E+01
6462	464	3.98698E+01
6559	464	3.98804E+01
6462	333	3.98907E+01
6462	557	3.99277E+01
6559	285	3.99383E+01
6559	333	3.99555E+01
6559	427	3.99755E+01
6559	557	3.99956E+01
6462	337	4.00250E+01
6462	556	4.00675E+01
6559	556	4.00760E+01
6559	337	4.01125E+01
6462	377	4.01587E+01
6462	467	4.02213E+01
6559	377	4.02676E+01
6559	467	4.03606E+01
6462	423	4.04022E+01
6462	284	4.04051E+01
6559	423	4.04181E+01
6462	558	4.04393E+01
6559	284	4.04807E+01
6559	558	4.05730E+01
6462	372	4.06739E+01
6462	600	4.07007E+01
6559	600	4.07016E+01
6559	372	4.07131E+01
6462	601	4.07460E+01
6462	332	4.07963E+01
6559	555	4.08276E+01
6559	601	4.08296E+01
6559	332	4.08573E+01
6462	555	4.08717E+01
6559	463	4.09194E+01
6462	338	4.09375E+01
6462	463	4.09427E+01
6462	428	4.09827E+01
6559	338	4.10324E+01
6559	428	4.11340E+01
6462	283	4.12853E+01
6559	599	4.12933E+01
6462	378	4.13283E+01
6559	283	4.13618E+01
6462	599	4.13658E+01
6559	378	4.14555E+01
6462	602	4.14792E+01
6462	468	4.14992E+01
6559	641	4.15621E+01
6462	641	4.15853E+01
6462	559	4.15878E+01
6462	642	4.16472E+01
6559	602	4.16541E+01
6559	468	4.16903E+01
6559	642	4.17303E+01
6559	559	4.17938E+01
6559	422	4.18521E+01
6462	422	4.18551E+01
6462	331	4.21162E+01
6462	371	4.21379E+01
6559	640	4.21412E+01
6559	371	4.21677E+01
6559	331	4.21741E+01
6462	640	4.22591E+01
6559	554	4.22647E+01
6462	554	4.23546E+01
6462	643	4.24097E+01
6462	282	4.25226E+01
6462	683	4.25683E+01
6559	682	4.25774E+01
6559	462	4.25819E+01
6559	282	4.26001E+01
6462	429	4.26092E+01
6559	643	4.26097E+01
6559	683	4.26220E+01
6559	598	4.26243E+01
6462	462	4.26347E+01
6462	682	4.26519E+01
6462	598	4.27611E+01
6559	429	4.27958E+01
6462	603	4.28727E+01
6462	379	4.29188E+01
6559	379	4.30660E+01
6559	603	4.31471E+01
6462	684	4.31826E+01
6559	681	4.32915E+01
6462	469	4.33457E+01
6462	560	4.33552E+01
6559	684	4.33770E+01
6462	681	4.34804E+01
6559	639	4.34973E+01
6559	724	4.35457E+01
6462	724	4.35607E+01
6559	469	4.35930E+01
6559	560	4.36397E+01
6462	639	4.36979E+01
6559	723	4.37637E+01
6462	644	4.38310E+01
6559	421	4.38576E+01
6462	421	4.38766E+01
6462	330	4.38780E+01
6462	725	4.38842E+01
6462	723	4.39256E+01
6559	330	4.39338E+01
6559	725	4.40304E+01
6462	370	4.41120E+01
6559	370	4.41340E+01
6462	281	4.41376E+01
6559	644	4.41578E+01
6559	281	4.42167E+01
6559	553	4.44032E+01
6462	685	4.44415E+01
6462	553	4.45320E+01
6559	765	4.46085E+01
6462	234	4.46327E+01
6462	766	4.46670E+01
6559	597	4.47118E+01
6559	766	4.47144E+01
6559	234	4.47255E+01
6462	765	4.47383E+01
6462	430	4.47392E+01
6559	722	4.47420E+01
6559	685	4.47879E+01
6559	680	4.48040E+01
6462	726	4.48346E+01
6559	461	4.48883E+01
6462	604	4.48926E+01
6462	597	4.49030E+01
6462	380	4.49371E+01
6559	430	4.49639E+01
6462	461	4.49659E+01
6462	722	4.50347E+01
6462	680	4.50925E+01
6559	380	4.51057E+01
6559	726	4.51546E+01
6559	764	4.51962E+01
6462	767	4.52067E+01
6559	604	4.52744E+01
6559	767	4.54452E+01
6462	764	4.54872E+01
6559	807	4.55916E+01
6559	638	4.56522E+01
6462	807	4.56976E+01
6462	561	4.57189E+01
6462	470	4.57520E+01
6462	808	4.57611E+01
6559	808	4.58584E+01
6462	645	4.58635E+01
6462	638	4.59229E+01
6559	806	4.59388E+01
6559	470	4.60598E+01
6559	561	4.60878E+01
6462	329	4.61128E+01
6462	280	4.61539E+01
6559	329	4.61674E+01
6462	806	4.62330E+01
6559	280	4.62349E+01
6462	686	4.62871E+01
6462	768	4.62886E+01
6559	645	4.63260E+01
6462	727	4.63473E+01
6462	809	4.63528E+01
6462	233	4.63628E+01
6559	233	4.64590E+01
6559	420	4.64612E+01
6462	420	4.64933E+01
6559	721	4.65278E+01
6559	763	4.65409E+01
6462	369	4.66277E+01
6559	369	4.66436E+01
6559	809	4.66661E+01
6559	768	4.67297E+01
6559	686	4.67954E+01
6559	727	4.68517E+01
6462	721	4.69337E+01
6559	805	4.69720E+01
6462	763	4.69746E+01
6559	679	4.71424E+01
6559	552	4.72566E+01
6462	431	4.73752E+01
6462	810	4.74031E+01
6462	552	4.74172E+01
6462	805	4.74361E+01
6462	605	4.74996E+01
6462	679	4.75148E+01
6559	596	4.75661E+01
6559	431	4.76408E+01
6462	596	4.78019E+01
6462	769	4.78439E+01
6559	460	4.78575E+01
6559	810	4.79425E+01
6462	460	4.79550E+01
6559	605	4.79958E+01
6462	728	4.83559E+01
6462	232	4.84351E+01
6462	646	4.84545E+01
6559	769	4.84971E+01
6559	232	4.85350E+01
6462	279	4.85959E+01
6559	637	4.86161E+01
6462	562	4.86520E+01
6462	687	4.86582E+01
6559	279	4.86793E+01
6559	762	4.86932E+01
6462	471	4.87067E+01
6559	804	4.87559E+01
6462	811	4.88449E+01
6462	328	4.88514E+01
6559	328	4.89056E+01
6462	637	4.89436E+01
6559	728	4.90535E+01
6559	646	4.90607E+01
6559	471	4.90793E+01
6559	562	4.91110E+01
6559	720	4.91520E+01
6462	762	4.92491E+01
6559	687	4.93368E+01
6462	804	4.93691E+01
6559	811	4.96180E+01
6462	720	4.96521E+01
6559	419	4.96853E+01
6462	368	4.97121E+01
6559	368	4.97239E+01
6462	419	4.97273E+01
6462	770	4.98054E+01
6559	678	5.03164E+01
6462	432	5.05155E+01
6462	812	5.06158E+01
6462	606	5.06505E+01
6559	770	5.06777E+01
6462	678	5.07560E+01
6462	729	5.07944E+01
6559	432	5.08249E+01
6559	551	5.08298E+01
6462	231	5.08661E+01
6559	231	5.09698E+01
6462	551	5.10149E+01
6559	595	5.11859E+01
6559	606	5.12676E+01
6559	803	5.13399E+01
6462	595	5.14561E+01
6462	278	5.14868E+01
6462	688	5.14929E+01
6559	459	5.14995E+01
6462	647	5.15495E+01
6559	278	5.15731E+01
6462	459	5.16119E+01
6559	812	5.16278E+01
6559	761	5.16830E+01
6559	729	5.16924E+01
