GRAM	c2h2	chi_tot
8628	812	4.32415E+01
8716	812	4.33765E+01
8628	813	4.34741E+01
8628	771	4.35192E+01
8628	811	4.35733E+01
8716	811	4.36070E+01
8716	771	4.36232E+01
8628	772	4.36318E+01
8804	812	4.36756E+01
8716	813	4.37233E+01
8804	811	4.37743E+01
8628	731	4.37887E+01
8716	772	4.38331E+01
8804	771	4.38731E+01
8716	731	4.39318E+01
8628	730	4.39457E+01
8628	770	4.40065E+01
8716	730	4.40107E+01
8716	770	4.40260E+01
8628	690	4.41500E+01
8804	770	4.41671E+01
8628	691	4.41710E+01
8804	813	4.41713E+01
8804	730	4.42037E+01
8804	772	4.42088E+01
8628	814	4.42173E+01
8804	731	4.42245E+01
8716	690	4.42335E+01
8628	732	4.42343E+01
8628	773	4.42992E+01
8716	691	4.43221E+01
8804	690	4.44446E+01
8716	810	4.44494E+01
8716	732	4.44663E+01
8628	810	4.45015E+01
8804	810	4.45051E+01
8628	650	4.45172E+01
8716	814	4.45911E+01
8716	650	4.45964E+01
8716	773	4.46084E+01
8804	691	4.46185E+01
8716	729	4.47330E+01
8628	729	4.47339E+01
8628	689	4.47703E+01
8716	689	4.47967E+01
8804	650	4.47978E+01
8804	729	4.48427E+01
8804	732	4.48728E+01
8804	689	4.49365E+01
8716	769	4.50628E+01
8628	769	4.51132E+01
8804	769	4.51142E+01
8804	773	4.51236E+01
8628	649	4.51743E+01
8804	814	4.52015E+01
8716	649	4.52086E+01
8804	649	4.53552E+01
8804	809	4.58754E+01
8716	809	4.59088E+01
8716	688	4.60128E+01
8628	809	4.60296E+01
8628	688	4.60320E+01
8804	688	4.60965E+01
8716	728	4.60983E+01
8628	609	4.61014E+01
8716	609	4.61322E+01
8804	728	4.61424E+01
8628	728	4.61515E+01
8804	609	4.62737E+01
8716	648	4.64725E+01
8628	648	4.64734E+01
8804	648	4.65771E+01
8804	768	4.67052E+01
8716	768	4.67228E+01
8628	768	4.68275E+01
9583	795	4.73135E+01
9583	755	4.73172E+01
9583	796	4.73176E+01
9583	714	4.73227E+01
9583	754	4.73244E+01
9669	795	4.73274E+01
9669	796	4.73288E+01
9669	755	4.73294E+01
9583	674	4.73294E+01
9583	715	4.73354E+01
9669	714	4.73365E+01
9583	634	4.73384E+01
9669	754	4.73395E+01
9583	794	4.73400E+01
9583	673	4.73410E+01
9669	674	4.73426E+01
9583	713	4.73432E+01
9669	715	4.73462E+01
9583	633	4.73478E+01
9583	594	4.73482E+01
9669	634	4.73517E+01
9583	756	4.73539E+01
9583	675	4.73562E+01
9583	753	4.73565E+01
9669	794	4.73567E+01
9669	673	4.73572E+01
9669	713	4.73599E+01
9583	552	4.73609E+01
9669	594	4.73628E+01
9669	756	4.73633E+01
9583	595	4.73637E+01
9583	593	4.73641E+01
9669	633	4.73642E+01
9669	675	4.73662E+01
9583	635	4.73669E+01
9583	551	4.73687E+01
9583	797	4.73740E+01
9583	672	4.73741E+01
9669	753	4.73743E+01
9669	595	4.73749E+01
9583	462	4.73749E+01
9669	552	4.73749E+01
9669	635	4.73769E+01
9583	632	4.73790E+01
9583	712	4.73815E+01
9669	593	4.73817E+01
9583	793	4.73823E+01
9669	797	4.73829E+01
9669	551	4.73858E+01
9583	553	4.73874E+01
9583	461	4.73884E+01
9583	463	4.73891E+01
9669	462	4.73904E+01
9583	424	4.73927E+01
9669	672	4.73930E+01
9583	550	4.73966E+01
9583	592	4.73977E+01
9669	553	4.73980E+01
9669	632	4.73981E+01
9583	752	4.74007E+01
9669	712	4.74009E+01
9669	463	4.74012E+01
9669	793	4.74014E+01
9583	425	4.74035E+01
9583	716	4.74036E+01
9583	423	4.74060E+01
9669	461	4.74068E+01
9669	424	4.74089E+01
9669	716	4.74114E+01
9583	376	4.74147E+01
9669	550	4.74164E+01
9669	425	4.74165E+01
9583	671	4.74175E+01
9669	592	4.74178E+01
9583	460	4.74179E+01
9583	377	4.74198E+01
9583	631	4.74207E+01
9669	752	4.74210E+01
9669	423	4.74250E+01
9583	711	4.74275E+01
9583	375	4.74291E+01
9583	596	4.74301E+01
9583	792	4.74305E+01
9669	376	4.74321E+01
9583	422	4.74337E+01
9669	377	4.74342E+01
9583	549	4.74348E+01
9669	596	4.74377E+01
9669	460	4.74388E+01
9669	671	4.74388E+01
9583	591	4.74394E+01
9669	631	4.74422E+01
9583	676	4.74450E+01
9583	464	4.74467E+01
9583	751	4.74488E+01
9669	375	4.74491E+01
9669	711	4.74492E+01
9583	568	4.74505E+01
9669	676	4.74518E+01
9583	426	4.74519E+01
9669	792	4.74520E+01
9583	378	4.74549E+01
9669	464	4.74551E+01
9669	422	4.74551E+01
9583	374	4.74552E+01
9583	459	4.74554E+01
9583	636	4.74563E+01
9669	549	4.74569E+01
9669	426	4.74612E+01
9583	757	4.74615E+01
9669	591	4.74618E+01
9669	636	4.74628E+01
9583	670	4.74639E+01
9583	630	4.74659E+01
9669	378	4.74659E+01
9583	554	4.74678E+01
9669	757	4.74685E+01
9583	421	4.74686E+01
9583	338	4.74701E+01
9669	751	4.74713E+01
9669	568	4.74735E+01
9669	554	4.74745E+01
9583	710	4.74748E+01
9583	548	4.74767E+01
9669	374	4.74774E+01
9669	459	4.74784E+01
9583	791	4.74789E+01
9583	590	4.74832E+01
9669	670	4.74873E+01
9583	373	4.74874E+01
9669	630	4.74894E+01
9669	421	4.74921E+01
9669	338	4.74923E+01
9583	567	4.74932E+01
9583	458	4.74954E+01
9583	750	4.74959E+01
9583	337	4.74973E+01
9669	710	4.74985E+01
9755	796	4.74993E+01
9669	548	4.75008E+01
9755	755	4.75019E+01
9669	791	4.75023E+01
9755	795	4.75032E+01
9583	420	4.75060E+01
9669	590	4.75076E+01
9583	669	4.75090E+01
9583	629	4.75100E+01
9669	373	4.75115E+01
9755	714	4.75121E+01
9583	798	4.75135E+01
9755	715	4.75161E+01
9755	674	4.75170E+01
