GRAM	c2h2	chi_tot
7956	317	3.77227E+01
8046	317	3.77557E+01
7956	277	3.78034E+01
7956	276	3.78053E+01
7956	316	3.78392E+01
8046	277	3.78624E+01
7956	357	3.78825E+01
8046	357	3.78938E+01
8046	316	3.79274E+01
8046	276	3.79315E+01
7956	237	3.81063E+01
8046	237	3.82241E+01
8046	398	3.83779E+01
7956	398	3.84288E+01
8046	358	3.85169E+01
7956	358	3.85412E+01
7956	236	3.85789E+01
7956	238	3.86865E+01
7956	356	3.86892E+01
8046	238	3.87290E+01
8046	356	3.87427E+01
8046	236	3.87712E+01
8046	397	3.89024E+01
7956	397	3.89313E+01
7956	275	3.89593E+01
8046	318	3.89928E+01
7956	318	3.90117E+01
8046	439	3.90599E+01
8046	278	3.90646E+01
7956	278	3.90719E+01
7956	198	3.91164E+01
8046	275	3.91535E+01
7956	439	3.91738E+01
7956	315	3.92338E+01
8046	198	3.92738E+01
8046	315	3.93804E+01
7956	199	3.93819E+01
8046	199	3.94612E+01
8046	399	3.94636E+01
7956	399	3.95255E+01
8046	438	3.95499E+01
7956	438	3.96638E+01
7956	197	3.97055E+01
8046	480	3.98682E+01
8046	197	3.99393E+01
7956	235	4.00074E+01
7956	480	4.00605E+01
8046	440	4.02691E+01
8046	235	4.02732E+01
7956	440	4.03671E+01
8046	239	4.04001E+01
7956	239	4.04337E+01
8046	479	4.05884E+01
8046	200	4.05937E+01
7956	200	4.05944E+01
8046	359	4.07464E+01
7956	359	4.07992E+01
7956	479	4.08018E+01
7956	355	4.08270E+01
8046	521	4.08733E+01
7956	161	4.08807E+01
7956	396	4.08919E+01
8046	481	4.08940E+01
8046	396	4.08953E+01
8046	355	4.09289E+01
7956	160	4.09320E+01
8046	161	4.10087E+01
7956	481	4.10438E+01
7956	196	4.10750E+01
8046	160	4.11351E+01
7956	274	4.11609E+01
7956	521	4.11706E+01
8046	196	4.13835E+01
8046	274	4.14236E+01
8046	522	4.14604E+01
7956	162	4.15438E+01
8046	437	4.15936E+01
8046	162	4.15947E+01
7956	159	4.16386E+01
8046	279	4.16677E+01
7956	522	4.16916E+01
7956	437	4.16923E+01
7956	279	4.17402E+01
8046	319	4.17714E+01
7956	314	4.17873E+01
7956	319	4.18382E+01
8046	159	4.19152E+01
8046	314	4.19952E+01
8046	520	4.20433E+01
8046	563	4.21580E+01
8046	562	4.22080E+01
8046	400	4.22906E+01
7956	234	4.23110E+01
7956	400	4.23519E+01
7956	520	4.23796E+01
7956	563	4.25096E+01
7956	562	4.26444E+01
8046	234	4.26497E+01
8046	201	4.27809E+01
7956	201	4.28633E+01
8046	478	4.29045E+01
7956	158	4.29555E+01
8046	163	4.29684E+01
7956	163	4.29966E+01
7956	478	4.31186E+01
7956	195	4.31671E+01
8046	604	4.31861E+01
8046	441	4.33025E+01
8046	158	4.33040E+01
8046	240	4.33647E+01
7956	441	4.33677E+01
7956	240	4.34751E+01
8046	195	4.35489E+01
7956	604	4.37022E+01
8046	482	4.37873E+01
7956	482	4.38723E+01
8046	523	4.39275E+01
8046	564	4.39742E+01
8046	561	4.39941E+01
8046	603	4.40143E+01
7956	523	4.40642E+01
7956	354	4.41625E+01
7956	395	4.41626E+01
8046	605	4.41862E+01
7956	564	4.42066E+01
8046	395	4.42080E+01
7956	273	4.43169E+01
8046	354	4.43187E+01
7956	561	4.44819E+01
7956	605	4.45651E+01
7956	603	4.46267E+01
8046	273	4.46489E+01
8046	360	4.47089E+01
7956	360	4.47823E+01
8046	519	4.48119E+01
7956	157	4.48486E+01
8046	436	4.50301E+01
7956	436	4.50993E+01
7956	519	4.51611E+01
8046	157	4.52675E+01
7956	122	4.53210E+01
7956	313	4.53869E+01
7956	233	4.54220E+01
8046	313	4.56588E+01
8046	122	4.56847E+01
8046	280	4.58049E+01
8046	233	4.58327E+01
7956	194	4.59371E+01
7956	280	4.59410E+01
8046	202	4.61475E+01
8046	320	4.62200E+01
7956	202	4.63135E+01
7956	320	4.63302E+01
8046	194	4.63908E+01
8046	602	4.65276E+01
8046	477	4.66436E+01
7956	477	4.68390E+01
7956	121	4.68508E+01
8046	401	4.69705E+01
5370	276	4.69842E+01
7956	401	4.70185E+01
8046	606	4.71057E+01
7956	602	4.71971E+01
5370	236	4.72260E+01
5370	237	4.72321E+01
8046	121	4.72796E+01
7956	156	4.72921E+01
5267	276	4.72927E+01
7956	606	4.73062E+01
8046	560	4.73459E+01
5370	316	4.73690E+01
5370	277	4.75062E+01
5267	236	4.75258E+01
5267	237	4.75332E+01
5370	275	4.76748E+01
5267	316	4.76908E+01
8046	565	4.77386E+01
8046	241	4.77572E+01
5370	317	4.77754E+01
8046	156	4.77798E+01
5267	277	4.78101E+01
7956	565	4.78169E+01
7956	560	4.78535E+01
5370	198	4.78910E+01
7956	241	4.79449E+01
5267	275	4.79865E+01
5370	197	4.80427E+01
5267	317	4.80854E+01
5370	357	4.81274E+01
5267	198	4.81889E+01
5370	235	4.82345E+01
8046	442	4.82563E+01
7956	442	4.82713E+01
5370	315	4.82984E+01
5267	197	4.83355E+01
7956	272	4.83411E+01
5370	238	4.83503E+01
8046	524	4.83543E+01
7956	524	4.83679E+01
5370	356	4.84450E+01
5267	357	4.84571E+01
5267	235	4.85323E+01
7956	353	4.85619E+01
7956	394	4.85895E+01
5267	315	4.86294E+01
7956	483	4.86303E+01
8046	483	4.86331E+01
5370	199	4.86482E+01
5267	238	4.86522E+01
8046	394	4.86861E+01
8046	272	4.87427E+01
8046	353	4.87777E+01
5267	356	4.87933E+01
7956	120	4.88312E+01
5267	199	4.89511E+01
8046	518	4.89936E+01
5370	196	4.90277E+01
7956	232	4.92798E+01
5370	398	4.92816E+01
5370	397	4.93046E+01
5267	196	4.93153E+01
5370	358	4.93238E+01
8046	120	4.93241E+01
7956	518	4.93312E+01
7956	193	4.93475E+01
5370	278	4.93580E+01
5370	160	4.94441E+01
5370	274	4.94733E+01
5267	398	4.96222E+01
5267	358	4.96304E+01
5370	318	4.96423E+01
5267	278	4.96558E+01
5267	397	4.96745E+01
8046	435	4.96873E+01
7956	435	4.97138E+01
5267	160	4.97384E+01
8046	232	4.97616E+01
5370	159	4.97666E+01
5267	274	4.97868E+01
5370	161	4.98220E+01
8046	193	4.98718E+01
7956	312	4.99215E+01
5267	318	4.99378E+01
5267	159	5.00538E+01
5267	161	5.01236E+01
5370	355	5.01460E+01
5370	234	5.01757E+01
8046	312	5.02599E+01
7956	155	5.02651E+01
5370	200	5.04084E+01
5370	314	5.04456E+01
5267	234	5.04710E+01
5267	355	5.05086E+01
8046	361	5.05112E+01
8046	601	5.05416E+01
5370	439	5.05543E+01
7956	361	5.05965E+01
5370	438	5.05985E+01
5370	239	5.06951E+01
5267	200	5.07163E+01
5370	158	5.07428E+01
5267	314	5.07832E+01
5370	195	5.07869E+01
8046	155	5.08202E+01
5370	396	5.08264E+01
8046	203	5.08305E+01
5370	399	5.08923E+01
5267	439	5.09150E+01
5370	162	5.09617E+01
