SSID	MLR	logN	MLR_err	logN_err
60	-8.296	19.6	0.0	0.1
4000	-7.778	19.3	0.0	0.2
4001	-7.631	19.5	0.0	0.15
4003	-7.831	19.6	0.0	0.1
4016	-7.949	19.0	0.0	0.2
4052	-8.373	19.4	0.0	0.15
4062	-7.773	19.5	0.0	0.2
4154	-7.829	18.5	0.0	0.1
4155	-7.795	20.0	0.0	0.2
4211	-8.075	18.9	0.0	0.1
4228	-7.865	19.2	0.0	0.2
4240	-7.681	18.8	0.0	0.1
4241	-7.798	19.7	0.0	0.0
4244	-7.954	18.8	0.0	0.1
4251	-7.921	20.0	0.0	0.2
4252	-7.67	20.0	0.0	0.1
4309	-7.397	19.6	0.0	0.15
4334	-8.208	18.9	0.0	0.1
4391	-8.13	19.9	0.034	0.1
4402	-7.62	19.8	0.0	0.15
4411	-8.045	19.3	0.0	0.45
4435	-7.731	19.4	0.0	0.1
4447	-7.999	18.4	0.0	0.1
4451	-7.331	19.8	0.0	0.3
4479	-7.962	19.7	0.0	0.05
4481	-7.904	19.6	0.0	0.1
4510	-8.28	18.8	0.0	0.1
4556	-7.569	19.0	0.0	0.1
4600	-7.795	19.3	0.0	0.05
4722	-7.678	18.9	0.0	0.1
4736	-8.145	18.9	0.0	0.1
4780	-7.862	19.4	0.0	0.1
4812	-7.501	20.0	0.0	0.1
7	-9.276	18.2	0.0	0.15
55	-9.075	17.3	0.0	0.1
60	-8.308	19.9	0.0	0.1
66	-8.871	20.0	0.0	0.3
98	-8.955	18.4	0.0	0.1
103	-9.071	19.4	0.0	0.45
126	-9.075	18.2	0.0	0.2
145	-8.698	18.9	0.0	0.1
156	-8.999	18.8	0.0	0.0
181	-8.706	19.0	0.0	0.1
4002	-8.33	19.0	0.0	0.05
4012	-8.654	19.0	0.0	0.1
4109	-7.875	18.4	0.0	0.1
4442	-8.28	18.6	0.0	0.1
4469	-8.905	18.6	0.0	0.25
4575	-8.155	19.5	0.0	0.2
4776	-8.473	17.8	0.0	0.1
9	-7.305	19.8	0.0	0.2
18	-7.359	20.0	0.0	0.25
140	-7.597	19.8	0.0	0.1
167	-7.229	20.0	0.0	0.2
4197	-7.222	19.7	0.0	0.2
4246	-7.23	19.3	0.0	0.2
4759	-7.601	20.0	0.0	0.1
4779	-7.347	20.0	0.0	0.1
