#wavelength(micron) tau/tau(11.2488)
0.23390000 27.846347
0.27110000 27.893166
0.31700000 25.666786
0.37070000 23.220371
0.42970000 21.006705
0.50235000 18.814702
0.58567000 16.855541
0.68282000 15.079887
0.79607000 13.455479
0.92811000 12.025386
1.0825900 10.646793
1.2621500 9.4258396
1.4714900 8.3153869
1.7155600 7.3080629
2.0001100 6.3971559
2.1917000 5.8826554
2.4028500 5.3933093
2.6330200 4.9351681
2.8852400 4.5057630
3.1616200 4.0980670
3.4662100 3.7300542
3.7982500 3.3633576
4.1620900 3.0299507
4.5630600 2.7199949
5.0001700 2.4277920
5.2512100 2.2786485
5.5011000 2.1436707
5.7513600 2.0383946
6.0010000 1.9324465
6.2489600 1.8478514
6.5006700 1.7625569
6.7490100 1.6804151
6.9998400 1.5986488
7.2491100 1.5335998
7.4997500 1.4675622
7.7513100 1.4055448
7.9993000 1.3429108
8.2511000 1.2848808
8.4980700 1.2306442
8.7480600 1.1786145
9.0009000 1.1239576
9.2517900 1.0737456
9.5001800 1.0256931
9.7503600 0.98145713
10.002130 0.94223003
10.250150 0.91643357
10.499060 0.91036066
10.748650 0.92982544
10.998670 0.97152345
11.248880 1.0000000
11.499040 0.94952346
11.748880 0.87399245
11.998150 0.80846174
12.252710 0.75888747
12.500170 0.72190606
12.651040 0.70484657
12.797330 0.68896074
12.951780 0.67073568
13.101550 0.65733427
13.253050 0.64372584
13.399600 0.62941187
13.547770 0.61604457
13.697580 0.60306083
13.849050 0.59032997
14.002190 0.57759229
14.500820 0.53849757
15.002200 0.50443101
15.497650 0.47481889
16.001470 0.44695680
16.496910 0.42339227
16.999190 0.40237565
17.499250 0.38166426
17.996030 0.36387593
18.497660 0.34588695
19.003780 0.33082455
19.504230 0.31647530
19.997850 0.30495575
20.503970 0.29303065
21.001900 0.27878544
21.501160 0.26713178
22.001290 0.25647855
22.501800 0.24573613
23.002200 0.23560017
23.501980 0.22630484
24.000610 0.21797990
24.497580 0.21037207
24.979850 0.20335782
25.520000 0.19587265
25.970000 0.18993220
26.420000 0.18396944
26.890000 0.17821943
27.600000 0.17042840
28.080000 0.16544634
28.570000 0.16067867
29.080000 0.15590787
29.590000 0.15134011
30.100000 0.14673179
30.370000 0.14431394
30.900000 0.13962154
31.440000 0.13516067
31.990000 0.13045278
32.550000 0.12531222
33.120000 0.12060540
33.410000 0.11849066
34.000000 0.11452695
34.590000 0.11082861
34.900000 0.10896284
35.510000 0.10533176
36.130000 0.10193693
36.450000 0.10041961
37.080000 0.097423847
37.410000 0.095929628
38.060000 0.093317715
38.400000 0.092049025
39.070000 0.089447306
39.410000 0.087918698
40.100000 0.085102587
51.590000 0.055878095
63.010000 0.040759874
74.320000 0.032167980
85.410000 0.026987212
97.300000 0.022314834
108.90000 0.018453596
119.90000 0.016160475
131.90000 0.014116739
142.60000 0.012690548
154.20000 0.011595051
165.30000 0.010443799
177.20000 0.0095864459
188.30000 0.0089283665
