GRAMS	Dust Mass(Msun)	Max C2H2 log(n/cm2)
0	2.58386E-06	18.62
1	2.58386E-07	17.62
2	2.58386E-08	16.62
3	5.16772E-07	17.92
4	5.16772E-08	16.92
5	1.03354E-06	18.22
6	1.03354E-07	17.22
7	1.55032E-06	18.39
8	1.55032E-07	17.39
9	2.06709E-06	18.52
10	2.06709E-07	17.52
11	1.55032E-04	19.79
12	1.03354E-04	19.62
13	1.03354E-05	18.62
14	1.03354E-06	17.62
15	1.03354E-07	16.62
16	2.06709E-05	18.92
17	2.06709E-06	17.92
18	2.06709E-07	16.92
19	3.10063E-05	19.09
20	4.13418E-05	19.22
21	4.13418E-06	18.22
22	4.13418E-07	17.22
23	5.16772E-05	19.31
24	6.20127E-05	19.39
25	6.20127E-06	18.39
26	6.20127E-07	17.39
27	7.23481E-05	19.46
28	8.26836E-05	19.52
29	8.26836E-06	18.52
30	8.26836E-07	17.52
31	9.30190E-05	19.57
32	3.48821E-04	19.79
33	2.32548E-04	19.62
34	2.32548E-05	18.62
35	2.32548E-06	17.62
36	2.32548E-07	16.62
37	5.81369E-04	20.01
38	4.65095E-04	19.92
39	4.65095E-05	18.92
40	4.65095E-06	17.92
41	4.65095E-07	16.92
42	8.13916E-04	20.16
43	6.97642E-04	20.09
44	6.97642E-05	19.09
45	9.30190E-04	20.22
46	9.30190E-05	19.22
47	9.30190E-06	18.22
48	9.30190E-07	17.22
49	1.16274E-04	19.31
50	1.39529E-04	19.39
51	1.39529E-05	18.39
52	1.39529E-06	17.39
53	1.62783E-04	19.46
54	1.86038E-04	19.52
55	1.86038E-05	18.52
56	1.86038E-06	17.52
57	2.09293E-04	19.57
58	8.44061E-04	19.79
59	5.62708E-04	19.62
60	5.62708E-05	18.62
61	5.62708E-06	17.62
62	5.62708E-07	16.62
63	1.40677E-03	20.01
64	1.12542E-03	19.92
65	1.12542E-04	18.92
66	1.12542E-05	17.92
67	1.12542E-06	16.92
68	1.96948E-03	20.16
69	1.68812E-03	20.09
70	1.68812E-04	19.09
71	2.25083E-03	20.22
72	2.25083E-04	19.22
73	2.25083E-05	18.22
74	2.25083E-06	17.22
75	2.81354E-04	19.31
76	3.37625E-04	19.39
77	3.37625E-05	18.39
78	3.37625E-06	17.39
79	3.93895E-04	19.46
80	4.50166E-04	19.52
81	4.50166E-05	18.52
82	4.50166E-06	17.52
83	5.06437E-04	19.57
84	2.48051E-03	19.79
85	1.65367E-03	19.62
86	1.65367E-04	18.62
87	1.65367E-05	17.62
88	1.65367E-06	16.62
89	4.13418E-03	20.01
90	3.30734E-03	19.92
91	3.30734E-04	18.92
92	3.30734E-05	17.92
93	3.30734E-06	16.92
94	5.78785E-03	20.16
95	4.96101E-03	20.09
96	4.96101E-04	19.09
97	6.61469E-03	20.22
98	6.61469E-04	19.22
99	6.61469E-05	18.22
100	6.61469E-06	17.22
101	8.26836E-04	19.31
102	9.92203E-04	19.39
103	9.92203E-05	18.39
104	9.92203E-06	17.39
105	1.15757E-03	19.46
106	1.32294E-03	19.52
107	1.32294E-04	18.52
108	1.32294E-05	17.52
109	1.48830E-03	19.57
110	2.58386E-06	18.62
111	2.58386E-07	17.62
112	2.58386E-08	16.62
113	5.16772E-07	17.92
114	5.16772E-08	16.92
115	1.03354E-06	18.22
116	1.03354E-07	17.22
117	1.55032E-06	18.39
118	1.55032E-07	17.39
119	2.06709E-06	18.52
120	2.06709E-07	17.52
121	1.55032E-04	19.79
122	1.03354E-04	19.62
123	1.03354E-05	18.62
124	1.03354E-06	17.62
125	1.03354E-07	16.62
126	2.06709E-05	18.92
